address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"Adams County Court House 507 Vermont Quincy, IL 62306",,08:30 AM - 04:30 PM,,ho61105418,false,true,,,,poll2069996
"Alexander County Clerk 2000 Washington Avenue Cairo, IL 62914",,08:00 AM - 12:00 PM,,ho92177919,false,true,,,,poll46180870
"Bond County Clerk County Office 203 West College Greenville, IL 62246",,08:00 AM - 04:00 PM,,ho62558324,false,true,,,,poll89563775
"Boone County Clerk Office 1212 Logan Avenue, Ste 103   Belvidere, IL 61008",,08:30 AM - 05:00 PM,,ho11733206,false,true,,,,poll94706128
"Brown County Court House 200 Court Street, Room 4 Mt. Sterling, IL 62353",,08:30 AM - 04:30 PM,,ho52453830,false,true,,,,poll20460238
"Clerk Office in Bureau County Court House 700 South Main Street, Room 104 Princeton, IL 61356",,08:00 AM - 04:00 PM,,ho80326745,false,true,,,,poll90383671
"Princeton Moose Lodge 1339 North Euclid Ave Princeton, IL 61356",,08:00 AM - 04:00 PM,,ho48178443,false,true,,,,poll10102225
"Spring Valley City Hall 215 North Greenwood, #2 Spring Valley, IL 61362",,09:00 AM - 03:00 PM,,ho98150445,false,true,,,,poll62718731
"Calhoun County Clerk Office 106 North County Road Hardin, IL 62047",,08:30 AM - 04:30 PM,,ho16402784,false,true,,,,poll15093296
"Carroll County Clerk Office 301 North Main Mt. Carroll, IL 61053",,08:30 AM - 04:30 PM,,ho56520838,false,true,,,,poll25985552
"Cass County Clerk Office 100 East Springfield Street Virginia, IL 62691",,08:30 AM - 04:30 PM,,ho95785226,false,true,,,,poll5864977
"Beardstown County Clerk Office 105 West 3rd St Beardstown, IL 62618",,08:00 AM - 05:00 PM,,ho99122565,false,true,,,,poll47010700
"Christian County Clerk Office 101 South Main, 2nd Floor Taylorville, IL 62568",,08:00 AM - 04:00 PM,,ho86877759,false,true,,,,poll69411557
"Clark County Clerk's Office 501 Archer Marshall, IL 62441",,08:00 AM - 04:00 PM,,ho58797995,false,true,,,,poll33171586
"Clay County Court House 111 Chestnut, Room 106 Louisville, IL 62858",,08:00 AM - 04:00 PM,,ho31756738,false,true,,,,poll52964475
"Clinton County Clerk 850 Fairfax Carlyle, IL 62231",,08:00 AM - 04:30 PM,,ho77401011,false,true,,,,poll26021878
"Coles County Clerk Office 651 Jackson Avenue, Room 122 Charleston, IL 61920",,08:30 AM - 04:30 PM,,ho59397833,false,true,,,,poll96092073
"Mattoon City Clerk Office 208 North 19th St Mattoon, IL 61938",,08:00 AM - 04:30 PM,,ho93829859,false,true,,,,poll52817737
"Eastern Illinois University Martin Luther King, Jr.; University Union Bridge Lounge Charleston, IL 61920",,10:00 AM - 05:00 PM,,ho62016437,false,true,,,,poll17314408
"Cook County Clerk's Office 69 West Washington, Ste 500 Chicago, IL 60602",,09:00 AM - 05:00 PM,,ho6771460,false,true,,,,poll41575092
"Alsip Village Hall 4500 W. 123rd St. Alsip, IL 60803",,09:00 AM - 05:00 PM,,ho36449719,false,true,,,,poll95520721
"Arlington Heights Village Hall 33 S. Arlington Heights Rd Arlington Heights, IL 60005",,09:00 AM - 05:00 PM,,ho38584197,false,true,,,,poll5008053
"Barrington Hills Village Hall 112 Algonquin Rd. Barrington Hills, IL 60010",,09:00 AM - 05:00 PM,,ho13224688,false,true,,,,poll50575277
"Bellwood Village Hall 3200 Washington Blvd Bellwood, IL 60104",,09:00 AM - 05:00 PM,,ho15900592,false,true,,,,poll49759013
"Berwyn City Hall 6700 W. 26th St Berwyn, IL 60402",,09:00 AM - 05:00 PM,,ho63552496,false,true,,,,poll58632244
"Brookfield Village Hall 8820 Brookfield Ave Brookfield, IL 60513",,09:00 AM - 05:00 PM,,ho35006975,false,true,,,,poll97308232
"Burbank (Prairie Trails Library District) 8449 S. Moody Ave Burbank, IL 60459",,09:00 AM - 05:00 PM,,ho25481255,false,true,,,,poll61271927
"Calumet City Public Library 660 S. Manistee Ave Calumet City, IL 60409",,09:00 AM - 05:00 PM,,ho99645379,false,true,,,,poll33622799
