address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"Adams County Court House, 507 Vermont, Quincy, IL, 62306",,08:30 AM - 04:30 PM,,ho19788431,false,true,,,,poll83156405
"Alexander County Clerk, 2000 Washington Avenue, Cairo, IL, 62914",,08:00 AM - 12:00 PM,,ho31248879,false,true,,,,poll94517834
"Bond County Clerk County Office, 203 West College, Greenville, IL, 62246",,08:00 AM - 04:00 PM,,ho33415971,false,true,,,,poll77680244
"Boone County Clerk Office, 1212 Logan Avenue, Ste 103  , Belvidere, IL, 61008",,08:30 AM - 05:00 PM,,ho94928894,false,true,,,,poll2460143
"Brown County Court House, 200 Court Street, Room 4, Mt. Sterling, IL, 62353",,08:30 AM - 04:30 PM,,ho46763889,false,true,,,,poll7978893
"Clerk Office in Bureau County Court House, 700 South Main Street, Room 104, Princeton, IL, 61356",,08:00 AM - 04:00 PM,,ho54022936,false,true,,,,poll65732923
"Princeton Moose Lodge, 1339 North Euclid Ave, Princeton, IL, 61356",,08:00 AM - 04:00 PM,,ho78762374,false,true,,,,poll56479042
"Spring Valley City Hall, 215 North Greenwood, #2, Spring Valley, IL, 61362",,09:00 AM - 03:00 PM,,ho55160040,false,true,,,,poll34502051
"Calhoun County Clerk Office, 106 North County Road, Hardin, IL, 62047",,08:30 AM - 04:30 PM,,ho22004516,false,true,,,,poll32046900
"Carroll County Clerk Office, 301 North Main, Mt. Carroll, IL, 61053",,08:30 AM - 04:30 PM,,ho62318708,false,true,,,,poll4733112
"Cass County Clerk Office, 100 East Springfield Street, Virginia, IL, 62691",,08:30 AM - 04:30 PM,,ho13449920,false,true,,,,poll23212846
"Beardstown County Clerk Office, 105 West 3rd St, Beardstown, IL, 62618",,08:00 AM - 05:00 PM,,ho4214244,false,true,,,,poll14988931
"Christian County Clerk Office, 101 South Main, 2nd Floor, Taylorville, IL, 62568",,08:00 AM - 04:00 PM,,ho99241514,false,true,,,,poll49915645
"Clark County Clerk's Office, 501 Archer, Marshall, IL, 62441",,08:00 AM - 04:00 PM,,ho91291441,false,true,,,,poll78914713
"Clay County Court House, 111 Chestnut, Room 106, Louisville, IL, 62858",,08:00 AM - 04:00 PM,,ho4419030,false,true,,,,poll83495860
"Clinton County Clerk, 850 Fairfax, Carlyle, IL, 62231",,08:00 AM - 04:30 PM,,ho27030765,false,true,,,,poll74370096
"Coles County Clerk Office, 651 Jackson Avenue, Room 122, Charleston, IL, 61920",,08:30 AM - 04:30 PM,,ho82707645,false,true,,,,poll22709069
"Mattoon City Clerk Office, 208 North 19th St, Mattoon, IL, 61938",,08:00 AM - 04:30 PM,,ho19894155,false,true,,,,poll80599415
"Eastern Illinois University, 600 Lincoln Ave, Charleston, IL, 61920",,10:00 AM - 05:00 PM,,ho35469860,false,true,,,,poll21865643
"Cook County Clerk's Office, 69 West Washington, Ste 500, Chicago, IL, 60602",,09:00 AM - 05:00 PM,,ho14820626,false,true,,,,poll953008
"Alsip Village Hall, 4500 W. 123rd St., Alsip, IL, 60803",,09:00 AM - 05:00 PM,,ho20239147,false,true,,,,poll82422018
"Arlington Heights Village Hall, 33 S. Arlington Heights Rd, Arlington Heights, IL, 60005",,09:00 AM - 05:00 PM,,ho64094944,false,true,,,,poll79732729
"Barrington Hills Village Hall, 112 Algonquin Rd., Barrington Hills, IL, 60010",,09:00 AM - 05:00 PM,,ho63461920,false,true,,,,poll96972782
"Bellwood Village Hall, 3200 Washington Blvd, Bellwood, IL, 60104",,09:00 AM - 05:00 PM,,ho8619341,false,true,,,,poll83188947
"Berwyn City Hall, 6700 W. 26th St, Berwyn, IL, 60402",,09:00 AM - 05:00 PM,,ho51124587,false,true,,,,poll61214834
"Brookfield Village Hall, 8820 Brookfield Ave, Brookfield, IL, 60513",,09:00 AM - 05:00 PM,,ho18728147,false,true,,,,poll89613122
"Burbank (Prairie Trails Library District), 8449 S. Moody Ave, Burbank, IL, 60459",,09:00 AM - 05:00 PM,,ho46825439,false,true,,,,poll40894389
"Calumet City Public Library, 660 S. Manistee Ave, Calumet City, IL, 60409",,09:00 AM - 05:00 PM,,ho70944257,false,true,,,,poll58048133
"Calumet Township Community Center, 12633 S. Ashland Ave, Calumet Park, IL, 60827",,09:00 AM - 05:00 PM,,ho15242805,false,true,,,,poll33191638
"Cicero Community Center, 2250 S. 49th Ave, Cicero, IL, 60804",,09:00 AM - 05:00 PM,,ho14475251,false,true,,,,poll81933795
"Cicero PSO Building, 5410 W. 34th St, Cicero, IL, 60804",,09:00 AM - 05:00 PM,,ho8005802,false,true,,,,poll60060925
"Crestwood (Andrew Biela Senior Citizen Center), 4545 Midlothian Turnpike, Crestwood, IL, 60445",,09:00 AM - 05:00 PM,,ho32182746,false,true,,,,poll64206032
"Des Plaines Public Library, 1501 Ellinwood St, Des Plaines, IL, 60016",,09:00 AM - 05:00 PM,,ho63588137,false,true,,,,poll13977882
"Elk Grove Village Hall, 901 Wellington Ave, Elk Grove Village, IL, 60007",,09:00 AM - 05:00 PM,,ho96179107,false,true,,,,poll7468263
"Elmwood Park Village Hall, 11 W. Conti Pkwy, Elmwood Park, IL, 60707",,09:00 AM - 05:00 PM,,ho11054841,false,true,,,,poll59517067
"Evanston Civic Center, 2100 Ridge Ave, Evanston, IL, 60201",,09:00 AM - 05:00 PM,,ho48238686,false,true,,,,poll1242044
"Franklin Park Village Hall, 9500 Belmont Ave, Franklin Park, IL, 60131",,09:00 AM - 05:00 PM,,ho62105737,false,true,,,,poll61441538
"Glenview Village Hall, 2500 E. Lake Ave, Glenview, IL, 60025",,09:00 AM - 05:00 PM,,ho89839322,false,true,,,,poll60903754
"Hodgkins Village Hall, 8990 Lyons St, Hodgkins, IL, 60525",,09:00 AM - 05:00 PM,,ho52347423,false,true,,,,poll89493793
"Hoffman Estates Village Hall, 1900 Hassell Rd, Hoffman Estates, IL, 60169",,09:00 AM - 05:00 PM,,ho68645700,false,true,,,,poll53518543
"Lansing Public Library, 2750 Indiana Ave, Lansing, IL, 60438",,09:00 AM - 05:00 PM,,ho14930399,false,true,,,,poll80028737
"Lemont Township Hall, 1115 Warner Ave, Lemont, IL, 60439",,09:00 AM - 05:00 PM,,ho8077848,false,true,,,,poll16517973
"Lynwood Senior Youth Center, 21490 Lincoln Hwy, Lynwood, IL, 60411",,09:00 AM - 05:00 PM,,ho59724782,false,true,,,,poll63477162
"Matteson Community Center, 20642 Matteson Ave, Matteson, IL, 60443",,09:00 AM - 05:00 PM,,ho77123008,false,true,,,,poll41926417
"Melrose Park Village Hall, 1000 N. 25th Ave, Melrose Park, IL, 60160",,09:00 AM - 05:00 PM,,ho22275787,false,true,,,,poll24646594
"Mount Prospect Village Hall, 50 S. Emerson St, Mount Prospect, IL, 60056",,09:00 AM - 05:00 PM,,ho80236975,false,true,,,,poll44636428
"Niles Village Hall, 1000 Civic Center Drive, Niles, IL, 60714",,09:00 AM - 05:00 PM,,ho7117329,false,true,,,,poll86880600
"Norridge Village Hall, 4000 N. Olcott Ave, Norridge, IL, 60706",,09:00 AM - 05:00 PM,,ho61102164,false,true,,,,poll20998992
"Northbrook Village Hall, 1225 Cedar Lane, Northbrook, IL, 60062",,09:00 AM - 05:00 PM,,ho98278960,false,true,,,,poll30881325
"Oak Forest City Hall, 15440 S. Central Ave, Oak Forest, IL, 60452",,09:00 AM - 05:00 PM,,ho88900272,false,true,,,,poll66483854
"Oak Lawn Village Hall, 9446 S. Raymond Ave, Oak Lawn, IL, 60453",,09:00 AM - 05:00 PM,,ho9333682,false,true,,,,poll70109269
"Oak Park Village Hall, 123 Madison St, Oak Park, IL, 60302",,09:00 AM - 05:00 PM,,ho33877803,false,true,,,,poll88944143
"Olympia Fields (Brookdale Senior Living), 3633 Breakers Dr, Olympia Fields, IL, 60461",,09:00 AM - 05:00 PM,,ho86454503,false,true,,,,poll94302423
"Orland Township Hall, 14807 Ravinia Ave, Orland Park, IL, 60462",,09:00 AM - 05:00 PM,,ho66763955,false,true,,,,poll69903038
