start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:30:00-05:00,16:30:00-05:00,,,,2016-09-29,2016-09-30,ho33921842,sch0001
08:30:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho33921842,sch0002
08:30:00-05:00,16:30:00-05:00,,,,2016-10-11,2016-10-14,ho33921842,sch0003
08:30:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho33921842,sch0004
09:00:00-05:00,11:30:00-05:00,,,,2016-10-22,2016-10-22,ho33921842,sch0005
08:30:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho33921842,sch0006
08:30:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho33921842,sch0007
09:00:00-05:00,11:30:00-05:00,,,,2016-11-05,2016-11-05,ho33921842,sch0008
08:30:00-06:00,16:30:00-06:00,,,,2016-11-07,2016-11-07,ho33921842,sch0009
08:00:00-05:00,12:00:00-05:00,,,,2016-09-29,2016-09-30,ho97475916,sch0010
13:00:00-05:00,16:00:00-05:00,,,,2016-09-29,2016-09-30,ho97475916,sch0011
08:00:00-05:00,12:00:00-05:00,,,,2016-10-03,2016-10-07,ho97475916,sch0012
13:00:00-05:00,16:00:00-05:00,,,,2016-10-03,2016-10-07,ho97475916,sch0013
08:00:00-05:00,12:00:00-05:00,,,,2016-10-11,2016-10-14,ho97475916,sch0014
13:00:00-05:00,16:00:00-05:00,,,,2016-10-11,2016-10-14,ho97475916,sch0015
08:00:00-05:00,12:00:00-05:00,,,,2016-10-17,2016-10-21,ho97475916,sch0016
13:00:00-05:00,16:00:00-05:00,,,,2016-10-17,2016-10-21,ho97475916,sch0017
08:00:00-05:00,12:00:00-05:00,,,,2016-10-24,2016-10-28,ho97475916,sch0018
13:00:00-05:00,16:00:00-05:00,,,,2016-10-24,2016-10-28,ho97475916,sch0019
08:00:00-05:00,12:00:00-05:00,,,,2016-10-31,2016-11-04,ho97475916,sch0020
13:00:00-05:00,16:00:00-05:00,,,,2016-10-31,2016-11-04,ho97475916,sch0021
08:00:00-05:00,12:00:00-05:00,,,,2016-11-05,2016-11-05,ho97475916,sch0022
08:00:00-06:00,12:00:00-06:00,,,,2016-11-07,2016-11-07,ho97475916,sch0023
13:00:00-06:00,16:00:00-06:00,,,,2016-11-07,2016-11-07,ho97475916,sch0024
08:00:00-05:00,16:00:00-05:00,,,,2016-09-29,2016-09-30,ho26261590,sch0025
08:00:00-05:00,16:00:00-05:00,,,,2016-10-03,2016-10-07,ho26261590,sch0026
08:00:00-05:00,16:00:00-05:00,,,,2016-10-11,2016-10-14,ho26261590,sch0027
08:00:00-05:00,16:00:00-05:00,,,,2016-10-17,2016-10-21,ho26261590,sch0028
08:00:00-05:00,16:00:00-05:00,,,,2016-10-24,2016-10-28,ho26261590,sch0029
08:00:00-05:00,16:00:00-05:00,,,,2016-10-31,2016-11-04,ho26261590,sch0030
08:00:00-05:00,12:00:00-05:00,,,,2016-11-05,2016-11-05,ho26261590,sch0031
08:00:00-06:00,16:00:00-06:00,,,,2016-11-07,2016-11-07,ho26261590,sch0032
08:30:00-05:00,17:00:00-05:00,,,,2016-09-29,2016-09-30,ho17461553,sch0033
08:30:00-05:00,17:00:00-05:00,,,,2016-10-03,2016-10-07,ho17461553,sch0034
08:30:00-05:00,17:00:00-05:00,,,,2016-10-10,2016-10-14,ho17461553,sch0035
08:30:00-05:00,17:00:00-05:00,,,,2016-10-17,2016-10-21,ho17461553,sch0036
08:30:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho17461553,sch0037
08:30:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho17461553,sch0038
09:00:00-05:00,12:00:00-05:00,,,,2016-11-05,2016-11-05,ho17461553,sch0039
08:30:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho17461553,sch0040
08:30:00-05:00,16:30:00-05:00,,,,2016-09-29,2016-09-30,ho73474900,sch0041
