office-name,official-title,ocd-division,division-description,homepage-url,phone,email,street,dirs,city,state,zip,start_time,end_time,start_date,end_date,is_subject_to_change,notes
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 04:00,16:30:00 - 04:00,10/12/16,10/14/16,FALSE,
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 04:00,16:30:00 - 04:00,10/17/16,10/21/16,FALSE,
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 04:00,16:30:00 - 04:00,10/24/16,10/28/16,FALSE,
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 04:00,15:00:00 - 04:00,10/29/16,10/29/16,FALSE,
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,FALSE,
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 04:00,15:00:00 - 04:00,11/5/16,11/5/16,FALSE,
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 05:00,12:00:00 - 05:00,11/7/16,11/7/16,FALSE,
Adams County,Bridge Community Church,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,1403 Winchester Rd. ,,Decatur,IN,46733,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16,FALSE,
Adams County,Bridge Community Church,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,1403 Winchester Rd. ,,Decatur,IN,46733,09:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16,FALSE,
Adams County,FIrst Missionary Church,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,950 US Hwy 27 S. ,,Berne ,IN,46711,09:00:00 - 04:00,16:00:00 - 04:00,11/1/16,11/1/16,FALSE,
