address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"112 S. 2nd Street, Room A, Decatur, IN 46733",,08:00 AM - 04:30 PM,,ho82443877,false,true,,,,poll87086718
"1403 Winchester Rd., Decatur, IN 46733",,09:00 AM - 04:00 PM,,ho38879117,false,true,,,,poll86613747
"950 US Hwy 27 S., Berne , IN 46711",,09:00 AM - 04:00 PM,,ho14393316,false,true,,,,poll61719783
"1300 Mercer Ave., Decatur, IN 46733",,10:00 AM - 04:00 PM,,ho65076589,false,true,,,,poll29874758
"1350 W. Main St., Berne , IN 46711",,12:00 PM - 08:00 PM,,ho87903406,false,true,,,,poll76936264
"1 E Main Street, Suite 172, Fort Wayne, IN 46802",,08:00 AM - 04:30 PM,,ho43846663,false,true,,,,poll84961277
"5630 Coventry Lane, Fort Wayne, IN 46804",,10:00 AM - 09:00 PM,,ho12228860,false,true,,,,poll52039742
"536 E Dupont Rd., Fort Wayne, IN 46825",,10:00 AM - 09:00 PM,,ho52790979,false,true,,,,poll64158121
"6600E. State Blvd, Fort Wayne, IN 46815",,10:00 AM - 09:00 PM,,ho4908926,false,true,,,,poll24728509
"3030 E. Paulding Rd., Fort Wayne, IN 46816",,10:00 AM - 09:00 PM,,ho80532197,false,true,,,,poll23681946
"234 Washington Street, Columbus, IN 47201",,08:00 AM - 05:00 PM,,ho35427164,false,true,,,,poll26901972
"739 22nd St., Columbus, IN 47201",,11:00 AM - 07:00 PM,,ho48273758,false,true,,,,poll90925176
"2310 W. Jonathan Moore Pike, Columbus, IN 47201",,11:00 AM - 07:00 PM,,ho62398350,false,true,,,,poll61074992
"5300 25th St., Columbus, IN 47203",,11:00 AM - 07:00 PM,,ho8986718,false,true,,,,poll68696075
"706 E. 5th Street, Suite 37, Fowler, IN 47944",,08:30 AM - 04:00 PM,,ho55017313,false,true,,,,poll90194853
"110 W. Washington St., First Floor, Hartford City, IN 47348",,08:00 AM - 04:00 PM,,ho61246916,false,true,,,,poll76202890
"339 S Main St, Montpelier, IN 47359",,08:00 AM - 12:00 PM,,ho13033225,false,true,,,,poll99099183
"212 Courthouse Square, Lebanon, IN 46052",,08:00 AM - 04:00 PM,,ho86920791,false,true,,,,poll87996016
"6210 S 700 E, Whitestown, IN 46075",,08:00 AM - 03:00 PM,,ho27594073,false,true,,,,poll47262659
"515 Crown Point Dr., Lebanon, IN 46052",,08:00 AM - 03:00 PM,,ho50645378,false,true,,,,poll89763124
"1300 E 100 S, Lebanon, IN 46052",,08:00 AM - 03:00 PM,,ho77494619,false,true,,,,poll65153940
"1100 W Oak St, Zionsville, IN 46077",,08:00 AM - 03:00 PM,,ho86817340,false,true,,,,poll49308149
"4775 W 116th St, Zionsville, IN 46077",,01:00 PM - 08:00 PM,,ho71699377,false,true,,,,poll53562204
"124 N Market St., Thorntown, IN 46071",,01:00 PM - 08:00 PM,,ho29533977,false,true,,,,poll16333589
"421 E Main St., Jamestown, IN 46147",,01:00 PM - 08:00 PM,,ho8882073,false,true,,,,poll35496501
"5745 N 500 E, Lebanon, IN 46052",,01:00 PM - 08:00 PM,,ho96567526,false,true,,,,poll29662930
"Courthouse, 1st Floor, 20 East Main Street, Nashville, IN 47448",,08:00 AM - 04:00 PM,,ho44553985,false,true,,,,poll10426660
"101 West Main Street, Suite 206, Delphi, IN 46923",,08:00 AM - 12:00 PM,,ho62746939,false,true,,,,poll80163971
"425 E. 5th St., Burlington, IN 46915",,08:00 AM - 02:00 PM,,ho88073189,false,true,,,,poll86577808
"658 E 871 N, Burrows, IN 46916",,08:00 AM - 02:00 PM,,ho33576323,false,true,,,,poll48732254
"102 N. Fourth St., Flora, IN 46929",,08:00 AM - 02:00 PM,,ho39250823,false,true,,,,poll59550399
"4583 N. St. Rd. 29, Camden, IN 46917",,08:00 AM - 02:00 PM,,ho78783257,false,true,,,,poll37856629
"10892 W. 825 N., Monticello, IN 47960",,08:00 AM - 02:00 PM,,ho1523985,false,true,,,,poll91236249
"200 Court Park, Room 103, Logansport, IN 46947",,09:00 AM - 04:00 PM,,ho1313280,false,true,,,,poll86551842
"115 S 6th St,  Logansport , IN 46947",,10:00 AM - 07:00 PM,,ho66394904,false,true,,,,poll96724000
"104 E. North St., Royal Center, IN 46978",,10:00 AM - 07:00 PM,,ho54739570,false,true,,,,poll5127173
"210 S Depot St, Walton, IN 46994",,10:00 AM - 07:00 PM,,ho50730886,false,true,,,,poll48971007
"101 S Park Rd, Galveston, IN 46932",,10:00 AM - 07:00 PM,,ho89912559,false,true,,,,poll42214028
"3900 E Market St,  Logansport , IN 46947",,10:00 AM - 07:00 PM,,ho2757739,false,true,,,,poll90804862
"2281 E County Road 125 N,  Logansport , IN 46947",,10:00 AM - 07:00 PM,,ho70822700,false,true,,,,poll21217639
"501 E. Court Avenue, Room 131, Jeffersonville, IN 47130",,09:00 AM - 04:00 PM,,ho74899222,false,true,,,,poll56405659
"502 E. Court Avenue, Room 131, Jeffersonville, IN 47130",,09:00 AM - 04:00 PM,,ho43925291,false,true,,,,poll26510454
"503 E. Court Avenue, Room 131, Jeffersonville, IN 47130",,09:00 AM - 04:00 PM,,ho12733491,false,true,,,,poll90370679
"504 E. Court Avenue, Room 131, Jeffersonville, IN 47130",,09:00 AM - 04:00 PM,,ho48743049,false,true,,,,poll15163647
"505 E. Court Avenue, Room 131, Jeffersonville, IN 47130",,09:00 AM - 04:00 PM,,ho98816320,false,true,,,,poll20241436
"506 E. Court Avenue, Room 131, Jeffersonville, IN 47130",,09:00 AM - 04:00 PM,,ho34844168,false,true,,,,poll61569586
"507 E. Court Avenue, Room 131, Jeffersonville, IN 47130",,09:00 AM - 12:00 PM,,ho20053029,false,true,,,,poll37729392
"609 E. National Ave., Room 211, Brazil, IN 47834",,08:00 AM - 12:00 PM,,ho76662637,false,true,,,,poll67806366
"5230 E Washington St, Bowling Green, IN 47833",,09:00 AM - 04:00 PM,,ho19830051,false,true,,,,poll86583171
"500 S Center St, Cory, IN 47846",,09:00 AM - 04:00 PM,,ho79911779,false,true,,,,poll50876013
"265 Courthouse Square, Frankfort, IN 46041",,08:00 AM - 04:00 PM,,ho64913782,false,true,,,,poll55913517
"401 W. Walnut Street, Frankfort, IN 46041",,12:00 PM - 07:00 PM,,ho94087301,false,true,,,,poll58530238
"2400 E. Wabash Street, Frankfort, IN 46041",,12:00 PM - 07:00 PM,,ho89300322,false,true,,,,poll79916718
"350 E. Main Street, rossville, IN 46065",,12:00 PM - 07:00 PM,,ho22862419,false,true,,,,poll87235998
"113 N. Main Street, Kirklin, IN 46050",,12:00 PM - 07:00 PM,,ho13757891,false,true,,,,poll47318907
"2489 N. State Road 29, Michigantown, IN 46057",,12:00 PM - 07:00 PM,,ho7762455,false,true,,,,poll18322248
"502 W. Jackson Street, Mulberry, IN 46058",,12:00 PM - 07:00 PM,,ho87125905,false,true,,,,poll35611469
"715 Judicial Plaza Drive, English, IN 47118",,08:00 AM - 06:00 PM,,ho3702649,false,true,,,,poll58570939
"200 E Walnut St, Washington, IN 47501",,08:00 AM - 04:00 PM,,ho24991982,false,true,,,,poll86095326
"215 W. High Street, Lawrenceburg, IN 47025",,09:00 AM - 12:00 PM,,ho17202790,false,true,,,,poll488939
"150 Courthouse Square, Suite 244, Greensburg, IN 47240",,08:00 AM - 04:00 PM,,ho23394722,false,true,,,,poll68204573
"100 S. Main Street, Auburn, IN 46706",,08:00 AM - 04:30 PM,,ho93163256,false,true,,,,poll63246779
"100 West Main Street, Room 211, Muncie, IN 47305",,08:30 AM - 04:00 PM,,ho38860864,false,true,,,,poll87797799
"1 Courthouse Square, Jasper, IN 47546",,08:00 AM - 06:00 PM,,ho73395919,false,true,,,,poll74454134
"101 N. Main Street, Room 204, Goshen, IN 46526",,08:00 AM - 08:00 PM,,ho91315514,false,true,,,,poll54880916
"608 Oakland Ave, Elkhart, IN 46516",,08:00 AM - 12:00 PM,,ho39771434,false,true,,,,poll4919748
"1600 S Main St, Neppanee, IN 46550",,08:00 AM - 05:00 PM,,ho38221940,false,true,,,,poll78123870
"418 N Main St, Middlebury, IN 46540",,08:00 AM - 05:00 PM,,ho32164963,false,true,,,,poll16270043
"401 Central Ave, Connersville, IN 47331",,09:00 AM - 03:00 PM,,ho36058494,false,true,,,,poll13087751
"311 Hauss Square, Room 235, New Albany, IN 47150",,08:00 AM - 04:00 PM,,ho16905414,false,true,,,,poll64341899
"180 W. Spring St., New Albany, IN 47150",,08:00 AM - 04:00 PM,,ho56808754,false,true,,,,poll44678116
"181 W. Spring St., New Albany, IN 47150",,10:00 AM - 07:00 PM,,ho69180977,false,true,,,,poll71546549
"182 W. Spring St., New Albany, IN 47150",,08:00 AM - 04:00 PM,,ho55462462,false,true,,,,poll51139614
"2023 Ekin Ave, New Albany, IN 47150",,08:00 AM - 04:00 PM,,ho40356095,false,true,,,,poll42615750
"2024 Ekin Ave, New Albany, IN 47150",,10:00 AM - 07:00 PM,,ho39148472,false,true,,,,poll36680824
"2025 Ekin Ave, New Albany, IN 47150",,08:00 AM - 04:00 PM,,ho97517098,false,true,,,,poll31897435
"2810 Green Valley Rd, New Albany, IN 47150",,08:00 AM - 04:00 PM,,ho10604466,false,true,,,,poll21045628
"2811 Green Valley Rd, New Albany, IN 47150",,10:00 AM - 07:00 PM,,ho83544294,false,true,,,,poll31889532
"2812 Green Valley Rd, New Albany, IN 47150",,08:00 AM - 04:00 PM,,ho7884176,false,true,,,,poll45886962
"4530 Paoli Pike, Floyds Knobs, IN 47119",,08:00 AM - 04:00 PM,,ho63698522,false,true,,,,poll34121596
"4531 Paoli Pike, Floyds Knobs, IN 47119",,10:00 AM - 07:00 PM,,ho99749698,false,true,,,,poll19957188
"4532 Paoli Pike, Floyds Knobs, IN 47119",,08:00 AM - 04:00 PM,,ho63782527,false,true,,,,poll61572188
"9249 Highway 150, Greenville, IN 47124",,08:00 AM - 04:00 PM,,ho14023502,false,true,,,,poll46107270
"9250 Highway 150, Greenville, IN 47124",,10:00 AM - 07:00 PM,,ho1558373,false,true,,,,poll29169877
