start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:00:00-04:00,16:30:00-04:00,,,,2015-10-12,2015-10-14,ho43846663,sch0001
08:00:00-04:00,16:30:00-04:00,,,,2015-10-17,2016-10-21,ho43846663,sch0002
08:00:00-04:00,16:30:00-04:00,,,,2016-10-24,2016-10-28,ho43846663,sch0003
08:00:00-04:00,15:00:00-04:00,,,,2016-10-29,2016-10-29,ho43846663,sch0004
08:00:00-04:00,21:00:00-04:00,,,,2016-11-01,2016-11-01,ho43846663,sch0005
08:00:00-04:00,18:00:00-04:00,,,,2016-11-02,2016-11-02,ho43846663,sch0006
08:00:00-04:00,21:00:00-04:00,,,,2016-11-03,2016-11-03,ho43846663,sch0007
08:00:00-04:00,18:00:00-04:00,,,,2016-11-04,2016-11-04,ho43846663,sch0008
08:00:00-04:00,17:00:00-04:00,,,,2016-11-05,2016-11-05,ho43846663,sch0009
08:00:00-05:00,12:00:00-05:00,,,,2016-11-07,2016-11-07,ho43846663,sch0010
10:00:00-04:00,21:00:00-04:00,,,,2016-11-01,2016-11-01,ho12228860,sch0011
10:00:00-04:00,18:00:00-04:00,,,,2016-11-02,2016-11-02,ho12228860,sch0012
10:00:00-04:00,21:00:00-04:00,,,,2016-11-03,2016-11-03,ho12228860,sch0013
10:00:00-04:00,18:00:00-04:00,,,,2016-11-04,2016-11-04,ho12228860,sch0014
10:00:00-04:00,17:00:00-04:00,,,,2016-11-05,2016-11-05,ho12228860,sch0015
10:00:00-04:00,21:00:00-04:00,,,,2016-11-01,2016-11-01,ho52790979,sch0016
10:00:00-04:00,18:00:00-04:00,,,,2016-11-02,2016-11-02,ho52790979,sch0017
10:00:00-04:00,21:00:00-04:00,,,,2016-11-03,2016-11-03,ho52790979,sch0018
10:00:00-04:00,18:00:00-04:00,,,,2016-11-04,2016-11-04,ho52790979,sch0019
10:00:00-04:00,17:00:00-04:00,,,,2016-11-05,2016-11-05,ho52790979,sch0020
10:00:00-04:00,21:00:00-04:00,,,,2016-11-01,2016-11-01,ho55089576,sch0021
10:00:00-04:00,18:00:00-04:00,,,,2016-11-02,2016-11-02,ho4908926,sch0022
10:00:00-04:00,21:00:00-04:00,,,,2016-11-03,2016-11-03,ho4908926,sch0023
10:00:00-04:00,18:00:00-04:00,,,,2016-11-04,2016-11-04,ho4908926,sch0024
10:00:00-04:00,17:00:00-04:00,,,,2016-11-05,2016-11-05,ho4908926,sch0025
10:00:00-04:00,21:00:00-04:00,,,,2016-11-01,2016-11-01,ho80532197,sch0026
10:00:00-04:00,18:00:00-04:00,,,,2016-11-02,2016-11-02,ho80532197,sch0027
10:00:00-04:00,21:00:00-04:00,,,,2016-11-03,2016-11-03,ho80532197,sch0028
10:00:00-04:00,18:00:00-04:00,,,,2016-11-04,2016-11-04,ho80532197,sch0029
10:00:00-04:00,17:00:00-04:00,,,,2016-11-05,2016-11-05,ho80532197,sch0030
08:00:00-04:00,17:00:00-04:00,,,,2015-10-12,2015-10-14,ho35427164,sch0031
08:00:00-04:00,17:00:00-04:00,,,,2015-10-17,2016-10-21,ho35427164,sch0032
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho35427164,sch0033
08:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho35427164,sch0034
08:00:00-05:00,12:00:00-05:00,,,,2016-11-07,2016-11-07,ho35427164,sch0035
08:00:00-04:00,15:00:00-04:00,,,,2016-10-29,2016-10-29,ho35427164,sch0036
08:00:00-04:00,15:00:00-04:00,,,,2016-11-05,2016-11-05,ho35427164,sch0037
11:00:00-04:00,19:00:00-04:00,,,,2016-10-31,2016-11-04,ho48273758,sch0038
08:00:00-04:00,15:00:00-04:00,,,,2016-11-05,2016-11-05,ho48273758,sch0039
11:00:00-04:00,19:00:00-04:00,,,,2016-10-31,2016-11-04,ho62398350,sch0040
08:00:00-04:00,15:00:00-04:00,,,,2016-11-05,2016-11-05,ho62398350,sch0041
11:00:00-04:00,19:00:00-04:00,,,,2016-10-31,2016-11-04,ho8986718,sch0042
08:00:00-04:00,15:00:00-04:00,,,,2016-11-05,2016-11-05,ho8986718,sch0043
08:30:00-04:00,16:00:00-04:00,,,,2016-10-12,2016-10-15,ho55017313,sch0044
08:30:00-04:00,16:00:00-04:00,,,,2016-10-17,2016-10-21,ho55017313,sch0045
08:30:00-04:00,16:00:00-04:00,,,,2016-10-24,2016-10-28,ho55017313,sch0046
08:30:00-04:00,16:00:00-04:00,,,,2016-10-31,2016-11-02,ho55017313,sch0047
08:30:00-04:00,18:30:00-04:00,,,,2016-11-03,2016-11-03,ho55017313,sch0048
08:30:00-04:00,16:00:00-04:00,,,,2016-11-04,2016-11-04,ho55017313,sch0049
08:00:00-04:00,12:00:00-04:00,,,,2016-11-05,2016-11-05,ho55017313,sch0050
08:00:00-04:00,12:00:00-04:00,,,,2016-10-29,2016-10-29,ho55017313,sch0051
08:30:00-05:00,12:00:00-05:00,,,,2016-11-07,2016-11-07,ho55017313,sch0052
08:00:00-04:00,16:00:00-04:00,,,,2016-10-12,2016-10-14,ho61246916,sch0053
08:00:00-04:00,16:00:00-04:00,,,,2016-10-17,2016-10-21,ho61246916,sch0054
08:00:00-04:00,16:00:00-04:00,,,,2016-10-24,2016-10-28,ho61246916,sch0055
08:00:00-04:00,16:00:00-04:00,,,,2016-10-31,2016-11-04,ho61246916,sch0056
08:00:00-05:00,12:00:00-05:00,,,,2016-11-07,2016-11-07,ho61246916,sch0057
08:00:00-04:00,12:00:00-04:00,,,,2016-10-29,2015-10-29,ho61246916,sch0058
08:00:00-04:00,12:00:00-04:00,,,,2016-11-05,2015-11-05,ho61246916,sch0059
08:00:00-04:00,12:00:00-04:00,,,,2016-10-29,2015-10-29,ho13033225,sch0060
08:00:00-04:00,12:00:00-04:00,,,,2016-11-05,2015-11-05,ho13033225,sch0061
08:00:00-04:00,16:00:00-04:00,,,,2016-10-12,2016-10-14,ho86920791,sch0062
08:00:00-04:00,16:00:00-04:00,,,,2016-10-17,2016-10-21,ho86920791,sch0063
08:00:00-04:00,16:00:00-04:00,,,,2016-10-24,2016-10-28,ho86920791,sch0064
08:00:00-04:00,15:00:00-04:00,,,,2016-10-29,2016-10-29,ho86920791,sch0065
08:00:00-04:00,20:00:00-04:00,,,,2016-10-31,2016-11-04,ho86920791,sch0066
08:00:00-04:00,15:00:00-04:00,,,,2016-11-05,2016-11-05,ho86920791,sch0067
08:00:00-05:00,12:00:00-05:00,,,,2016-11-07,2016-11-07,ho86920791,sch0068
08:00:00-04:00,16:00:00-04:00,,,,2016-10-12,2016-10-14,ho44553985,sch0069
08:00:00-04:00,16:00:00-04:00,,,,2016-10-17,2016-10-21,ho44553985,sch0070
08:00:00-04:00,16:00:00-04:00,,,,2016-10-24,2016-10-28,ho44553985,sch0071
09:00:00-04:00,15:00:00-04:00,,,,2016-10-29,2016-10-29,ho44553985,sch0072
08:00:00-04:00,16:00:00-04:00,,,,2016-10-31,2016-11-04,ho44553985,sch0073
09:00:00-04:00,15:00:00-04:00,,,,2016-11-05,2016-11-05,ho44553985,sch0074
08:00:00-05:00,16:00:00-05:00,,,,2016-11-07,2016-11-07,ho44553985,sch0075
08:00:00-05:00,12:00:00-05:00,,,,2016-11-08,2016-11-08,ho44553985,sch0076
08:00:00-04:00,12:00:00-04:00,,,,2016-10-12,2016-10-12,ho62746939,sch0077
08:00:00-04:00,17:00:00-04:00,,,,2016-10-13,2016-10-14,ho62746939,sch0078
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-18,ho62746939,sch0079
08:00:00-04:00,12:00:00-04:00,,,,2016-10-19,2016-10-19,ho62746939,sch0080
08:00:00-04:00,17:00:00-04:00,,,,2016-10-20,2016-10-21,ho62746939,sch0081
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-25,ho62746939,sch0082
08:00:00-04:00,12:00:00-04:00,,,,2016-10-26,2016-10-26,ho62746939,sch0083
08:00:00-04:00,17:00:00-04:00,,,,2016-10-27,2016-10-28,ho62746939,sch0084
08:00:00-04:00,15:00:00-04:00,,,,2016-10-29,2016-10-29,ho62746939,sch0085
08:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-01,ho62746939,sch0086
08:00:00-04:00,12:00:00-04:00,,,,2016-11-02,2016-11-02,ho62746939,sch0087
08:00:00-04:00,17:00:00-04:00,,,,2016-11-03,2016-11-04,ho62746939,sch0088
08:00:00-04:00,15:00:00-04:00,,,,2016-11-05,2016-11-05,ho62746939,sch0089
08:00:00-05:00,12:00:00-05:00,,,,2016-11-07,2016-11-07,ho62746939,sch0090
09:00:00-04:00,16:00:00-04:00,,,,2016-10-12,2016-10-14,ho1313280,sch0091
09:00:00-04:00,16:00:00-04:00,,,,2016-10-17,2016-10-21,ho1313280,sch0092
09:00:00-04:00,16:00:00-04:00,,,,2016-10-24,2016-10-28,ho1313280,sch0093
06:00:00-04:00,13:00:00-04:00,,,,2016-10-29,2016-10-29,ho1313280,sch0094
