election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:in/county:adams,ocd-division/country:us/state:in/county:ad0008,poll86613747 poll76936264 poll29874758 poll926381 poll61719783,st18,other,,loc0001
,ocd-id,,ocd-division/country:us/state:in/county:allen,ocd-division/country:us/state:in/county:al0028,poll23681946 poll75610980 poll52039742 poll64158121 poll51654258,st18,other,,loc0002
,ocd-id,,ocd-division/country:us/state:in/county:bartholomew,ocd-division/country:us/state:in/county:bartholo0046,poll68696075 poll61074992 poll90925176 poll26901972,st18,other,,loc0003
,ocd-id,,ocd-division/country:us/state:in/county:benton,ocd-division/country:us/state:in/county:ben0063,poll91558952,st18,other,,loc0004
,ocd-id,,ocd-division/country:us/state:in/county:blackford,ocd-division/country:us/state:in/county:blackf0073,poll99099183 poll47610798,st18,other,,loc0005
,ocd-id,,ocd-division/country:us/state:in/county:boone,ocd-division/country:us/state:in/county:bo0095,poll35496501 poll87996016 poll89763124 poll53562204 poll49308149 poll29662930 poll47262659 poll16333589 poll65153940,st18,other,,loc0006
,ocd-id,,ocd-division/country:us/state:in/county:brown,ocd-division/country:us/state:in/county:br0108,poll60818119,st18,other,,loc0007
,ocd-id,,ocd-division/country:us/state:in/county:carroll,ocd-division/country:us/state:in/county:carr0128,poll59550399 poll86577808 poll91236249 poll48732254 poll37856629 poll29639237,st18,other,,loc0008
,ocd-id,,ocd-division/country:us/state:in/county:cass,ocd-division/country:us/state:in/county:c0137,poll5127173 poll69144986 poll63992176 poll48971007 poll71549577 poll5514226 poll42214028,st18,other,,loc0009
,ocd-id,,ocd-division/country:us/state:in/county:clark,ocd-division/country:us/state:in/county:cl0149,poll90492560 poll9895375,st18,other,,loc0010
,ocd-id,,ocd-division/country:us/state:in/county:clay,ocd-division/country:us/state:in/county:c0160,poll50876013 poll86583171 poll63612033,st18,other,,loc0011
,ocd-id,,ocd-division/country:us/state:in/county:clinton,ocd-division/country:us/state:in/county:clin0180,poll79916718 poll35611469 poll55913517 poll47318907 poll18322248 poll87235998 poll58530238,st18,other,,loc0012
,ocd-id,,ocd-division/country:us/state:in/county:crawford,ocd-division/country:us/state:in/county:crawf0201,poll58570939,st18,other,,loc0013
,ocd-id,,ocd-division/country:us/state:in/county:daviess,ocd-division/country:us/state:in/county:davi0210,poll86095326,st18,other,,loc0014
,ocd-id,,ocd-division/country:us/state:in/county:dearborn,ocd-division/country:us/state:in/county:dearb0217,poll488939,st18,other,,loc0015
,ocd-id,,ocd-division/country:us/state:in/county:decatur,ocd-division/country:us/state:in/county:deca0231,poll11490398,st18,other,,loc0016
,ocd-id,,ocd-division/country:us/state:in/county:dekalb,ocd-division/country:us/state:in/county:dek0238,poll63246779,st18,other,,loc0017
,ocd-id,,ocd-division/country:us/state:in/county:delaware,ocd-division/country:us/state:in/county:delaw0241,poll29732387,st18,other,,loc0018
,ocd-id,,ocd-division/country:us/state:in/county:dubois,ocd-division/country:us/state:in/county:dub0258,poll39369131 poll74454134,st18,other,,loc0019
,ocd-id,,ocd-division/country:us/state:in/county:elkhart,ocd-division/country:us/state:in/county:elkh0269,poll16270043 poll27572729 poll4919748 poll4198391,st18,other,,loc0020
,ocd-id,,ocd-division/country:us/state:in/county:fayette,ocd-division/country:us/state:in/county:faye0285,poll13087751,st18,other,,loc0021
,ocd-id,,ocd-division/country:us/state:in/county:floyd,ocd-division/country:us/state:in/county:fl0302,poll34121596 poll45451931 poll21045628 poll44678116 poll46107270 poll46002728 poll42615750 poll93939898 poll80867376,st18,other,,loc0022
,ocd-id,,ocd-division/country:us/state:in/county:fountain,ocd-division/country:us/state:in/county:fount0321,poll3316669,st18,other,,loc0023
,ocd-id,,ocd-division/country:us/state:in/county:franklin,ocd-division/country:us/state:in/county:frank0341,poll46421344,st18,other,,loc0024
,ocd-id,,ocd-division/country:us/state:in/county:fulton,ocd-division/country:us/state:in/county:ful0348,poll60259236,st18,other,,loc0025
,ocd-id,,ocd-division/country:us/state:in/county:gibson,ocd-division/country:us/state:in/county:gib0354,poll19763318,st18,other,,loc0026
,ocd-id,,ocd-division/country:us/state:in/county:grant,ocd-division/country:us/state:in/county:gr0357,poll4507439,st18,other,,loc0027
,ocd-id,,ocd-division/country:us/state:in/county:greene,ocd-division/country:us/state:in/county:gre0367,poll99733605,st18,other,,loc0028
,ocd-id,,ocd-division/country:us/state:in/county:hamilton,ocd-division/country:us/state:in/county:hamil0373,poll27568414 poll89167529 poll752916,st18,other,,loc0029
,ocd-id,,ocd-division/country:us/state:in/county:hancock,ocd-division/country:us/state:in/county:hanc0423,poll32895215 poll20930240 poll94584289 poll95392147 poll80509286,st18,other,,loc0030
,ocd-id,,ocd-division/country:us/state:in/county:harrison,ocd-division/country:us/state:in/county:harri0439,poll15154922,st18,other,,loc0031
,ocd-id,,ocd-division/country:us/state:in/county:hendricks,ocd-division/country:us/state:in/county:hendri0458,poll80399450 poll70685577 poll54417386 poll65821189,st18,other,,loc0032
,ocd-id,,ocd-division/country:us/state:in/county:henry,ocd-division/country:us/state:in/county:he0479,poll58092671,st18,other,,loc0033
,ocd-id,,ocd-division/country:us/state:in/county:howard,ocd-division/country:us/state:in/county:how0495,poll67564597 poll27786421 poll40350730 poll79230959 poll74947160 poll14763717 poll48490488 poll36701715 poll29410908,st18,other,,loc0034
,ocd-id,,ocd-division/country:us/state:in/county:huntington,ocd-division/country:us/state:in/county:hunting0517,poll38652176 poll30986107 poll74698440 poll54476327 poll55464030 poll48152385,st18,other,,loc0035
,ocd-id,,ocd-division/country:us/state:in/county:jackson,ocd-division/country:us/state:in/county:jack0529,poll8710814 poll16762611,st18,other,,loc0036
,ocd-id,,ocd-division/country:us/state:in/county:jasper,ocd-division/country:us/state:in/county:jas0549,poll97811108,st18,other,,loc0037
,ocd-id,,ocd-division/country:us/state:in/county:jay,ocd-division/country:us/state:in/county:0555,poll74544082,st18,other,,loc0038
,ocd-id,,ocd-division/country:us/state:in/county:jefferson,ocd-division/country:us/state:in/county:jeffer0559,poll55303472,st18,other,,loc0039
,ocd-id,,ocd-division/country:us/state:in/county:jennings,ocd-division/country:us/state:in/county:jenni0569,poll96966482,st18,other,,loc0040
,ocd-id,,ocd-division/country:us/state:in/county:johnson,ocd-division/country:us/state:in/county:john0585,poll47234797 poll64851545 poll88914030 poll49633186 poll89864042 poll41310023,st18,other,,loc0041
