address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"1 E Main Street, Suite 172 Fort Wayne, IN 46802",,08:00 AM - 04:30 PM,,ho51718050,false,true,,,,poll67376765
"5630 Coventry Lane Fort Wayne, IN 46804",,10:00 AM - 09:00 PM,,ho96503904,false,true,,,,poll6008946
"536 E Dupont Rd.  Fort Wayne, IN 46825",,10:00 AM - 09:00 PM,,ho65689227,false,true,,,,poll84613755
"6600E. State Blvd Fort Wayne, IN 46815",,10:00 AM - 09:00 PM,,ho72700594,false,true,,,,poll36921457
"3030 E. Paulding Rd.  Fort Wayne, IN 46816",,10:00 AM - 09:00 PM,,ho72640150,false,true,,,,poll69198483
"234 Washington Street Columbus, IN 47201",,08:00 AM - 05:00 PM,,ho25302839,false,true,,,,poll18134555
"739 22nd St.  Columbus, IN 47201",,11:00 AM - 07:00 PM,,ho13323131,false,true,,,,poll21372008
"2310 W. Jonathan Moore Pike Columbus, IN 47201",,11:00 AM - 07:00 PM,,ho98065325,false,true,,,,poll79773532
"5300 25th St.  Columbus, IN 47203",,11:00 AM - 07:00 PM,,ho36015511,false,true,,,,poll50914585
"706 E. 5th Street, Suite 37 Fowler, IN 47944",,08:30 AM - 04:00 PM,,ho82238500,false,true,,,,poll78572115
"110 W. Washington St., First Floor Hartford City, IN 47348",,08:00 AM - 04:00 PM,,ho57921948,false,true,,,,poll41878322
"339 S Main St Montpelier, IN 47359",,08:00 AM - 12:00 PM,,ho68920006,false,true,,,,poll6073081
"212 Courthouse Square Lebanon, IN 46052",,08:00 AM - 04:00 PM,,ho73409326,false,true,,,,poll49732911
"Courthouse, 1st Floor, 20 East Main Street Nashville, IN 47448",,08:00 AM - 04:00 PM,,ho13054405,false,true,,,,poll37183024
"101 West Main Street, Suite 206 Delphi, IN 46923",,08:00 AM - 12:00 PM,,ho88888530,false,true,,,,poll26796000
"200 Court Park, Room 103 Logansport, IN 46947",,09:00 AM - 04:00 PM,,ho51970162,false,true,,,,poll43188206
"501 E. Court Avenue, Room 131 Jeffersonville, IN 47130",,09:00 AM - 04:00 PM,,ho10464749,false,true,,,,poll14519525
"502 E. Court Avenue, Room 131 Jeffersonville, IN 47130",,09:00 AM - 04:00 PM,,ho97529309,false,true,,,,poll29143294
"503 E. Court Avenue, Room 131 Jeffersonville, IN 47130",,09:00 AM - 04:00 PM,,ho45741812,false,true,,,,poll47122812
