start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:00:00-04:00,16:30:00-04:00,,,,2016-10-12,2016-10-14,ho73363540,sch0001
08:00:00-04:00,16:30:00-04:00,,,,2016-10-17,2016-10-21,ho73363540,sch0002
08:00:00-04:00,16:30:00-04:00,,,,2016-10-24,2016-10-28,ho73363540,sch0003
08:00:00-04:00,15:00:00-04:00,,,,2016-10-29,2016-10-29,ho73363540,sch0004
08:00:00-04:00,16:30:00-04:00,,,,2016-10-31,2016-11-04,ho73363540,sch0005
08:00:00-04:00,15:00:00-04:00,,,,2016-11-05,2016-11-05,ho73363540,sch0006
08:00:00-05:00,12:00:00-05:00,,,,2016-11-07,2016-11-07,ho73363540,sch0007
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho38879117,sch0008
09:00:00-04:00,16:00:00-04:00,,,,2016-11-05,2016-11-05,ho38879117,sch0009
09:00:00-04:00,16:00:00-04:00,,,,2016-11-01,2016-11-01,ho14393316,sch0010
10:00:00-04:00,16:00:00-04:00,,,,2016-10-27,2016-10-27,ho65076589,sch0011
12:00:00-04:00,20:00:00-04:00,,,,2016-11-03,2016-11-03,ho87903406,sch0012
08:00:00-04:00,16:30:00-04:00,,,,2016-10-12,2016-10-14,ho83201162,sch0013
08:00:00-04:00,16:30:00-04:00,,,,2016-10-17,2016-10-21,ho83201162,sch0014
08:00:00-04:00,16:30:00-04:00,,,,2016-10-24,2016-10-28,ho83201162,sch0015
08:00:00-04:00,16:30:00-04:00,,,,2016-10-31,2016-10-31,ho83201162,sch0016
08:00:00-04:00,15:00:00-04:00,,,,2016-10-29,2016-10-29,ho83201162,sch0017
08:00:00-04:00,21:00:00-04:00,,,,2016-11-01,2016-11-01,ho83201162,sch0018
08:00:00-04:00,18:00:00-04:00,,,,2016-11-02,2016-11-02,ho83201162,sch0019
08:00:00-04:00,21:00:00-04:00,,,,2016-11-03,2016-11-03,ho83201162,sch0020
08:00:00-04:00,18:00:00-04:00,,,,2016-11-04,2016-11-04,ho83201162,sch0021
08:00:00-04:00,17:00:00-04:00,,,,2016-11-05,2016-11-05,ho83201162,sch0022
08:00:00-05:00,12:00:00-05:00,,,,2016-11-07,2016-11-07,ho83201162,sch0023
10:00:00-04:00,21:00:00-04:00,,,,2016-11-01,2016-11-01,ho12228860,sch0024
10:00:00-04:00,18:00:00-04:00,,,,2016-11-02,2016-11-02,ho12228860,sch0025
10:00:00-04:00,21:00:00-04:00,,,,2016-11-03,2016-11-03,ho12228860,sch0026
10:00:00-04:00,18:00:00-04:00,,,,2016-11-04,2016-11-04,ho12228860,sch0027
10:00:00-04:00,17:00:00-04:00,,,,2016-11-05,2016-11-05,ho12228860,sch0028
