ocd-division,County,Location Name,Address 1,Address 2,City,State,Zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,is_subject_to_change
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,16:30:00 - 05:00,10/10/16,10/14/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,17:00:00 - 05:00,10/29/16,10/29/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,09:00:00 - 05:00,17:00:00 - 05:00,11/5/16,11/5/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 05:00,16:30:00 - 05:00,10/10/16,10/14/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:00:00 - 05:00,17:00:00 - 05:00,10/29/16,10/29/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,09:00:00 - 05:00,17:00:00 - 05:00,11/5/16,11/5/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,16:00:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,16:00:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,16:00:00 - 05:00,10/10/16,10/14/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,16:00:00 - 05:00,10/17/16,10/21/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,17:00:00 - 05:00,10/29/16,10/29/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,17:00:00 - 05:00,11/5/16,11/5/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 06:00,16:00:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:appanoose,Appanoose County,,201 N. 12th St,,Centerville,IA,52544,08:30:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE
ocd-division/country:us/state:ia/county:appanoose,Appanoose County,,201 N. 12th St,,Centerville,IA,52544,08:30:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE
