election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:ia/county:adair,adair_cou0002,poll89206310,st19,other,,loc0001
,ocd-id,,ocd-division/country:us/state:ia/county:adams,adams_cou0010,poll20301496,st19,other,,loc0002
,ocd-id,,ocd-division/country:us/state:ia/county:allamakee,allamakee_cou0020,poll45848876,st19,other,,loc0003
,ocd-id,,ocd-division/country:us/state:ia/county:appanoose,appanoose_cou0030,poll48400473,st19,other,,loc0004
,ocd-id,,ocd-division/country:us/state:ia/county:audubon,audubon_cou0041,poll96603645,st19,other,,loc0005
,ocd-id,,ocd-division/country:us/state:ia/county:benton,benton_cou0048,poll68640844,st19,other,,loc0006
,ocd-id,,ocd-division/country:us/state:ia/county:black_hawk,black_h0928,poll67631698 poll54499049 poll12021032 poll14039586 poll43152654 poll23530765 poll91335201 poll73948378 poll9681141 poll6385881,st19,other,,loc0007
,ocd-id,,ocd-division/country:us/state:ia/county:boone,boone_cou0068,poll63504723,st19,other,,loc0008
,ocd-id,,ocd-division/country:us/state:ia/county:bremer,bremer_cou0076,poll1797467 poll55670456,st19,other,,loc0009
,ocd-id,,ocd-division/country:us/state:ia/county:buchanan,buchanan_cou0090,poll16391771,st19,other,,loc0010
,ocd-id,,ocd-division/country:us/state:ia/county:buena_vista,buena_vi0935,poll23552292 poll37544739 poll60885623,st19,other,,loc0011
,ocd-id,,ocd-division/country:us/state:ia/county:butler,butler_cou0103,poll21948305,st19,other,,loc0012
,ocd-id,,ocd-division/country:us/state:ia/county:calhoun,calhoun_cou0109,poll81949606,st19,other,,loc0013
,ocd-id,,ocd-division/country:us/state:ia/county:carroll,carroll_cou0118,poll72102720,st19,other,,loc0014
,ocd-id,,ocd-division/country:us/state:ia/county:cass,cass_cou0129,poll27009282,st19,other,,loc0015
,ocd-id,,ocd-division/country:us/state:ia/county:cedar,cedar_cou0140,poll2532210,st19,other,,loc0016
,ocd-id,,ocd-division/country:us/state:ia/county:cerro_gordo,cerro_gordo_cou0152,poll51723479,st19,other,,loc0017
,ocd-id,,ocd-division/country:us/state:ia/county:cherokee,cherokee_cou0158,poll8354181,st19,other,,loc0018
,ocd-id,,ocd-division/country:us/state:ia/county:chickasaw,chickasaw_cou0170,poll24514705,st19,other,,loc0019
,ocd-id,,ocd-division/country:us/state:ia/county:clarke,clarke_cou0180,poll55030290,st19,other,,loc0020
,ocd-id,,ocd-division/country:us/state:ia/county:clay,clay_cou0188,poll16805478,st19,other,,loc0021
,ocd-id,,ocd-division/country:us/state:ia/county:clayton,clayton_cou0195,poll61944465,st19,other,,loc0022
,ocd-id,,ocd-division/country:us/state:ia/county:clinton,clin0937,poll46526790 poll44209239,st19,other,,loc0023
,ocd-id,,ocd-division/country:us/state:ia/county:crawford,crawford_cou0216,poll8813362 poll88031588,st19,other,,loc0024
