address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"400 Public Square Ste 5 Greenfield, IA 50849",,08:00 AM-16:30 PM,,ho66584857,false,true,,,,poll24319662
"500 9th St Corning, IA 50841",,08:30 AM-16:30 PM,,ho22876837,false,true,,,,poll2515447
"110 Allamakee St Waukon, IA 52172",,08:00 AM-16:00 PM,,ho92357196,false,true,,,,poll18372833
"201 N. 12th St Centerville, IA 52544",,08:30 AM-16:30 PM,,ho12893012,false,true,,,,poll42926531
"318 Leroy St #4 Audubon, IA 50025",,08:00 AM-16:30 PM,,ho42110991,false,true,,,,poll82484076
"111 E. 4th St Vinton, IA 52349",,08:00 AM-16:30 PM,,ho89056218,false,true,,,,poll69513723
"316 E. 5th St Waterloo, IA 50703",,08:00 AM-16:30 PM,,ho20840708,false,true,,,,poll46542920
"201 State St Boone, IA 50036",,08:00 AM-16:40 PM,,ho39879179,false,true,,,,poll91092648
"415 E. Bremer Waverly, IA 50677",,08:00 AM-16:30 PM,,ho74669011,false,true,,,,poll509224
"210 5th Avenue NE Independence, IA 50644",,08:00 AM-16:30 PM,,ho5903250,false,true,,,,poll59302971
"215 E. 5th St Storm Lake, IA 50588",,08:00 AM-16:30 PM,,ho70254891,false,true,,,,poll44935424
"428 6th St Allison, IA 50602",,07:30 AM-16:30 PM,,ho25871940,false,true,,,,poll53811451
"416 4th St Ste 1 Rockwell City, IA 50579",,08:30 AM-16:30 PM,,ho47341282,false,true,,,,poll65435924
"114 E. 6th St Carroll, IA 51401",,08:00 AM-16:30 PM,,ho10417445,false,true,,,,poll20195466
"5 W. 7th St Atlantic, IA 50022",,08:00 AM-16:30 PM,,ho76166010,false,true,,,,poll26451785
"400 Cedar St Tipton, IA 52772",,08:00 AM-16:00 PM,,ho58202071,false,true,,,,poll24598255
"220 N. Washington Ave. Mason City, IA 50401",,08:00 AM-16:30 PM,,ho53786338,false,true,,,,poll16752824
"520 W. Main Cherokee, IA 51012",,08:00 AM-16:40 PM,,ho19514717,false,true,,,,poll16036776
"8 E. Prospect New Hampton, IA 50659",,08:30 AM-16:30 PM,,ho5332547,false,true,,,,poll52309552
"100 S. Main Osceola, IA 50213",,08:30 AM-16:30 PM,,ho84164421,false,true,,,,poll83059940
"300 W. 4th St. Ste 4 Spencer, IA 51301",,08:00 AM-16:30 PM,,ho36248953,false,true,,,,poll55533076
"111 High St. NE Elkader, IA 52043",,08:00 AM-16:30 PM,,ho32545618,false,true,,,,poll84416914
"1900 N. 3rd St Clinton, IA 52732",,08:00 AM-16:30 PM,,ho12853910,false,true,,,,poll33990595
"1202 Broadway Ste 5 Denison, IA 51442",,08:00 AM-16:30 PM,,ho90378064,false,true,,,,poll81477769
"910 Court St Adel, IA 50003",,08:00 AM-16:30 PM,,ho2142465,false,true,,,,poll11704935
"100 Courthouse Square Ste 2 Bloomfield, IA 52537",,08:00 AM-16:00 PM,,ho40337838,false,true,,,,poll71093805
"207 N. Main St Leon, IA 50144",,08:00 AM-16:30 PM,,ho97575345,false,true,,,,poll80527074
"301 E. Main St Room 210 Manchester, IA 52057",,08:00 AM-16:30 PM,,ho55549324,false,true,,,,poll18722880
"513 N. Main Ste 203 Burlington, IA 52601",,08:00 AM-16:30 PM,,ho97756108,false,true,,,,poll12958675
"1802 Hill Avenue Ste 1400 Spirit Lake, IA 51360",,08:00 AM-16:30 PM,,ho9680467,false,true,,,,poll31765083
"720 Central Avenue Dubuque, IA 52001",,08:00 AM-16:30 PM,,ho76126245,false,true,,,,poll86807942
"609 1st Avenue N. Estherville, IA 51334",,08:00 AM-16:30 PM,,ho32825406,false,true,,,,poll76456138
"114 N. Vine St West Union, IA 52175",,08:00 AM-16:00 PM,,ho69118888,false,true,,,,poll24770363
"101 S. Main St #302 Charles City, IA 50616",,08:00 AM-16:30 PM,,ho9584993,false,true,,,,poll6211647
"12 1st Avenue NW Hampton, IA 50441",,08:00 AM-16:00 PM,,ho25958677,false,true,,,,poll37872814
"506 Filmore Sidney, IA 51652",,08:00 AM-16:30 PM,,ho86046953,false,true,,,,poll34966396
"114 N. Chestnut Jefferson, IA 50129",,08:00 AM-16:30 PM,,ho69815397,false,true,,,,poll43978510
"706 G Avenue Grundy Center, IA 50638",,08:00 AM-16:30 PM,,ho84256670,false,true,,,,poll5182951
"200 N. 5th Guthrie Center, IA 50115",,08:00 AM-16:30 PM,,ho34721410,false,true,,,,poll26679767
"2300 Superior St Webster City, IA 50595",,08:00 AM-16:30 PM,,ho60691502,false,true,,,,poll48577949
"855 State St Garner, IA 50438",,08:00 AM-16:00 PM,,ho21904221,false,true,,,,poll82004423
"1215 Edgington Avenue Ste 1 Eldora, IA 50627",,08:00 AM-16:30 PM,,ho64934656,false,true,,,,poll39874556
"111 N. 2nd Avenue Logan, IA 51546",,07:00 AM-16:30 PM,,ho9038642,false,true,,,,poll30645957
