ocd-division,county,name,address_one,address_two,city,state,zip,start_time,end_time,start_date,end_date,appt1,appt2,app3,subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,False,False,False,,1,"400 Public Square, Greenfield, IA 50849",Ste 5,08:00 AM-04:30 PM,,ho90961839,false,true,,,,poll89206310
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,False,False,False,,2,"400 Public Square, Greenfield, IA 50849",Ste 5,08:00 AM-04:30 PM,,ho90961839,false,true,,,,poll89206310
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,16:30:00 - 05:00,10/10/16,10/14/16,False,False,False,,3,"400 Public Square, Greenfield, IA 50849",Ste 5,08:00 AM-04:30 PM,,ho90961839,false,true,,,,poll89206310
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,False,False,False,,4,"400 Public Square, Greenfield, IA 50849",Ste 5,08:00 AM-04:30 PM,,ho90961839,false,true,,,,poll89206310
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,False,False,False,,5,"400 Public Square, Greenfield, IA 50849",Ste 5,08:00 AM-04:30 PM,,ho90961839,false,true,,,,poll89206310
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,17:00:00 - 05:00,10/29/16,10/29/16,False,False,False,,6,"400 Public Square, Greenfield, IA 50849",Ste 5,08:00 AM-05:00 PM,,ho90961839,false,true,,,,poll89206310
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,False,False,False,,7,"400 Public Square, Greenfield, IA 50849",Ste 5,08:00 AM-04:30 PM,,ho90961839,false,true,,,,poll89206310
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,09:00:00 - 05:00,17:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,8,"400 Public Square, Greenfield, IA 50849",Ste 5,09:00 AM-05:00 PM,,ho90961839,false,true,,,,poll89206310
ocd-division/country:us/state:ia/county:adair,Adair County,,400 Public Square,Ste 5,Greenfield,IA,50849,08:00:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,False,False,False,,9,"400 Public Square, Greenfield, IA 50849",Ste 5,08:00 AM-04:30 PM,,ho90961839,false,true,,,,poll89206310
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,False,False,False,,10,"500 9th St, Corning, IA 50841",,08:30 AM-04:30 PM,,ho59636117,false,true,,,,poll20301496
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,False,False,False,,11,"500 9th St, Corning, IA 50841",,08:30 AM-04:30 PM,,ho59636117,false,true,,,,poll20301496
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 05:00,16:30:00 - 05:00,10/10/16,10/14/16,False,False,False,,12,"500 9th St, Corning, IA 50841",,08:30 AM-04:30 PM,,ho59636117,false,true,,,,poll20301496
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,False,False,False,,13,"500 9th St, Corning, IA 50841",,08:30 AM-04:30 PM,,ho59636117,false,true,,,,poll20301496
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,False,False,False,,14,"500 9th St, Corning, IA 50841",,08:30 AM-04:30 PM,,ho59636117,false,true,,,,poll20301496
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:00:00 - 05:00,17:00:00 - 05:00,10/29/16,10/29/16,False,False,False,,15,"500 9th St, Corning, IA 50841",,08:00 AM-05:00 PM,,ho59636117,false,true,,,,poll20301496
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,False,False,False,,16,"500 9th St, Corning, IA 50841",,08:30 AM-04:30 PM,,ho59636117,false,true,,,,poll20301496
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,09:00:00 - 05:00,17:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,17,"500 9th St, Corning, IA 50841",,09:00 AM-05:00 PM,,ho59636117,false,true,,,,poll20301496
ocd-division/country:us/state:ia/county:adams,Adams County,,500 9th St,,Corning,IA,50841,08:30:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,False,False,False,,18,"500 9th St, Corning, IA 50841",,08:30 AM-04:30 PM,,ho59636117,false,true,,,,poll20301496
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,16:00:00 - 05:00,9/29/16,9/30/16,False,False,False,,19,"110 Allamakee St, Waukon, IA 52172",,08:00 AM-04:00 PM,,ho76066885,false,true,,,,poll45848876
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,16:00:00 - 05:00,10/3/16,10/7/16,False,False,False,,20,"110 Allamakee St, Waukon, IA 52172",,08:00 AM-04:00 PM,,ho76066885,false,true,,,,poll45848876
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,16:00:00 - 05:00,10/10/16,10/14/16,False,False,False,,21,"110 Allamakee St, Waukon, IA 52172",,08:00 AM-04:00 PM,,ho76066885,false,true,,,,poll45848876
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,16:00:00 - 05:00,10/17/16,10/21/16,False,False,False,,22,"110 Allamakee St, Waukon, IA 52172",,08:00 AM-04:00 PM,,ho76066885,false,true,,,,poll45848876
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,False,False,False,,23,"110 Allamakee St, Waukon, IA 52172",,08:00 AM-04:00 PM,,ho76066885,false,true,,,,poll45848876
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,17:00:00 - 05:00,10/29/16,10/29/16,False,False,False,,24,"110 Allamakee St, Waukon, IA 52172",,08:00 AM-05:00 PM,,ho76066885,false,true,,,,poll45848876
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,False,False,False,,25,"110 Allamakee St, Waukon, IA 52172",,08:00 AM-04:00 PM,,ho76066885,false,true,,,,poll45848876
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 05:00,17:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,26,"110 Allamakee St, Waukon, IA 52172",,08:00 AM-05:00 PM,,ho76066885,false,true,,,,poll45848876
ocd-division/country:us/state:ia/county:allamakee,Allamakee County,,110 Allamakee St,,Waukon,IA,52172,08:00:00 - 06:00,16:00:00 - 06:00,11/7/16,11/7/16,False,False,False,,27,"110 Allamakee St, Waukon, IA 52172",,08:00 AM-04:00 PM,,ho76066885,false,true,,,,poll45848876
ocd-division/country:us/state:ia/county:appanoose,Appanoose County,,201 N. 12th St,,Centerville,IA,52544,08:30:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,False,False,False,,28,"201 N. 12th St, Centerville, IA 52544",,08:30 AM-04:30 PM,,ho49688510,false,true,,,,poll48400473
ocd-division/country:us/state:ia/county:appanoose,Appanoose County,,201 N. 12th St,,Centerville,IA,52544,08:30:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,False,False,False,,29,"201 N. 12th St, Centerville, IA 52544",,08:30 AM-04:30 PM,,ho49688510,false,true,,,,poll48400473
ocd-division/country:us/state:ia/county:appanoose,Appanoose County,,201 N. 12th St,,Centerville,IA,52544,08:30:00 - 05:00,16:30:00 - 05:00,10/10/16,10/14/16,False,False,False,,30,"201 N. 12th St, Centerville, IA 52544",,08:30 AM-04:30 PM,,ho49688510,false,true,,,,poll48400473
ocd-division/country:us/state:ia/county:appanoose,Appanoose County,,201 N. 12th St,,Centerville,IA,52544,08:30:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,False,False,False,,31,"201 N. 12th St, Centerville, IA 52544",,08:30 AM-04:30 PM,,ho49688510,false,true,,,,poll48400473
ocd-division/country:us/state:ia/county:appanoose,Appanoose County,,201 N. 12th St,,Centerville,IA,52544,08:30:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,False,False,False,,32,"201 N. 12th St, Centerville, IA 52544",,08:30 AM-04:30 PM,,ho49688510,false,true,,,,poll48400473
ocd-division/country:us/state:ia/county:appanoose,Appanoose County,,201 N. 12th St,,Centerville,IA,52544,08:00:00 - 05:00,17:00:00 - 05:00,10/29/16,10/29/16,False,False,False,,33,"201 N. 12th St, Centerville, IA 52544",,08:00 AM-05:00 PM,,ho49688510,false,true,,,,poll48400473
ocd-division/country:us/state:ia/county:appanoose,Appanoose County,,201 N. 12th St,,Centerville,IA,52544,08:30:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,False,False,False,,34,"201 N. 12th St, Centerville, IA 52544",,08:30 AM-04:30 PM,,ho49688510,false,true,,,,poll48400473
ocd-division/country:us/state:ia/county:appanoose,Appanoose County,,201 N. 12th St,,Centerville,IA,52544,08:00:00 - 05:00,17:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,35,"201 N. 12th St, Centerville, IA 52544",,08:00 AM-05:00 PM,,ho49688510,false,true,,,,poll48400473
ocd-division/country:us/state:ia/county:appanoose,Appanoose County,,201 N. 12th St,,Centerville,IA,52544,08:30:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,False,False,False,,36,"201 N. 12th St, Centerville, IA 52544",,08:30 AM-04:30 PM,,ho49688510,false,true,,,,poll48400473
ocd-division/country:us/state:ia/county:audubon,Audubon County,,318 Leroy St,#4,Audubon,IA,50025,08:00:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,False,False,False,,37,"318 Leroy St, Audubon, IA 50025",#4,08:00 AM-04:30 PM,,ho82770580,false,true,,,,poll96603645
ocd-division/country:us/state:ia/county:audubon,Audubon County,,318 Leroy St,#4,Audubon,IA,50025,08:00:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,False,False,False,,38,"318 Leroy St, Audubon, IA 50025",#4,08:00 AM-04:30 PM,,ho82770580,false,true,,,,poll96603645
ocd-division/country:us/state:ia/county:audubon,Audubon County,,318 Leroy St,#4,Audubon,IA,50025,08:00:00 - 05:00,16:30:00 - 05:00,10/10/16,10/14/16,False,False,False,,39,"318 Leroy St, Audubon, IA 50025",#4,08:00 AM-04:30 PM,,ho82770580,false,true,,,,poll96603645
ocd-division/country:us/state:ia/county:audubon,Audubon County,,318 Leroy St,#4,Audubon,IA,50025,08:00:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,False,False,False,,40,"318 Leroy St, Audubon, IA 50025",#4,08:00 AM-04:30 PM,,ho82770580,false,true,,,,poll96603645
ocd-division/country:us/state:ia/county:audubon,Audubon County,,318 Leroy St,#4,Audubon,IA,50025,08:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,False,False,False,,41,"318 Leroy St, Audubon, IA 50025",#4,08:00 AM-04:30 PM,,ho82770580,false,true,,,,poll96603645
ocd-division/country:us/state:ia/county:audubon,Audubon County,,318 Leroy St,#4,Audubon,IA,50025,09:00:00 - 05:00,17:00:00 - 05:00,10/29/16,10/29/16,False,False,False,,42,"318 Leroy St, Audubon, IA 50025",#4,09:00 AM-05:00 PM,,ho82770580,false,true,,,,poll96603645
ocd-division/country:us/state:ia/county:audubon,Audubon County,,318 Leroy St,#4,Audubon,IA,50025,08:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,False,False,False,,43,"318 Leroy St, Audubon, IA 50025",#4,08:00 AM-04:30 PM,,ho82770580,false,true,,,,poll96603645
ocd-division/country:us/state:ia/county:audubon,Audubon County,,318 Leroy St,#4,Audubon,IA,50025,09:00:00 - 05:00,17:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,44,"318 Leroy St, Audubon, IA 50025",#4,09:00 AM-05:00 PM,,ho82770580,false,true,,,,poll96603645
ocd-division/country:us/state:ia/county:audubon,Audubon County,,318 Leroy St,#4,Audubon,IA,50025,08:00:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,False,False,False,,45,"318 Leroy St, Audubon, IA 50025",#4,08:00 AM-04:30 PM,,ho82770580,false,true,,,,poll96603645
ocd-division/country:us/state:ia/county:benton,Benton County,,111 E. 4th St,,Vinton,IA,52349,08:00:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,False,False,False,,46,"111 E. 4th St, Vinton, IA 52349",,08:00 AM-04:30 PM,,ho20680008,false,true,,,,poll68640844
ocd-division/country:us/state:ia/county:benton,Benton County,,111 E. 4th St,,Vinton,IA,52349,08:00:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,False,False,False,,47,"111 E. 4th St, Vinton, IA 52349",,08:00 AM-04:30 PM,,ho20680008,false,true,,,,poll68640844
ocd-division/country:us/state:ia/county:benton,Benton County,,111 E. 4th St,,Vinton,IA,52349,08:00:00 - 05:00,16:30:00 - 05:00,10/10/16,10/14/16,False,False,False,,48,"111 E. 4th St, Vinton, IA 52349",,08:00 AM-04:30 PM,,ho20680008,false,true,,,,poll68640844
ocd-division/country:us/state:ia/county:benton,Benton County,,111 E. 4th St,,Vinton,IA,52349,08:00:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,False,False,False,,49,"111 E. 4th St, Vinton, IA 52349",,08:00 AM-04:30 PM,,ho20680008,false,true,,,,poll68640844
ocd-division/country:us/state:ia/county:benton,Benton County,,111 E. 4th St,,Vinton,IA,52349,08:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,False,False,False,,50,"111 E. 4th St, Vinton, IA 52349",,08:00 AM-04:30 PM,,ho20680008,false,true,,,,poll68640844
ocd-division/country:us/state:ia/county:benton,Benton County,,111 E. 4th St,,Vinton,IA,52349,08:00:00 - 05:00,17:00:00 - 05:00,10/29/16,10/29/16,False,False,False,,51,"111 E. 4th St, Vinton, IA 52349",,08:00 AM-05:00 PM,,ho20680008,false,true,,,,poll68640844
ocd-division/country:us/state:ia/county:benton,Benton County,,111 E. 4th St,,Vinton,IA,52349,08:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,False,False,False,,52,"111 E. 4th St, Vinton, IA 52349",,08:00 AM-04:30 PM,,ho20680008,false,true,,,,poll68640844
ocd-division/country:us/state:ia/county:benton,Benton County,,111 E. 4th St,,Vinton,IA,52349,08:00:00 - 05:00,17:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,53,"111 E. 4th St, Vinton, IA 52349",,08:00 AM-05:00 PM,,ho20680008,false,true,,,,poll68640844
ocd-division/country:us/state:ia/county:benton,Benton County,,111 E. 4th St,,Vinton,IA,52349,08:00:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,False,False,False,,54,"111 E. 4th St, Vinton, IA 52349",,08:00 AM-04:30 PM,,ho20680008,false,true,,,,poll68640844
ocd-division/country:us/state:ia/county:black_hawk,Black Hawk County,,316 E. 5th St,,Waterloo,IA,50703,08:00:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,False,False,False,,55,"316 E. 5th St, Waterloo, IA 50703",,08:00 AM-04:30 PM,,ho31619692,false,true,,,,poll23530765
ocd-division/country:us/state:ia/county:black_hawk,Black Hawk County,,316 E. 5th St,,Waterloo,IA,50703,08:00:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,False,False,False,,56,"316 E. 5th St, Waterloo, IA 50703",,08:00 AM-04:30 PM,,ho31619692,false,true,,,,poll23530765
ocd-division/country:us/state:ia/county:black_hawk,Black Hawk County,,316 E. 5th St,,Waterloo,IA,50703,08:00:00 - 05:00,16:30:00 - 05:00,10/10/16,10/14/16,False,False,False,,57,"316 E. 5th St, Waterloo, IA 50703",,08:00 AM-04:30 PM,,ho31619692,false,true,,,,poll23530765
ocd-division/country:us/state:ia/county:black_hawk,Black Hawk County,,316 E. 5th St,,Waterloo,IA,50703,08:00:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,False,False,False,,58,"316 E. 5th St, Waterloo, IA 50703",,08:00 AM-04:30 PM,,ho31619692,false,true,,,,poll23530765
ocd-division/country:us/state:ia/county:black_hawk,Black Hawk County,,316 E. 5th St,,Waterloo,IA,50703,08:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,False,False,False,,59,"316 E. 5th St, Waterloo, IA 50703",,08:00 AM-04:30 PM,,ho31619692,false,true,,,,poll23530765
ocd-division/country:us/state:ia/county:black_hawk,Black Hawk County,,316 E. 5th St,,Waterloo,IA,50703,08:00:00 - 05:00,17:00:00 - 05:00,10/29/16,10/29/16,False,False,False,,60,"316 E. 5th St, Waterloo, IA 50703",,08:00 AM-05:00 PM,,ho31619692,false,true,,,,poll23530765
ocd-division/country:us/state:ia/county:black_hawk,Black Hawk County,,316 E. 5th St,,Waterloo,IA,50703,08:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,False,False,False,,61,"316 E. 5th St, Waterloo, IA 50703",,08:00 AM-04:30 PM,,ho31619692,false,true,,,,poll23530765
ocd-division/country:us/state:ia/county:black_hawk,Black Hawk County,,316 E. 5th St,,Waterloo,IA,50703,08:00:00 - 05:00,17:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,62,"316 E. 5th St, Waterloo, IA 50703",,08:00 AM-05:00 PM,,ho31619692,false,true,,,,poll23530765
ocd-division/country:us/state:ia/county:black_hawk,Black Hawk County,,316 E. 5th St,,Waterloo,IA,50703,08:00:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,False,False,False,,63,"316 E. 5th St, Waterloo, IA 50703",,08:00 AM-04:30 PM,,ho31619692,false,true,,,,poll23530765
ocd-division/country:us/state:ia/county:boone,Boone County,,201 State St,,Boone,IA,50036,08:00:00 - 05:00,16:40:00 - 05:00,9/29/16,9/30/16,False,False,False,,64,"201 State St, Boone, IA 50036",,08:00 AM-04:40 PM,,ho94698844,false,true,,,,poll63504723
ocd-division/country:us/state:ia/county:boone,Boone County,,201 State St,,Boone,IA,50036,08:00:00 - 05:00,16:40:00 - 05:00,10/3/16,10/7/16,False,False,False,,65,"201 State St, Boone, IA 50036",,08:00 AM-04:40 PM,,ho94698844,false,true,,,,poll63504723
ocd-division/country:us/state:ia/county:boone,Boone County,,201 State St,,Boone,IA,50036,08:00:00 - 05:00,16:40:00 - 05:00,10/10/16,10/14/16,False,False,False,,66,"201 State St, Boone, IA 50036",,08:00 AM-04:40 PM,,ho94698844,false,true,,,,poll63504723
ocd-division/country:us/state:ia/county:boone,Boone County,,201 State St,,Boone,IA,50036,08:00:00 - 05:00,16:40:00 - 05:00,10/17/16,10/21/16,False,False,False,,67,"201 State St, Boone, IA 50036",,08:00 AM-04:40 PM,,ho94698844,false,true,,,,poll63504723
ocd-division/country:us/state:ia/county:boone,Boone County,,201 State St,,Boone,IA,50036,08:00:00 - 05:00,16:40:00 - 05:00,10/24/16,10/28/16,False,False,False,,68,"201 State St, Boone, IA 50036",,08:00 AM-04:40 PM,,ho94698844,false,true,,,,poll63504723
ocd-division/country:us/state:ia/county:boone,Boone County,,201 State St,,Boone,IA,50036,08:00:00 - 05:00,17:00:00 - 05:00,10/29/16,10/29/16,False,False,False,,69,"201 State St, Boone, IA 50036",,08:00 AM-05:00 PM,,ho94698844,false,true,,,,poll63504723
ocd-division/country:us/state:ia/county:boone,Boone County,,201 State St,,Boone,IA,50036,08:00:00 - 05:00,16:40:00 - 05:00,10/31/16,11/4/16,False,False,False,,70,"201 State St, Boone, IA 50036",,08:00 AM-04:40 PM,,ho94698844,false,true,,,,poll63504723
ocd-division/country:us/state:ia/county:boone,Boone County,,201 State St,,Boone,IA,50036,08:00:00 - 05:00,17:00:00 - 05:00,11/5/16,11/5/16,False,False,False,,71,"201 State St, Boone, IA 50036",,08:00 AM-05:00 PM,,ho94698844,false,true,,,,poll63504723
ocd-division/country:us/state:ia/county:boone,Boone County,,201 State St,,Boone,IA,50036,08:00:00 - 06:00,16:40:00 - 06:00,11/7/16,11/7/16,False,False,False,,72,"201 State St, Boone, IA 50036",,08:00 AM-04:40 PM,,ho94698844,false,true,,,,poll63504723
ocd-division/country:us/state:ia/county:bremer,Bremer County,,415 E. Bremer,,Waverly,IA,50677,08:00:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,False,False,False,,73,"415 E. Bremer, Waverly, IA 50677",,08:00 AM-04:30 PM,,ho97263221,false,true,,,,poll55670456
