start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:00:00-06:00,16:30:00-06:00,,,,2016-09-29,2016-09-30,ho15879802,sch0001
08:00:00-06:00,16:30:00-06:00,,,,2016-10-03,2016-10-07,ho15879802,sch0002
08:00:00-06:00,16:30:00-06:00,,,,2016-10-10,2016-10-14,ho15879802,sch0003
08:00:00-06:00,16:30:00-06:00,,,,2016-10-17,2016-10-21,ho15879802,sch0004
08:00:00-06:00,16:30:00-06:00,,,,2016-10-24,2016-10-28,ho15879802,sch0005
08:00:00-06:00,16:30:00-06:00,,,,2016-10-31,2016-11-04,ho15879802,sch0006
08:00:00-06:00,16:30:00-06:00,,,,2016-11-07,2016-11-07,ho15879802,sch0007
08:30:00-06:00,16:30:00-06:00,,,,2016-09-29,2016-09-30,ho59636117,sch0008
08:30:00-06:00,16:30:00-06:00,,,,2016-10-03,2016-10-07,ho59636117,sch0009
08:30:00-06:00,16:30:00-06:00,,,,2016-10-10,2016-10-14,ho59636117,sch0010
08:30:00-06:00,16:30:00-06:00,,,,2016-10-17,2016-10-21,ho59636117,sch0011
08:30:00-06:00,16:30:00-06:00,,,,2016-10-24,2016-10-28,ho59636117,sch0012
08:30:00-06:00,16:30:00-06:00,,,,2016-10-31,2016-11-04,ho59636117,sch0013
08:30:00-06:00,16:30:00-06:00,,,,2016-11-07,2016-11-07,ho59636117,sch0014
08:00:00-06:00,16:00:00-06:00,,,,2016-09-29,2016-09-30,ho76066885,sch0015
08:00:00-06:00,16:00:00-06:00,,,,2016-10-03,2016-10-07,ho76066885,sch0016
08:00:00-06:00,16:00:00-06:00,,,,2016-10-10,2016-10-14,ho76066885,sch0017
08:00:00-06:00,16:00:00-06:00,,,,2016-10-17,2016-10-21,ho76066885,sch0018
08:00:00-06:00,16:00:00-06:00,,,,2016-10-24,2016-10-28,ho76066885,sch0019
08:00:00-06:00,16:00:00-06:00,,,,2016-10-31,2016-11-04,ho76066885,sch0020
08:00:00-06:00,16:00:00-06:00,,,,2016-11-07,2016-11-07,ho76066885,sch0021
08:30:00-06:00,16:30:00-06:00,,,,2016-09-29,2016-09-30,ho49688510,sch0022
08:30:00-06:00,16:30:00-06:00,,,,2016-10-03,2016-10-07,ho49688510,sch0023
08:30:00-06:00,16:30:00-06:00,,,,2016-10-10,2016-10-14,ho49688510,sch0024
