election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country/us/state:ks/county:allen,allen_lola_23,poll0023,st20,,,loc0001
,ocd-id,,ocd-division/country/us/state:ks/county:anderson,anderson_garnett_24,poll0024,st20,,,loc0002
,ocd-id,,ocd-division/country/us/state:ks/county:atchison,atchison_atchison_96,poll0097,st20,,,loc0003
,ocd-id,,ocd-division/country/us/state:ks/county:barber,barber_medicine,poll0098,st20,,,loc0004
,ocd-id,,ocd-division/country/us/state:ks/county:barton,barton_great,poll0025,st20,,,loc0005
,ocd-id,,ocd-division/country/us/state:ks/county:bourbon,bourbon_ft,poll0099,st20,,,loc0006
,ocd-id,,ocd-division/country/us/state:ks/county:brown,brown_hiawatha_26,poll0026,st20,,,loc0007
,ocd-id,,ocd-division/country/us/state:ks/county:butler,butler_el,poll0027,st20,,,loc0008
,ocd-id,,ocd-division/country/us/state:ks/county:chase,chase_cottonwood,poll0028,st20,,,loc0009
,ocd-id,,ocd-division/country/us/state:ks/county:chautauqua,chautauqua_sedan_29,poll0029,st20,,,loc0010
,ocd-id,,ocd-division/country/us/state:ks/county:cherokee,cherokee_columbus_30,poll0030,st20,,,loc0011
,ocd-id,,ocd-division/country/us/state:ks/county:cheyenne,cheyenne_st,poll0031 poll0001,st20,,,loc0012
,ocd-id,,ocd-division/country/us/state:ks/county:clark,clark_ashland_32,poll0032,st20,,,loc0013
,ocd-id,,ocd-division/country/us/state:ks/county:clay,clay_clay,poll0033,st20,,,loc0014
,ocd-id,,ocd-division/country/us/state:ks/county:cloud,cloud_concordia_34,poll0034,st20,,,loc0015
,ocd-id,,ocd-division/country/us/state:ks/county:coffey,coffey_burlington_35,poll0035,st20,,,loc0016
,ocd-id,,ocd-division/country/us/state:ks/county:comanche,comanche_coldwater_117,poll0122 poll0002,st20,,,loc0017
,ocd-id,,ocd-division/country/us/state:ks/county:cowley,cowley_winfield_36,poll0036,st20,,,loc0018
,ocd-id,,ocd-division/country/us/state:ks/county:crawford,crawford_girard_99,poll0100,st20,,,loc0019
,ocd-id,,ocd-division/country/us/state:ks/county:decatur,decatur_oberlin_37,poll0037,st20,,,loc0020
,ocd-id,,ocd-division/country/us/state:ks/county:dickinson,dickinson_abilene_38,poll0038,st20,,,loc0021
,ocd-id,,ocd-division/country/us/state:ks/county:doniphan,doniphan_troy_100,poll0101,st20,,,loc0022
,ocd-id,,ocd-division/country/us/state:ks/county:douglas,douglas_lawrence_39,poll0039,st20,,,loc0023
,ocd-id,,ocd-division/country/us/state:ks/county:edwards,edwards_kinsley_40,poll0040,st20,,,loc0024
,ocd-id,,ocd-division/country/us/state:ks/county:elk,elk_howard_41,poll0041,st20,,,loc0025
,ocd-id,,ocd-division/country/us/state:ks/county:ellis,ellis_hays_42,poll0042,st20,,,loc0026
,ocd-id,,ocd-division/country/us/state:ks/county:ellsworth,ellsworth_ellsworth_43,poll0043,st20,,,loc0027
,ocd-id,,ocd-division/country/us/state:ks/county:finney,finney_garden,poll0044,st20,,,loc0028
,ocd-id,,ocd-division/country/us/state:ks/county:ford,ford_dodge,poll0123,st20,,,loc0029
,ocd-id,,ocd-division/country/us/state:ks/county:franklin,franklin_ottawa_45,poll0045,st20,,,loc0030
