election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:ks/county:morton,morton_elkhart_312,poll10227693,st20,other,,loc0001
,ocd-id,,ocd-division/country:us/state:ks/county:neosho,neosho_erie_324,poll10592309,st20,other,,loc0002
,ocd-id,,ocd-division/country:us/state:ks/county:lincoln,lincoln_lincoln_258,poll10791726,st20,other,,loc0003
,ocd-id,,ocd-division/country:us/state:ks/county:brown,brown_hiawatha_24,poll11298506,st20,other,,loc0004
,ocd-id,,ocd-division/country:us/state:ks/county:johnson,johnson_overland,poll1159718,st20,other,,loc0005
,ocd-id,,ocd-division/country:us/state:ks/county:cherokee,cherokee_columbus_40,poll12349079,st20,other,,loc0006
,ocd-id,,ocd-division/country:us/state:ks/county:scott,scott_scott,poll12576203,st20,other,,loc0007
,ocd-id,,ocd-division/country:us/state:ks/county:smith,smith_smith,poll12746312,st20,other,,loc0008
,ocd-id,,ocd-division/country:us/state:ks/county:nemaha,nemaha_seneca_316,poll13473456,st20,other,,loc0009
,ocd-id,,ocd-division/country:us/state:ks/county:barber,barber_medicine,poll13751350,st20,other,,loc0010
,ocd-id,,ocd-division/country:us/state:ks/county:finney,finney_garden,poll14459408,st20,other,,loc0011
,ocd-id,,ocd-division/country:us/state:ks/county:marion,marion_marion_278,poll14727303,st20,other,,loc0012
,ocd-id,,ocd-division/country:us/state:ks/county:cowley,cowley_winfield_76,poll19711793,st20,other,,loc0013
,ocd-id,,ocd-division/country:us/state:ks/county:meade,meade_meade_289,poll19823926,st20,other,,loc0014
,ocd-id,,ocd-division/country:us/state:ks/county:ellis,ellis_hays_111,poll19994593,st20,other,,loc0015
,ocd-id,,ocd-division/country:us/state:ks/county:sedgwick,sedgwick_wichita_442,poll20708707,st20,other,,loc0016
,ocd-id,,ocd-division/country:us/state:ks/county:pottawatomie,pottawatomie_westmoreland_365,poll20735871,st20,other,,loc0017
,ocd-id,,ocd-division/country:us/state:ks/county:washington,washington_washington_546,poll212146,st20,other,,loc0018
,ocd-id,,ocd-division/country:us/state:ks/county:anderson,anderson_garnett_5,poll22014036,st20,other,,loc0019
,ocd-id,,ocd-division/country:us/state:ks/county:trego,trego_wakeeney_529,poll23730737,st20,other,,loc0020
