address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"1 N Washington, Lola, KS 66749",,8:00 AM-5:00 PM,,ho46088214,false,True,,,,poll0001
"100 E 4th, Garnett, KS 66032",,8:00 AM-5:00 PM,,ho22014036,false,True,,,,poll0006
"423 N 5th, Atchison, KS 66002-1861",,8:30 AM-5:00 PM,,ho94568803,false,True,,,,poll0011
"120 E Washington, Medicine Lodge, KS 67104",,8:30 AM-5:00 PM,,ho13751350,false,True,,,,poll0016
"1400 Main Street Room 202, Great Bend, KS 67530",,8:00 AM-5:00 PM,,ho92877893,false,True,,,,poll0021
"210 S National, Ft Scott, KS 66701",,8:30 AM-4:30 PM,,ho49681936,false,True,,,,poll0026
"601 Oregon St, Hiawatha, KS 66434",,8:00 AM-5:00 PM,,ho11298506,false,True,,,,poll0031
"205 W Central, El Dorado, KS 67042",,8:00 AM-5:00 PM,,ho90630924,false,True,,,,poll0036
"300 Pearl St, Cottonwood Falls, KS 66845-0547",,8:00 AM-5:00 PM,,ho18175681,false,True,,,,poll0041
"215 N Chautauqua, Sedan, KS 67361",,8:00 AM-4:00 PM,,ho76569633,false,True,,,,poll0046
"110 W. Maple St #31, Columbus, KS 66725",,8:00 AM-5:00 PM,,ho12349079,false,True,,,,poll0051
"212 Washington St, St Francis, KS 67756",,8:00 AM-12:00 PM,,ho65099163,false,True,,,,poll0056
"212 Washington St, St Francis, KS 67756",,1:00 AM-5:00 PM,,ho65099163,false,True,,,,poll0057
"913 Highland, Ashland, KS 67831",,8:00 AM-5:00 PM,,ho83974220,false,True,,,,poll0066
"712 5th Street Suite 102, Clay Center, KS 67432",,8:00 AM-5:00 PM,,ho73396200,false,True,,,,poll0071
"811 Washington, Concordia, KS 66901",,8:00 AM-4:30 PM,,ho78837689,false,True,,,,poll0076
"Room 202 110 S 6th, Burlington, KS 66839",,8:00 AM-5:00 PM,,ho56118502,false,True,,,,poll0081
"201 S New York Avenue, Coldwater, KS 67029",,9:00 AM-12:00 PM,,ho37839255,false,True,,,,poll0086
"201 S New York Avenue, Coldwater, KS 67029",,1:00 AM-5:00 PM,,ho37839255,false,True,,,,poll0087
"321 E. 10th Avenue, Winfield, KS 67156",,8:00 AM-5:00 PM,,ho19711793,false,True,,,,poll0096
"111 E Forest Avenue, Girard, KS 66743-0249",,8:30 AM-4:30 PM,,ho44314876,false,True,,,,poll0101
"120 E Hall St #4, Oberlin, KS 67749",,8:00 AM-5:00 PM,,ho88393637,false,True,,,,poll0106
"109 E 1st, Ste. 207, Abilene, KS 67410",,8:00 AM-5:00 PM,,ho87225355,false,True,,,,poll0111
"120 E Chestnut St, Troy, KS 66087",,8:30 AM-5:00 PM,,ho28018905,false,True,,,,poll0116
"1100 Massachusetts St, Lawrence, KS 66044",,8:00 AM-5:00 PM,,ho85480065,false,True,,,,poll0121
"312 Massachusetts, Kinsley, KS 67547",,8:00 AM-5:00 PM,,ho63905830,false,True,,,,poll0126
"127 N Pine St, Howard, KS 67349",,8:00 AM-4:30 PM,,ho97967978,false,True,,,,poll0131
"1204 Fort St,, Hays, KS 67601",,8:00 AM-5:00 PM,,ho19994593,false,True,,,,poll0136
"210 N Kansas, Ellsworth, KS 67439",,8:00 AM-5:00 PM,,ho84040399,false,True,,,,poll0141
"Finney Co. Admin. Center 311 N. 9th St., Garden City, KS 67846",,8:00 AM-5:00 PM,,ho14459408,false,True,,,,poll0146
"100 Gunsmoke, Dodge City, KS 67801",,9:00 AM-5:00 PM,,ho97354625,false,True,,,,poll0151
"315 S Main, Ottawa, KS 66067",,8:00 AM-4:30 PM,,ho45551726,false,True,,,,poll0156
"200 E. 8th Street, Junction City, KS 66441",,8:30 AM-5:00 PM,,ho39936985,false,True,,,,poll0161
"520 Washington St. Suite 105, Gove, KS 67736",,8:00 AM-12:00 PM,,ho41904618,false,True,,,,poll0166
"520 Washington St. Suite 105, Gove, KS 67736",,1:00 AM-5:00 PM,,ho41904618,false,True,,,,poll0167
"410 N Pomeroy, Hill City, KS 67642",,8:30 AM-5:00 PM,,ho55790840,false,True,,,,poll0176
"108 S Glenn, Ulysses, KS 67880",,9:00 AM-5:00 PM,,ho36308365,false,True,,,,poll0181
"33 South Main Street, Cimarron, KS 67835-0487",,8:00 AM-5:00 PM,,ho2233058,false,True,,,,poll0186
"208 E Harper St, Tribune, KS 67879",,9:00 AM-12:00 PM,,ho70110386,false,True,,,,poll0191
"208 E Harper St, Tribune, KS 67879",,1:00 AM-5:00 PM,,ho70110386,false,True,,,,poll0192
"311 N Main, Eureka, KS 67045",,8:00 AM-5:00 PM,,ho36479759,false,True,,,,poll0201
"219 N Main St, Syracuse, KS 67878",,8:30 AM-4:30 PM,,ho73486943,false,True,,,,poll0206
"201 N Jennings Avenue, Anthony, KS 67003",,8:00 AM-12:00 PM,,ho5482228,false,True,,,,poll0211
"201 N Jennings Avenue, Anthony, KS 67003",,1:00 AM-5:00 PM,,ho5482228,false,True,,,,poll0212
