id,date,name,election_type,state_id,is_statewide,registration_info,absentee_ballot_info,results_uri,polling_hours,has_election_day_registration,registration_deadline,absentee_request_deadline,hours_open_id
e0001,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0002,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0003,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0004,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0005,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0006,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0007,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 04:30 PM,false,2016-10-18,2016-11-04,
e0008,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0009,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0010,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0011,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0012,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0013,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0014,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0015,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0016,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0017,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0018,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0019,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0020,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0021,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0022,11/8/2016,2016 Presidential Election,federal,st20,true,,,,01:00 PM - 05:00 PM,false,2016-10-18,2016-11-04,
e0023,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0024,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0025,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0026,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0027,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0028,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0029,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 04:00 PM,false,2016-10-18,2016-11-04,
e0030,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0031,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0032,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0033,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 04:30 PM,false,2016-10-18,2016-11-04,
e0034,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0035,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0036,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0037,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0038,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0039,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0040,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 04:30 PM,false,2016-10-18,2016-11-04,
e0041,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0042,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0043,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0044,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 04:30 PM,false,2016-10-18,2016-11-04,
e0045,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0046,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0047,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0048,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 04:30 PM,false,2016-10-18,2016-11-04,
e0049,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 04:30 PM,false,2016-10-18,2016-11-04,
e0050,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0051,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0052,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0053,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0054,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0055,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0056,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0057,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 04:00 PM,false,2016-10-18,2016-11-04,
e0058,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0059,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0060,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0061,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 04:30 PM,false,2016-10-18,2016-11-04,
e0062,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0063,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 04:30 PM,false,2016-10-18,2016-11-04,
e0064,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 04:30 PM,false,2016-10-18,2016-11-04,
e0065,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0066,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0067,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0068,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0069,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0070,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0071,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0072,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0073,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0074,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0075,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0076,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0077,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0078,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
e0079,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 04:30 PM,false,2016-10-18,2016-11-04,
e0080,11/8/2016,2016 Presidential Election,federal,st20,true,,,,08:00 AM - 05:00 PM,false,2016-10-18,2016-11-04,
