date,name,election_type,state_id,is_statewide,registration_info,absentee_ballot_info,results_uri,polling_hours,has_election_day_registration,registration_deadline,absentee_request_deadline,hours_open_id
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho46088214
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho22014036
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-5:00 PM,no,2016-10-18,2016-11-04,ho94568803
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-5:00 PM,no,2016-10-18,2016-11-04,ho13751350
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho92877893
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-4:30 PM,no,2016-10-18,2016-11-04,ho49681936
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho11298506
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho90630924
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho18175681
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-4:00 PM,no,2016-10-18,2016-11-04,ho76569633
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho12349079
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho65099163
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho65099163
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho83974220
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho73396200
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-4:30 PM,no,2016-10-18,2016-11-04,ho78837689
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho56118502
11/8/2016,2016 Presidential Election,federal,st20,true,,,,9:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho37839255
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho37839255
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho19711793
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-4:30 PM,no,2016-10-18,2016-11-04,ho44314876
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho88393637
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho87225355
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-5:00 PM,no,2016-10-18,2016-11-04,ho28018905
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho85480065
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho63905830
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-4:30 PM,no,2016-10-18,2016-11-04,ho97967978
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho19994593
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho84040399
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho14459408
11/8/2016,2016 Presidential Election,federal,st20,true,,,,9:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho97354625
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-4:30 PM,no,2016-10-18,2016-11-04,ho45551726
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-5:00 PM,no,2016-10-18,2016-11-04,ho39936985
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho41904618
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho41904618
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-5:00 PM,no,2016-10-18,2016-11-04,ho55790840
11/8/2016,2016 Presidential Election,federal,st20,true,,,,9:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho36308365
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho2233058
11/8/2016,2016 Presidential Election,federal,st20,true,,,,9:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho70110386
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho70110386
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho36479759
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:30 AM-4:30 PM,no,2016-10-18,2016-11-04,ho73486943
11/8/2016,2016 Presidential Election,federal,st20,true,,,,8:00 AM-12:00 PM,no,2016-10-18,2016-11-04,ho5482228
11/8/2016,2016 Presidential Election,federal,st20,true,,,,1:00 AM-5:00 PM,no,2016-10-18,2016-11-04,ho5482228
