county,officer,email,blank,phone,fax,address_one,address_two,dirs,city,state,zip,start_time,end_time,start_date,end_date,time_zone,notes,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441.0,1 N Washington,,,Lola,KS,66749,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,begins: 10-19-2016 8  - 5 M - F through 11/7 at noon that day. ,1,"1 N Washington, Lola, KS 66749",,08:00 AM - 05:00 PM,,ho46088214,false,true,,,,poll46088214
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441.0,1 N Washington,,,Lola,KS,66749,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,,2,"1 N Washington, Lola, KS 66749",,08:00 AM - 05:00 PM,,ho46088214,false,true,,,,poll46088214
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441.0,1 N Washington,,,Lola,KS,66749,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,,3,"1 N Washington, Lola, KS 66749",,08:00 AM - 05:00 PM,,ho46088214,false,true,,,,poll46088214
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441.0,1 N Washington,,,Lola,KS,66749,8:00:00 - 06:00,12:00:00 - 05:00,11/7/16,11/7/16,central,,4,"1 N Washington, Lola, KS 66749",,08:00 AM - 12:00 PM,,ho46088214,false,true,,,,poll46088214
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205.0,100 E 4th,,,Garnett,KS,66032,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,begins: 10-19-2016 8  - 5 M - F through 11/7 at noon that day. ,5,"100 E 4th, Garnett, KS 66032",,08:00 AM - 05:00 PM,,ho22014036,false,true,,,,poll22014036
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205.0,100 E 4th,,,Garnett,KS,66032,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,,6,"100 E 4th, Garnett, KS 66032",,08:00 AM - 05:00 PM,,ho22014036,false,true,,,,poll22014036
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205.0,100 E 4th,,,Garnett,KS,66032,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,,7,"100 E 4th, Garnett, KS 66032",,08:00 AM - 05:00 PM,,ho22014036,false,true,,,,poll22014036
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205.0,100 E 4th,,,Garnett,KS,66032,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,,8,"100 E 4th, Garnett, KS 66032",,08:00 AM - 12:00 PM,,ho22014036,false,true,,,,poll22014036
ATCHISON,Pauline M Lee,AT_county_clerk@wan.kdor.state.ks.us,,9133671653,9133670227.0,423 N 5th,,,Atchison,KS,66002-1861,8:30:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,Starts 10-24-2016 M 0 F 8:30 - 5 except only till noon on 11/7/16 ,9,"423 N 5th, Atchison, KS 66002",,08:30 AM - 05:00 PM,,ho91894833,false,true,,,,poll91894833
ATCHISON,Pauline M Lee,AT_county_clerk@wan.kdor.state.ks.us,,9133671653,9133670227.0,423 N 5th,,,Atchison,KS,66002-1861,8:30:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,,10,"423 N 5th, Atchison, KS 66002",,08:30 AM - 05:00 PM,,ho91894833,false,true,,,,poll91894833
