external_identifier_value,election_administration_id,external_identifier_type,external_identifier_othertype,name,state_id,type,other_type,id
ALLEN,ea0001,ocd-id,,allen_lola_1,st20,,,loc0001
ANDERSON,ea0002,ocd-id,,anderson_garnett_2,st20,,,loc0002
ATCHISON,ea0003,ocd-id,,atchison_atchison_3,st20,,,loc0003
BARBER,ea0004,ocd-id,,barber_medicine,st20,,,loc0004
BARTON,ea0005,ocd-id,,barton_great,st20,,,loc0005
BOURBON,ea0006,ocd-id,,bourbon_ft,st20,,,loc0006
BROWN,ea0007,ocd-id,,brown_hiawatha_7,st20,,,loc0007
BUTLER,ea0008,ocd-id,,butler_el,st20,,,loc0008
CHASE,ea0009,ocd-id,,chase_cottonwood,st20,,,loc0009
CHAUTAUQUA,ea0010,ocd-id,,chautauqua_sedan_10,st20,,,loc0010
CHEROKEE,ea0011,ocd-id,,cherokee_columbus_11,st20,,,loc0011
CHEYENNE,ea0013,ocd-id,,cheyenne_st,st20,,,loc0012
CLARK,ea0014,ocd-id,,clark_ashland_14,st20,,,loc0014
CLAY,ea0015,ocd-id,,clay_clay,st20,,,loc0015
CLOUD,ea0016,ocd-id,,cloud_concordia_16,st20,,,loc0016
COFFEY,ea0017,ocd-id,,coffey_burlington_17,st20,,,loc0017
COMANCHE,ea0019,ocd-id,,comanche_coldwater_19,st20,,,loc0018
COWLEY,ea0020,ocd-id,,cowley_winfield_20,st20,,,loc0020
CRAWFORD,ea0021,ocd-id,,crawford_girard_21,st20,,,loc0021
DECATUR,ea0022,ocd-id,,decatur_oberlin_22,st20,,,loc0022
DICKINSON,ea0023,ocd-id,,dickinson_abilene_23,st20,,,loc0023
DONIPHAN,ea0024,ocd-id,,doniphan_troy_24,st20,,,loc0024
DOUGLAS,ea0025,ocd-id,,douglas_lawrence_25,st20,,,loc0025
EDWARDS,ea0026,ocd-id,,edwards_kinsley_26,st20,,,loc0026
ELK,ea0027,ocd-id,,elk_howard_27,st20,,,loc0027
ELLIS,ea0028,ocd-id,,ellis_hays_28,st20,,,loc0028
ELLSWORTH,ea0029,ocd-id,,ellsworth_ellsworth_29,st20,,,loc0029
FINNEY,ea0030,ocd-id,,finney_garden,st20,,,loc0030
FORD,ea0031,ocd-id,,ford_dodge,st20,,,loc0031
FRANKLIN,ea0032,ocd-id,,franklin_ottawa_32,st20,,,loc0032
GEARY,ea0033,ocd-id,,geary_junction,st20,,,loc0033
GOVE,ea0035,ocd-id,,gove_gove_35,st20,,,loc0034
GRAHAM,ea0036,ocd-id,,graham_hill,st20,,,loc0036
GRANT,ea0037,ocd-id,,grant_ulysses_37,st20,,,loc0037
GRAY,ea0038,ocd-id,,gray_cimarron_38,st20,,,loc0038
GREELEY,ea0040,ocd-id,,greeley_tribune_39,st20,,,loc0039
GREENWOOD,ea0041,ocd-id,,greenwood_eureka_41,st20,,,loc0041
HAMILTON,ea0042,ocd-id,,hamilton_syracuse_42,st20,,,loc0042
HARPER,ea0044,ocd-id,,harper_anthony_43,st20,,,loc0043
HARVEY,ea0045,ocd-id,,harvey_newton_45,st20,,,loc0045
HASKELL,ea0046,ocd-id,,haskell_sublette_46,st20,,,loc0046
HODGEMAN,ea0047,ocd-id,,hodgeman_jetmore_48,st20,,,loc0048
JACKSON,ea0049,ocd-id,,jackson_holton_49,st20,,,loc0049
JEFFERSON,ea0050,ocd-id,,jefferson_oskaloosa_50,st20,,,loc0050
JEWELL,ea0052,ocd-id,,jewell_mankato_52,st20,,,loc0052
JOHNSON,ea0053,ocd-id,,johnson_olathe_53,st20,,,loc0053
KEARNY,ea0054,ocd-id,,kearny_lakin_54,st20,,,loc0054
KINGMAN,ea0055,ocd-id,,kingman_kingman_55,st20,,,loc0055
KIOWA,ea0057,ocd-id,,kiowa_greensburg_57,st20,,,loc0056
LABETTE,ea0058,ocd-id,,labette_oswego_58,st20,,,loc0058
LANE,ea0059,ocd-id,,lane_dighton_59,st20,,,loc0059
LEAVENWORTH,ea0060,ocd-id,,leavenworth_leavenworth_60,st20,,,loc0060
LINCOLN,ea0061,ocd-id,,lincoln_lincoln_61,st20,,,loc0061
LINN,ea0062,ocd-id,,linn_mound,st20,,,loc0062
LOGAN,ea0063,ocd-id,,logan_oakley_63,st20,,,loc0063
LYON,ea0064,ocd-id,,lyon_emporia_64,st20,,,loc0064
MARION,ea0066,ocd-id,,marion_marion_66,st20,,,loc0066
MARSHALL,ea0067,ocd-id,,marshall_marysville_67,st20,,,loc0067
MCPHERSON,ea0065,ocd-id,,mcpherson_mcpherson_65,st20,,,loc0065
MEADE,ea0068,ocd-id,,meade_meade_68,st20,,,loc0069
MIAMI,ea0070,ocd-id,,miami_paola_70,st20,,,loc0070
MITCHELL,ea0071,ocd-id,,mitchell_beloit_71,st20,,,loc0071
MONTGOMERY,ea0073,ocd-id,,montgomery_independence_72,st20,,,loc0072
MORRIS,ea0074,ocd-id,,morris_council,st20,,,loc0074
MORTON,ea0075,ocd-id,,morton_elkhart_75,st20,,,loc0075
NEMAHA,ea0076,ocd-id,,nemaha_seneca_76,st20,,,loc0076
NEOSHO,ea0077,ocd-id,,neosho_erie_77,st20,,,loc0077
NESS,ea0079,ocd-id,,ness_ness,st20,,,loc0078
NORTON,ea0080,ocd-id,,norton_norton_80,st20,,,loc0080
OSAGE,ea0081,ocd-id,,osage_lyndon_81,st20,,,loc0081
OSBORNE,ea0082,ocd-id,,osborne_osborne_82,st20,,,loc0082
OTTAWA,ea0083,ocd-id,,ottawa_minneapolis_83,st20,,,loc0084
PAWNEE,ea0085,ocd-id,,pawnee_larned_85,st20,,,loc0085
PHILLIPS,ea0086,ocd-id,,phillips_phillipsburg_86,st20,,,loc0086
POTTAWATOMIE,ea0087,ocd-id,,pottawatomie_westmoreland_87,st20,,,loc0087
PRATT,ea0088,ocd-id,,pratt_pratt_88,st20,,,loc0088
RAWLINS,ea0089,ocd-id,,rawlins_atwood_89,st20,,,loc0089
RENO,ea0090,ocd-id,,reno_hutchinson_90,st20,,,loc0090
REPUBLIC,ea0091,ocd-id,,republic_belleville_91,st20,,,loc0091
RICE,ea0092,ocd-id,,rice_lyons_92,st20,,,loc0092
RILEY,ea0093,ocd-id,,riley_manhattan_93,st20,,,loc0093
ROOKS,ea0095,ocd-id,,rooks_stockton_95,st20,,,loc0094
RUSH,ea0097,ocd-id,,rush_lacrosse_97,st20,,,loc0096
RUSSELL,ea0098,ocd-id,,russell_russell_98,st20,,,loc0098
SALINE,ea0099,ocd-id,,saline_salina_99,st20,,,loc0099
SCOTT,ea0100,ocd-id,,scott_scott,st20,,,loc0100
SEDGWICK,ea0101,ocd-id,,sedgwick_wichita_101,st20,,,loc0101
SEWARD,ea0102,ocd-id,,seward_liberal_102,st20,,,loc0102
SHAWNEE,ea0103,ocd-id,,shawnee_topeka_103,st20,,,loc0103
SHERIDAN,ea0105,ocd-id,,sheridan_hoxie_104,st20,,,loc0104
SHERMAN,ea0107,ocd-id,,sherman_goodland_107,st20,,,loc0106
SMITH,ea0109,ocd-id,,smith_smith,st20,,,loc0108
STAFFORD,ea0110,ocd-id,,stafford_st.,st20,,,loc0111
STANTON,ea0112,ocd-id,,stanton_johnson_113,st20,,,loc0113
STEVENS,ea0114,ocd-id,,stevens_hugoton_114,st20,,,loc0114
SUMNER,ea0115,ocd-id,,sumner_wellington_115,st20,,,loc0115
THOMAS,ea0116,ocd-id,,thomas_colby_116,st20,,,loc0116
TREGO,ea0117,ocd-id,,trego_wakeeney_117,st20,,,loc0117
WABAUNSEE,ea0118,ocd-id,,wabaunsee_alma_118,st20,,,loc0118
WALLACE,ea0120,ocd-id,,wallace_sharon,st20,,,loc0120
WASHINGTON,ea0121,ocd-id,,washington_washington_121,st20,,,loc0121
WICHITA,ea0123,ocd-id,,wichita_leoti_122,st20,,,loc0122
WILSON,ea0124,ocd-id,,wilson_fredonia_124,st20,,,loc0124
WOODSON,ea0126,ocd-id,,woodson_yates,st20,,,loc0126
WYANDOTTE,ea0127,ocd-id,,wyandotte_kansas,st20,,,loc0127
