start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
8:00:00-6:00,5:00:00-6:00,,,,2016-10-11-6:00,2016-10-14-6:00,ho46088214,sch0001
8:00:00-6:00,5:00:00-6:00,,,,2016-10-17-6:00,2016-10-21-6:00,ho46088214,sch0002
8:00:00-6:00,5:00:00-6:00,,,,2016-10-24-6:00,2016-10-28-6:00,ho46088214,sch0003
8:00:00-6:00,5:00:00-6:00,,,,2016-10-31-6:00,2016-11-04-6:00,ho46088214,sch0004
8:00:00-6:00,5:00:00-6:00,,,,2016-11-07-6:00,2016-11-07-6:00,ho46088214,sch0005
8:00:00-6:00,5:00:00-6:00,,,,2016-10-11-6:00,2016-10-14-6:00,ho22014036,sch0006
8:00:00-6:00,5:00:00-6:00,,,,2016-10-17-6:00,2016-10-21-6:00,ho22014036,sch0007
8:00:00-6:00,5:00:00-6:00,,,,2016-10-24-6:00,2016-10-28-6:00,ho22014036,sch0008
8:00:00-6:00,5:00:00-6:00,,,,2016-10-31-6:00,2016-11-04-6:00,ho22014036,sch0009
8:00:00-6:00,5:00:00-6:00,,,,2016-11-07-6:00,2016-11-07-6:00,ho22014036,sch0010
8:30:00-6:00,5:00:00-6:00,,,,2016-10-11-6:00,2016-10-14-6:00,ho94568803,sch0011
8:30:00-6:00,5:00:00-6:00,,,,2016-10-17-6:00,2016-10-21-6:00,ho94568803,sch0012
8:30:00-6:00,5:00:00-6:00,,,,2016-10-24-6:00,2016-10-28-6:00,ho94568803,sch0013
8:30:00-6:00,5:00:00-6:00,,,,2016-10-31-6:00,2016-11-04-6:00,ho94568803,sch0014
8:30:00-6:00,5:00:00-6:00,,,,2016-11-07-6:00,2016-11-07-6:00,ho94568803,sch0015
8:30:00-6:00,5:00:00-6:00,,,,2016-10-11-6:00,2016-10-14-6:00,ho13751350,sch0016
8:30:00-6:00,5:00:00-6:00,,,,2016-10-17-6:00,2016-10-21-6:00,ho13751350,sch0017
8:30:00-6:00,5:00:00-6:00,,,,2016-10-24-6:00,2016-10-28-6:00,ho13751350,sch0018
8:30:00-6:00,5:00:00-6:00,,,,2016-10-31-6:00,2016-11-04-6:00,ho13751350,sch0019
8:30:00-6:00,5:00:00-6:00,,,,2016-11-07-6:00,2016-11-07-6:00,ho13751350,sch0020
8:00:00-6:00,5:00:00-6:00,,,,2016-10-11-6:00,2016-10-14-6:00,ho92877893,sch0021
8:00:00-6:00,5:00:00-6:00,,,,2016-10-17-6:00,2016-10-21-6:00,ho92877893,sch0022
8:00:00-6:00,5:00:00-6:00,,,,2016-10-24-6:00,2016-10-28-6:00,ho92877893,sch0023
8:00:00-6:00,5:00:00-6:00,,,,2016-10-31-6:00,2016-11-04-6:00,ho92877893,sch0024
8:00:00-6:00,5:00:00-6:00,,,,2016-11-07-6:00,2016-11-07-6:00,ho92877893,sch0025
8:30:00-6:00,4:30:00-6:00,,,,2016-10-11-6:00,2016-10-14-6:00,ho49681936,sch0026
8:30:00-6:00,4:30:00-6:00,,,,2016-10-17-6:00,2016-10-21-6:00,ho49681936,sch0027
8:30:00-6:00,4:30:00-6:00,,,,2016-10-24-6:00,2016-10-28-6:00,ho49681936,sch0028
8:30:00-6:00,4:30:00-6:00,,,,2016-10-31-6:00,2016-11-04-6:00,ho49681936,sch0029
8:30:00-6:00,4:30:00-6:00,,,,2016-11-07-6:00,2016-11-07-6:00,ho49681936,sch0030
8:00:00-6:00,5:00:00-6:00,,,,2016-10-11-6:00,2016-10-14-6:00,ho11298506,sch0031
8:00:00-6:00,5:00:00-6:00,,,,2016-10-17-6:00,2016-10-21-6:00,ho11298506,sch0032
8:00:00-6:00,5:00:00-6:00,,,,2016-10-24-6:00,2016-10-28-6:00,ho11298506,sch0033
