index,election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
1,ea0001,,,ocd-division/country:us/state:me/place:abbot,abbot_town0001,,st19,,,loc0001
2,ea0002,,,ocd-division/country:us/state:me/place:acton,acton_town0002,,st19,,,loc0002
3,ea0003,,,ocd-division/country:us/state:me/place:addison,addison_town0003,,st19,,,loc0003
4,ea0004,,,ocd-division/country:us/state:me/place:addison,addison_town0004,,st19,,,loc0004
5,ea0005,,,ocd-division/country:us/state:me/place:albany,albany_township0005,,st19,,,loc0005
6,ea0006,,,ocd-division/country:us/state:me/place:albion,albion_town0006,,st19,,,loc0006
7,ea0007,,,ocd-division/country:us/state:me/place:alexander,alexander_town0007,,st19,,,loc0007
8,ea0008,,,ocd-division/country:us/state:me/place:alfred,alfred_town0008,,st19,,,loc0008
9,ea0009,,,ocd-division/country:us/state:me/place:allagash,allagash_town0009,,st19,,,loc0009
10,ea0010,,,ocd-division/country:us/state:me/place:alna,alna_town0010,,st19,,,loc0010
11,ea0011,,,ocd-division/country:us/state:me/place:alton,alton_town0011,,st19,,,loc0011
12,ea0012,,,ocd-division/country:us/state:me/place:amherst,amherst_town0012,,st19,,,loc0012
13,ea0013,,,ocd-division/country:us/state:me/place:amity,amity_town0013,,st19,,,loc0013
14,ea0014,,,ocd-division/country:us/state:me/place:amity,amity_town0014,,st19,,,loc0014
15,ea0015,,,ocd-division/country:us/state:me/place:andover,andover_town0015,,st19,,,loc0015
16,ea0016,,,ocd-division/country:us/state:me/place:anson,anson_town0016,,st19,,,loc0016
17,ea0017,,,ocd-division/country:us/state:me/place:appleton,appleton_town0017,,st19,,,loc0017
18,ea0018,,,ocd-division/country:us/state:me/place:arrowsic,arrowsic_town0018,,st19,,,loc0018
19,ea0019,,,ocd-division/country:us/state:me/place:arrowsic,arrowsic_town0019,,st19,,,loc0019
20,ea0020,,,ocd-division/country:us/state:me/place:arundel,arundel_town0020,,st19,,,loc0020
21,ea0021,,,ocd-division/country:us/state:me/place:ashland,ashland_town0021,,st19,,,loc0021
22,ea0022,,,ocd-division/country:us/state:me/place:ashland,ashland_town0022,,st19,,,loc0022
23,ea0023,,,ocd-division/country:us/state:me/place:athens,athens_town0023,,st19,,,loc0023
24,ea0024,,,ocd-division/country:us/state:me/place:atkinson,atkinson_town0024,,st19,,,loc0024
25,ea0025,,,ocd-division/country:us/state:me/place:auburn,auburn_city0025,,st19,,,loc0025
