address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"568  Nw Court Circle, Crowley, LA 70526",,08:30 AM-06:00 PM,,ho68766526,false,true,,,,poll68766526
"105 N Fifth St, Oberlin, LA 70655",,08:30 AM-06:00 PM,,ho7156515,false,true,,,,poll7156515
"Courthouse Annex - 828 S Irma Blvd Rm #205, Gonzales, LA 70737",,08:30 AM-06:00 PM,,ho18185574,false,true,,,,poll18185574
"Courthouse West  300 Houmas St, Donaldsonville, LA 70346",,08:30 AM-06:00 PM,,ho70573203,false,true,,,,poll70573203
"Courthouse, 4809 Highway 1, Napoleonville, LA 70390",,08:30 AM-06:00 PM,,ho87048074,false,true,,,,poll87048074
"312 N Main,  Suite E, Marksville, LA 71351",,08:30 AM-06:00 PM,,ho93888355,false,true,,,,poll93888355
"204 S Stewart, Deridder, LA 70634",,08:30 AM-06:00 PM,,ho21788516,false,true,,,,poll21788516
"100 Courthouse Dr Ste 1400 (200 Gap Farm Rd), Arcadia, LA 71001",,08:30 AM-06:00 PM,,ho10619167,false,true,,,,poll10619167
"204 Burt Blvd - Second Floor, Benton, LA 71006",,08:30 AM-06:00 PM,,ho60758831,false,true,,,,poll60758831
"525 Marshall, Suite 103, Shreveport, LA 71101",,08:30 AM-06:00 PM,,ho25014275,false,true,,,,poll25014275
"1000 Ryan St - Rm 7, Lake Charles, LA 70601",,08:30 AM-06:00 PM,,ho91422313,false,true,,,,poll91422313
"Courthouse, 201 Main St.        Suite 4, Columbia, LA 71418",,08:30 AM-06:00 PM,,ho54367947,false,true,,,,poll54367947
"148 Smith Circle, Cameron, LA 70631",,08:30 AM-06:00 PM,,ho78500355,false,true,,,,poll78500355
"301 Bushley St- Courthouse Rm 103, Harrisonburg, LA 71340",,08:30 AM-06:00 PM,,ho67243434,false,true,,,,poll67243434
"507 W. Main St Ste 1, Homer, LA 71040",,08:30 AM-06:00 PM,,ho33341312,false,true,,,,poll33341312
