name,adr_location_name,adr_1,adr_2,adr_3,city,state,zip,dirs,services,start_date,end_date,start_time,end_time,ev_id,locality_id,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ACADIA,,568  NW COURT CIRCLE,,,CROWLEY,LA,70526,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,601,202,1,"568  Nw Court Circle, Crowley, LA 70526",,08:30 AM-06:00 PM,,ho68766526,FALSE,TRUE,,,,poll68766526
ACADIA,,568  NW COURT CIRCLE,,,CROWLEY,LA,70526,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,601,202,2,"568  Nw Court Circle, Crowley, LA 70526",,08:30 AM-06:00 PM,,ho68766526,FALSE,TRUE,,,,poll68766526
ALLEN,,105 N FIFTH ST,,,OBERLIN,LA,70655,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,602,203,3,"105 N Fifth St, Oberlin, LA 70655",,08:30 AM-06:00 PM,,ho7156515,FALSE,TRUE,,,,poll7156515
ALLEN,,105 N FIFTH ST,,,OBERLIN,LA,70655,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,602,203,4,"105 N Fifth St, Oberlin, LA 70655",,08:30 AM-06:00 PM,,ho7156515,FALSE,TRUE,,,,poll7156515
ASCENSION,Courthouse Annex,"828 S IRMA BLVD RM, #205",,,GONZALES,LA,70737,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,603,204,5,"828 S Irma Blvd Rm, #205, Gonzales, LA 70737",,08:30 AM-06:00 PM,,ho48340266,FALSE,TRUE,,,,poll48340266
ASCENSION,Courthouse Annex,"828 S IRMA BLVD RM, #205",,,GONZALES,LA,70737,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,603,204,6,"828 S Irma Blvd Rm, #205, Gonzales, LA 70737",,08:30 AM-06:00 PM,,ho48340266,FALSE,TRUE,,,,poll48340266
ASCENSION,Couthouse West,300 HOUMAS ST,,,DONALDSONVILLE,LA,70346,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,604,204,7,"300 Houmas St, Donaldsonville, LA 70346",,08:30 AM-06:00 PM,,ho25076442,FALSE,TRUE,,,,poll25076442
ASCENSION,Couthouse West,300 HOUMAS ST,,,DONALDSONVILLE,LA,70346,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,604,204,8,"300 Houmas St, Donaldsonville, LA 70346",,08:30 AM-06:00 PM,,ho25076442,FALSE,TRUE,,,,poll25076442
ASSUMPTION,Courthouse,4809 HIGHWAY 1,,,NAPOLEONVILLE,LA,70390,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,605,205,9,"4809 Highway 1, Napoleonville, LA 70390",,08:30 AM-06:00 PM,,ho59949654,FALSE,TRUE,,,,poll59949654
ASSUMPTION,Courthouse,4809 HIGHWAY 1,,,NAPOLEONVILLE,LA,70390,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,605,205,10,"4809 Highway 1, Napoleonville, LA 70390",,08:30 AM-06:00 PM,,ho59949654,FALSE,TRUE,,,,poll59949654
AVOYELLES,AVOYELLES PARISH COURTHOUSE,"312 N MAIN,  SUITE E",,,MARKSVILLE,LA,71351,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,606,206,11,"312 N Main,  Suite E, Marksville, LA 71351",,08:30 AM-06:00 PM,,ho93888355,FALSE,TRUE,,,,poll93888355
AVOYELLES,AVOYELLES PARISH COURTHOUSE,"312 N MAIN,  SUITE E",,,MARKSVILLE,LA,71351,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,606,206,12,"312 N Main,  Suite E, Marksville, LA 71351",,08:30 AM-06:00 PM,,ho93888355,FALSE,TRUE,,,,poll93888355
BEAUREGARD,,204 S STEWART,,,DERIDDER,LA,70634,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,607,207,13,"204 S Stewart, Deridder, LA 70634",,08:30 AM-06:00 PM,,ho21788516,FALSE,TRUE,,,,poll21788516
BEAUREGARD,,204 S STEWART,,,DERIDDER,LA,70634,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,607,207,14,"204 S Stewart, Deridder, LA 70634",,08:30 AM-06:00 PM,,ho21788516,FALSE,TRUE,,,,poll21788516
