election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:la/parish:acadia,aca0002,poll68766526,st22,other,,loc0001
,ocd-id,,ocd-division/country:us/state:la/parish:allen,al0003,poll7156515,st22,other,,loc0002
,ocd-id,,ocd-division/country:us/state:la/parish:ascension,ascens0007,poll48340266 poll25076442,st22,other,,loc0003
,ocd-id,,ocd-division/country:us/state:la/parish:assumption,assumpt0010,poll59949654,st22,other,,loc0004
,ocd-id,,ocd-division/country:us/state:la/parish:avoyelles,avoyel0012,poll93888355,st22,other,,loc0005
,ocd-id,,ocd-division/country:us/state:la/parish:beauregard,beaureg0014,poll21788516,st22,other,,loc0006
,ocd-id,,ocd-division/country:us/state:la/parish:bienville,bienvi0015,poll74816226,st22,other,,loc0007
,ocd-id,,ocd-division/country:us/state:la/parish:bossier,boss0018,poll14138297,st22,other,,loc0008
,ocd-id,,ocd-division/country:us/state:la/parish:caddo,ca0020,poll25014275,st22,other,,loc0009
,ocd-id,,ocd-division/country:us/state:la/parish:calcasieu,calcas0160,poll18871850 poll93824081 poll41048699,st22,other,,loc0010
,ocd-id,,ocd-division/country:us/state:la/parish:caldwell,caldw0024,poll23242953,st22,other,,loc0011
,ocd-id,,ocd-division/country:us/state:la/parish:cameron,came0025,poll78500355,st22,other,,loc0012
,ocd-id,,ocd-division/country:us/state:la/parish:catahoula,cataho0027,poll67373376,st22,other,,loc0013
,ocd-id,,ocd-division/country:us/state:la/parish:claiborne,claibo0030,poll33341312,st22,other,,loc0014
,ocd-id,,ocd-division/country:us/state:la/parish:concordia,concor0032,poll10246169,st22,other,,loc0015
,ocd-id,,ocd-division/country:us/state:la/parish:de_soto,de_s0033,poll76748359,st22,other,,loc0016
,ocd-id,,ocd-division/country:us/state:la/parish:east_baton_rouge,east_baton_ro0040,poll11061433 poll57642332 poll38988771 poll64897436,st22,other,,loc0017
