address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"568  Nw Court Circle, Crowley, LA 70526",,08:30 AM-06:00 PM,,ho68766526,false,true,,,,poll68766526
"105 N Fifth St, Oberlin, LA 70655",,08:30 AM-06:00 PM,,ho7156515,false,true,,,,poll7156515
"828 S Irma Blvd, Rm #205, Gonzales, LA 70737",,08:30 AM-06:00 PM,,ho33761592,false,true,,,,poll33761592
"300 Houmas St, Donaldsonville, LA 70346",,08:30 AM-06:00 PM,,ho25076442,false,true,,,,poll25076442
"4809 Highway 1, Napoleonville, LA 70390",,08:30 AM-06:00 PM,,ho59949654,false,true,,,,poll59949654
"312 N Main,  Suite E, Marksville, LA 71351",,08:30 AM-06:00 PM,,ho93888355,false,true,,,,poll93888355
"204 S Stewart, Deridder, LA 70634",,08:30 AM-06:00 PM,,ho21788516,false,true,,,,poll21788516
"100 Courthouse Dr, Ste 1400, Arcadia, LA 71001",(200 GAP FARM RD),08:30 AM-06:00 PM,,ho74816226,false,true,,,,poll74816226
"204 Burt Blvd, Benton, LA 71006",Second Floor,08:30 AM-06:00 PM,,ho14138297,false,true,,,,poll14138297
"525 Marshall, Suite 103, Shreveport, LA 71101",,08:30 AM-06:00 PM,,ho25014275,false,true,,,,poll25014275
"1000 Ryan St, Lake Charles, LA 70601",Room 7,08:30 AM-06:00 PM,,ho93824081,false,true,,,,poll93824081
"201 Main St., Columbia, LA 71418",Suite 4,08:30 AM-06:00 PM,,ho23242953,false,true,,,,poll23242953
"148 Smith Circle, Cameron, LA 70631",,08:30 AM-06:00 PM,,ho78500355,false,true,,,,poll78500355
"301 Bushley St, Harrisonburg, LA 71340",Room 103,08:30 AM-06:00 PM,,ho67373376,false,true,,,,poll67373376
"507 W. Main St, Ste 1, Homer, LA 71040",,08:30 AM-06:00 PM,,ho22475931,false,true,,,,poll22475931
"4001 Carter St., Vidalia, LA 71373",Suite K,08:30 AM-06:00 PM,,ho10246169,false,true,,,,poll10246169
