office-name,official-title,types,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,owner,contacted?,start_time,end_time,start_date,end_date,notes
Addison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water St,Addison,ME,4606,,yes,8:00:00,16:00:00,9/26/16,9/30/16,September 24th is when it starts according to state sec. Last day to request is Nov 3. M-F 8-4pm.
Addison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water St,Addison,ME,4606,,,8:00:00,16:00:00,10/3/16,10/7/16,
Addison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water St,Addison,ME,4606,,,8:00:00,16:00:00,10/10/16,10/14/16,
Addison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water St,Addison,ME,4606,,,8:00:00,16:00:00,10/17/16,10/21/16,
Addison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water St,Addison,ME,4606,,,8:00:00,16:00:00,10/24/16,10/28/16,
Addison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water St,Addison,ME,4606,,,8:00:00,16:00:00,10/31/16,11/3/16,
Amity Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:amity,Amity Town ME,,(207) 532-2485,,82 School House Road 30,Orient,ME,4471,,yes,8:00:00,16:00:00,9/26/16,9/30/16,Same.
Amity Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:amity,Amity Town ME,,(207) 532-2485,,82 School House Road 30,Orient,ME,4471,,,8:00:00,16:00:00,10/3/16,10/7/16,
Amity Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:amity,Amity Town ME,,(207) 532-2485,,82 School House Road 30,Orient,ME,4471,,,8:00:00,16:00:00,10/10/16,10/14/16,
Amity Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:amity,Amity Town ME,,(207) 532-2485,,82 School House Road 30,Orient,ME,4471,,,8:00:00,16:00:00,10/17/16,10/21/16,
Amity Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:amity,Amity Town ME,,(207) 532-2485,,82 School House Road 30,Orient,ME,4471,,,8:00:00,16:00:00,10/24/16,10/28/16,
Amity Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:amity,Amity Town ME,,(207) 532-2485,,82 School House Road 30,Orient,ME,4471,,,8:00:00,16:00:00,10/31/16,11/3/16,
Ashland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:ashland,Ashland Town ME,,(207) 435-2311,,17 Bridgham St,Ashland,ME,4732,,yes,7:30:00,16:30:00,9/29/16,9/29/16,
Ashland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:ashland,Ashland Town ME,,(207) 435-2311,,17 Bridgham St,Ashland,ME,4732,,,7:30:00,12:00:00,9/30/16,9/30/16,
Ashland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:ashland,Ashland Town ME,,(207) 435-2311,,17 Bridgham St,Ashland,ME,4732,,,7:30:00,16:30:00,10/3/16,10/6/16,
Ashland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:ashland,Ashland Town ME,,(207) 435-2311,,17 Bridgham St,Ashland,ME,4732,,,7:30:00,12:00:00,10/7/16,10/7/16,
Ashland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:ashland,Ashland Town ME,,(207) 435-2311,,17 Bridgham St,Ashland,ME,4732,,,7:30:00,16:30:00,10/10/16,10/13/16,
Ashland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:ashland,Ashland Town ME,,(207) 435-2311,,17 Bridgham St,Ashland,ME,4732,,,7:30:00,12:00:00,10/14/16,10/14/16,
Ashland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:ashland,Ashland Town ME,,(207) 435-2311,,17 Bridgham St,Ashland,ME,4732,,,7:30:00,16:30:00,10/17/16,10/20/16,
