election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:me/place:abbot,ocd-division/country:us/state:me/place:ab0904,poll45029585,st23,other,,loc0001
,ocd-id,,ocd-division/country:us/state:me/place:acton,ocd-division/country:us/state:me/place:ac0923,poll83166654,st23,other,,loc0002
,ocd-id,,ocd-division/country:us/state:me/place:addison,ocd-division/country:us/state:me/place:addi02821,poll74409722,st23,other,,loc0003
,ocd-id,,ocd-division/country:us/state:me/place:albion,ocd-division/country:us/state:me/place:alb0935,poll57705325,st23,other,,loc0004
,ocd-id,,ocd-division/country:us/state:me/place:alexander,ocd-division/country:us/state:me/place:alexan01243,poll68591384,st23,other,,loc0005
,ocd-id,,ocd-division/country:us/state:me/place:alfred,ocd-division/country:us/state:me/place:alf0947,poll39024275,st23,other,,loc0006
,ocd-id,,ocd-division/country:us/state:me/place:allagash,ocd-division/country:us/state:me/place:allag0950,poll66408875,st23,other,,loc0007
,ocd-id,,ocd-division/country:us/state:me/place:alna,ocd-division/country:us/state:me/place:a0965,poll81212092,st23,other,,loc0008
,ocd-id,,ocd-division/country:us/state:me/place:alton,ocd-division/country:us/state:me/place:al0973,poll96357893,st23,other,,loc0009
,ocd-id,,ocd-division/country:us/state:me/place:amity,ocd-division/country:us/state:me/place:am02830,poll35747896,st23,other,,loc0010
,ocd-id,,ocd-division/country:us/state:me/place:andover,ocd-division/country:us/state:me/place:ando0981,poll34298283,st23,other,,loc0011
,ocd-id,,ocd-division/country:us/state:me/place:anson,ocd-division/country:us/state:me/place:an0081,poll42474932,st23,other,,loc0012
,ocd-id,,ocd-division/country:us/state:me/place:appleton,ocd-division/country:us/state:me/place:apple01009,poll60487697,st23,other,,loc0013
,ocd-id,,ocd-division/country:us/state:me/place:arrowsic,ocd-division/country:us/state:me/place:arrow04049,poll40454221,st23,other,,loc0014
,ocd-id,,ocd-division/country:us/state:me/place:arundel,ocd-division/country:us/state:me/place:arun01251,poll62509696,st23,other,,loc0015
,ocd-id,,ocd-division/country:us/state:me/place:ashland,ocd-division/country:us/state:me/place:ashl02834,poll60763126,st23,other,,loc0016
,ocd-id,,ocd-division/country:us/state:me/place:atkinson,ocd-division/country:us/state:me/place:atkin0996,poll84061759,st23,other,,loc0017
,ocd-id,,ocd-division/country:us/state:me/place:auburn,ocd-division/country:us/state:me/place:aub01002,poll91646111,st23,other,,loc0018
