office-name,official-title,types,ocd-division,description,homepage,phone,email,street,city,state,zip,owner,contacted,start_time,end_time,start_date,end_date,notes,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Addison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water St,Addison,ME,4606,,yes,8:00:00 AM,4:00:00 PM,9/26/16,9/30/16,September 24th is when it starts according to state sec. Last day to request is Nov 3. M-F 8-4pm.,1,"334 Water St Addison, ME 04606",,8:00 AM-4:00 PM,,ho11469471,false,true,,,,poll83681847
Addison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water St,Addison,ME,4606,,,8:00:00 AM,4:00:00 PM,10/3/16,10/7/16,,2,"334 Water St Addison, ME 04606",,8:00 AM-4:00 PM,,ho11469471,false,true,,,,poll83681847
Addison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water St,Addison,ME,4606,,,8:00:00 AM,4:00:00 PM,10/10/16,10/14/16,,3,"334 Water St Addison, ME 04606",,8:00 AM-4:00 PM,,ho11469471,false,true,,,,poll83681847
Addison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water St,Addison,ME,4606,,,8:00:00 AM,4:00:00 PM,10/17/16,10/21/16,,4,"334 Water St Addison, ME 04606",,8:00 AM-4:00 PM,,ho11469471,false,true,,,,poll83681847
Addison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water St,Addison,ME,4606,,,8:00:00 AM,4:00:00 PM,10/24/16,10/28/16,,5,"334 Water St Addison, ME 04606",,8:00 AM-4:00 PM,,ho11469471,false,true,,,,poll83681847
Addison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water St,Addison,ME,4606,,,8:00:00 AM,4:00:00 PM,10/31/16,11/3/16,,6,"334 Water St Addison, ME 04606",,8:00 AM-4:00 PM,,ho11469471,false,true,,,,poll83681847
Amity Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:amity,Amity Town ME,,(207) 532-2485,,82 School House Road 30,Orient,ME,4471,,yes,8:00:00 AM,4:00:00 PM,9/26/16,9/30/16,Same.,7,"82 School House Road 30 Orient, ME 04471",,8:00 AM-4:00 PM,,ho79372468,false,true,,,,poll23791279
Amity Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:amity,Amity Town ME,,(207) 532-2485,,82 School House Road 30,Orient,ME,4471,,,8:00:00 AM,4:00:00 PM,10/3/16,10/7/16,,8,"82 School House Road 30 Orient, ME 04471",,8:00 AM-4:00 PM,,ho79372468,false,true,,,,poll23791279
Amity Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:amity,Amity Town ME,,(207) 532-2485,,82 School House Road 30,Orient,ME,4471,,,8:00:00 AM,4:00:00 PM,10/10/16,10/14/16,,9,"82 School House Road 30 Orient, ME 04471",,8:00 AM-4:00 PM,,ho79372468,false,true,,,,poll23791279
Amity Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:amity,Amity Town ME,,(207) 532-2485,,82 School House Road 30,Orient,ME,4471,,,8:00:00 AM,4:00:00 PM,10/17/16,10/21/16,,10,"82 School House Road 30 Orient, ME 04471",,8:00 AM-4:00 PM,,ho79372468,false,true,,,,poll23791279
