address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"500 Gliniewicz Way, Abington, MA 02351.",,08:30 AM - 07:00 PM,,ho2545626,false,true,,,,poll84119374
"472 Main Street, Acton, MA 01720.",,08:00 AM - 08:00 PM,,ho99055524,false,true,,,,poll4232521
"122 Main St., Acushnet, MA 02743.",,08:00 AM - 04:00 PM,,ho87376366,false,true,,,,poll24365047
"8 Park Street, Adams, MA 01220.",,08:00 AM - 05:00 PM,,ho24839791,false,true,,,,poll36988701
"36 Main Street, Agawam, MA 01001.",,08:30 AM - 04:30 PM,,ho68832854,false,true,,,,poll45138387
"954 Main Street, Agawam, MA 01001.",,10:00 AM - 02:00 PM,,ho94684883,false,true,,,,poll78503108
"750 Cooper Street, Agawam, MA 01001.",,10:00 AM - 02:00 PM,,ho71144992,false,true,,,,poll45374327
"5 Alford Center Road, Alford, MA 01230.",,08:00 AM - 11:00 AM,,ho40108610,false,true,,,,poll50338726
"62 Friend Street, Amesbury, MA 01913.",,08:00 AM - 04:00 PM,,ho88232883,false,true,,,,poll93536525
"4 Boltwood Avenue, Amherst, MA 01002.",,08:00 AM - 05:00 PM,,ho56501673,false,true,,,,poll45402270
"41 Campus Center Way, Amherst, MA 01003.",,10:00 AM - 04:00 PM,,ho4907374,false,true,,,,poll66136542
"1046 South East St, Amherst, MA 01002.",,09:00 AM - 03:00 PM,,ho9570545,false,true,,,,poll8821762
"603 East Pleasant St, Amherst, MA 01002.",,09:00 AM - 03:00 PM,,ho58685085,false,true,,,,poll69579659
"36 Bartlet Street, Andover, MA 01810.",,08:30 AM - 04:30 PM,,ho63682139,false,true,,,,poll63618039
"65 State Rd, Aquinnah, MA 02535.",,12:00 PM - 04:00 PM,,ho6164596,false,true,,,,poll26918808
"730 Massachusetts Avenue, Arlington, MA 02476.",,08:00 AM - 04:00 PM,,ho39821257,false,true,,,,poll451344
"32 Main St, Ashburnham, MA 01430.",,08:00 AM - 07:00 PM,,ho57411318,false,true,,,,poll38651107
"895 Main Street, Ashby, MA 01431.",,08:00 AM - 12:00 PM,,ho533384,false,true,,,,poll81586163
"412 Main St, Ashfield, MA 01330.",,09:00 AM - 04:00 PM,,ho4654619,false,true,,,,poll96086399
"101 Main Street, Ashland, MA 01721.",,08:00 AM - 04:00 PM,,ho10832153,false,true,,,,poll58413796
"584 Main St, Athol, MA 01331.",,08:00 AM - 05:00 PM,,ho35919521,false,true,,,,poll34169985
"77 Park Street, Attleboro, MA 02703.",,08:30 AM - 04:30 PM,,ho70823408,false,true,,,,poll22238081
"104 Central Street, Auburn, MA 01501.",,08:00 AM - 07:00 PM,,ho64776948,false,true,,,,poll36543129
"65 East Main Street, Avon, MA 02322.",,08:30 AM - 04:30 PM,,ho40183845,false,true,,,,poll96241337
"1 Main Street, Ayer, MA 01432.",,08:00 AM - 04:00 PM,,ho96401958,false,true,,,,poll10385046
"367 Main Street, Hyannis, MA 02601.",,08:30 AM - 04:30 PM,,ho69347566,false,true,,,,poll18395194
"1200 Phinney'S Lane, Hyannis, MA 02601.",,08:00 AM - 02:00 PM,,ho85528398,false,true,,,,poll58285025
"40 West Street, Barre, MA 01005.",,07:00 PM - 09:00 PM,,ho76551960,false,true,,,,poll39811961
"557 Main St, Becket, MA 01123.",,08:30 AM - 04:30 PM,,ho1421508,false,true,,,,poll36328227
"10 Mudge Way, Bedford, MA 01730.",,08:00 AM - 04:00 PM,,ho30679858,false,true,,,,poll44668855
"2 Jabish Street, Belchertown, MA 01007.",,08:00 AM - 05:00 PM,,ho16560656,false,true,,,,poll43835836
"10 Mechanic St, Bellingham, MA 02019.",,08:30 AM - 07:00 PM,,ho88508859,false,true,,,,poll76110141
"455 Concord Avenue, Belmont, MA 02478.",,08:00 AM - 05:00 PM,,ho14297393,false,true,,,,poll47415257
"1 North Main Street, Berkley, MA 02779.",,09:30 AM - 02:30 PM,,ho81924567,false,true,,,,poll19541409
"23 Linden St, Berlin, MA 01503.",,11:00 AM - 02:00 PM,,ho44100126,false,true,,,,poll57410962
"38 Church Street, Bernardston, MA 01337.",,08:30 AM - 11:30 AM,,ho38867910,false,true,,,,poll40744735
"191 Cabot Street, Beverly, MA 01915.",,08:30 AM - 04:30 PM,,ho18583694,false,true,,,,poll91025305
"365 Boston Road, Billerica, MA 01821.",,08:30 AM - 04:00 PM,,ho46575678,false,true,,,,poll93978979
"15 St. Paul Street, Blackstone, MA 01504.",,08:30 AM - 04:30 PM,,ho13268226,false,true,,,,poll78156951
"1 Russell Stage Road, Blandford, MA 01008.",,05:00 PM - 07:00 PM,,ho57380604,false,true,,,,poll54706788
"663 Main St., Bolton, MA 01740.",,09:00 AM - 02:30 PM,,ho93579175,false,true,,,,poll26303124
"1 City Hall Plaza, Boston, MA 02201.",,09:00 AM - 08:00 PM,,ho87175148,false,true,,,,poll27961054
"38 Oak Street, Boston, MA 02111.",,02:00 PM - 08:00 PM,,ho9845999,false,true,,,,poll60550047
"566 Columbus Avenue, Boston, MA 02118.",,02:00 PM - 08:00 PM,,ho12778589,false,true,,,,poll55384557
"61 Bayswater Street, Boston, MA 02128.",,02:00 PM - 08:00 PM,,ho27830221,false,true,,,,poll88736818
"1353 Dorchester Avenue, Boston, MA 02122.",,02:00 PM - 08:00 PM,,ho42187139,false,true,,,,poll34944748
"690 Washington Street, Boston, MA 02124.",,02:00 PM - 08:00 PM,,ho14008825,false,true,,,,poll99597518
"1179 River Street, Boston, MA 02136.",,02:00 PM - 08:00 PM,,ho12828900,false,true,,,,poll16747840
"174 Ipswich Street, Boston, MA 02215.",,02:00 PM - 08:00 PM,,ho63879191,false,true,,,,poll43890392
"20 South Street, Boston, MA 02130.",,02:00 PM - 08:00 PM,,ho67975079,false,true,,,,poll1618123
"300 North Harvard Street, Boston, MA 02134.",,02:00 PM - 08:00 PM,,ho53541204,false,true,,,,poll93381932
