start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:30:00-04:00,19:00:00-04:00,,,,2016-10-24,2016-10-24,ho2545626,sch0001
08:30:00-04:00,19:00:00-04:00,,,,2016-10-25,2016-10-25,ho2545626,sch0002
08:30:00-04:00,19:00:00-04:00,,,,2016-10-26,2016-10-26,ho2545626,sch0003
08:30:00-04:00,19:00:00-04:00,,,,2016-10-27,2016-10-27,ho2545626,sch0004
08:30:00-04:00,12:30:00-04:00,,,,2016-10-28,2016-10-28,ho2545626,sch0005
09:00:00-04:00,13:00:00-04:00,,,,2016-10-29,2016-10-29,ho2545626,sch0006
08:30:00-04:00,19:00:00-04:00,,,,2016-10-31,2016-10-31,ho2545626,sch0007
08:30:00-04:00,19:00:00-04:00,,,,2016-11-01,2016-11-01,ho2545626,sch0008
08:30:00-04:00,19:00:00-04:00,,,,2016-11-02,2016-11-02,ho2545626,sch0009
08:30:00-04:00,19:00:00-04:00,,,,2016-11-03,2016-11-03,ho2545626,sch0010
08:30:00-04:00,12:30:00-04:00,,,,2016-11-04,2016-11-04,ho2545626,sch0011
08:00:00-04:00,20:00:00-04:00,,,,2016-10-24,2016-10-24,ho99055524,sch0012
08:00:00-04:00,17:00:00-04:00,,,,2016-10-25,2016-10-25,ho99055524,sch0013
08:00:00-04:00,20:00:00-04:00,,,,2016-10-26,2016-10-26,ho99055524,sch0014
07:00:00-04:00,20:00:00-04:00,,,,2016-10-27,2016-10-27,ho99055524,sch0015
07:00:00-04:00,20:00:00-04:00,,,,2016-10-28,2016-10-28,ho99055524,sch0016
08:00:00-04:00,20:00:00-04:00,,,,2016-10-29,2016-10-29,ho99055524,sch0017
07:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-10-31,ho99055524,sch0018
07:00:00-04:00,20:00:00-04:00,,,,2016-11-01,2016-11-01,ho99055524,sch0019
07:00:00-04:00,20:00:00-04:00,,,,2016-11-02,2016-11-02,ho99055524,sch0020
07:00:00-04:00,20:00:00-04:00,,,,2016-11-03,2016-11-03,ho99055524,sch0021
07:00:00-04:00,17:00:00-04:00,,,,2016-11-04,2016-11-04,ho99055524,sch0022
08:00:00-04:00,16:00:00-04:00,,,,2016-10-24,2016-10-24,ho87376366,sch0023
08:00:00-04:00,20:00:00-04:00,,,,2016-10-25,2016-10-25,ho87376366,sch0024
08:00:00-04:00,16:00:00-04:00,,,,2016-10-26,2016-10-26,ho87376366,sch0025
08:00:00-04:00,16:00:00-04:00,,,,2016-10-27,2016-10-27,ho87376366,sch0026
