id,date,name,election_type,state_id,is_statewide,registration_info,absentee_ballot_info,results_uri,polling_hours,has_election_day_registration,registration_deadline,absentee_request_deadline,hours_open_id
e0001,11/8/2016,2016 Presidential Election,federal,st27,true,,,,08:00 AM-04:30 PM,no,2016-10-18,,ho0001
e0002,11/8/2016,2016 Presidential Election,federal,st27,true,,,,10:00 AM-03:00 PM,no,2016-10-18,,ho0008
e0003,11/8/2016,2016 Presidential Election,federal,st27,true,,,,08:00 AM-05:00 PM,no,2016-10-18,,ho0009
e0004,11/8/2016,2016 Presidential Election,federal,st27,true,,,,08:00 AM-04:30 PM,no,2016-10-18,,ho0010
e0005,11/8/2016,2016 Presidential Election,federal,st27,true,,,,10:00 AM-03:00 PM,no,2016-10-18,,ho0017
e0006,11/8/2016,2016 Presidential Election,federal,st27,true,,,,08:00 AM-05:00 PM,no,2016-10-18,,ho0018
e0007,11/8/2016,2016 Presidential Election,federal,st27,true,,,,08:00 AM-04:30 PM,no,2016-10-18,,ho0019
e0008,11/8/2016,2016 Presidential Election,federal,st27,true,,,,10:00 AM-01:00 PM,no,2016-10-18,,ho0026
e0009,11/8/2016,2016 Presidential Election,federal,st27,true,,,,08:00 AM-05:00 PM,no,2016-10-18,,ho0027
e0010,11/8/2016,2016 Presidential Election,federal,st27,true,,,,07:25 AM-02:25 PM,no,2016-10-18,,ho0028
e0011,11/8/2016,2016 Presidential Election,federal,st27,true,,,,10:00 AM-03:00 PM,no,2016-10-18,,ho0035
e0012,11/8/2016,2016 Presidential Election,federal,st27,true,,,,07:25 AM-05:00 PM,no,2016-10-18,,ho0036
e0013,11/8/2016,2016 Presidential Election,federal,st27,true,,,,08:00 AM-04:30 PM,no,2016-10-18,,ho0037
e0014,11/8/2016,2016 Presidential Election,federal,st27,true,,,,10:00 AM-03:00 PM,no,2016-10-18,,ho0044
e0015,11/8/2016,2016 Presidential Election,federal,st27,true,,,,08:00 AM-05:00 PM,no,2016-10-18,,ho0045
e0016,11/8/2016,2016 Presidential Election,federal,st27,true,,,,07:00 AM-04:00 PM,no,2016-10-18,,ho0046
e0017,11/8/2016,2016 Presidential Election,federal,st27,true,,,,10:00 AM-03:00 PM,no,2016-10-18,,ho0053
e0018,11/8/2016,2016 Presidential Election,federal,st27,true,,,,07:00 AM-05:00 PM,no,2016-10-18,,ho0054
e0019,11/8/2016,2016 Presidential Election,federal,st27,true,,,,08:00 AM-04:30 PM,no,2016-10-18,,ho0055
