external_identifier_value,election_administration_id,external_identifier_type,external_identifier_othertype,name,polling_location_ids,state_id,type,other_type,id
ocd-division/country:us/state:mn/county:aitkin,ea0001,ocd-id,,Aitkin_Aitkin_1,poll0009 poll0001 poll0008,st27,,,loc0001
ocd-division/country:us/state:mn/county:anoka,ea0004,ocd-id,,Anoka_Bethel_12,poll0111 poll0110 poll0017 poll0010 poll0101 poll0171 poll0170 poll0119 poll0053 poll0072 poll0055 poll0135 poll0071 poll0018 poll0112 poll0197 poll0172 poll0073 poll0161 poll0223 poll0189 poll0216 poll0028 poll0180 poll0121 poll0143 poll0027 poll0026 poll0144 poll0145 poll0128 poll0063 poll0062 poll0136 poll0064 poll0162 poll0163 poll0120 poll0054 poll0181 poll0102 poll0046 poll0045 poll0019 poll0075 poll0179 poll0103 poll0134 poll0044 poll0199 poll0198 poll0224 poll0094 poll0190 poll0214 poll0092 poll0208 poll0207 poll0206 poll0188 poll0154 poll0152 poll0036 poll0037 poll0153 poll0035,st27,,,loc0012
ocd-division/country:us/state:mn/county:becker,ea0071,ocd-id,,Becker_Detroit,poll0225 poll0232 poll0233,st27,,,loc0070
ocd-division/country:us/state:mn/county:beltrami,ea0073,ocd-id,,Beltrami_Bemidji_74,poll0234 poll0241 poll0242,st27,,,loc0074
ocd-division/country:us/state:mn/county:benton,ea0078,ocd-id,,Benton_Foley_78,poll0243 poll0250 poll0251,st27,,,loc0076
ocd-division/country:us/state:mn/county:big_stone,ea0079,ocd-id,,Big,poll0260 poll0252 poll0259,st27,,,loc0081
ocd-division/country:us/state:mn/county:blue_earth,ea0082,ocd-id,,Blue,poll0261 poll0268 poll0269,st27,,,loc0084
ocd-division/country:us/state:mn/county:brown,ea0085,ocd-id,,Brown_New,poll0270 poll0278 poll0277,st27,,,loc0085
ocd-division/country:us/state:mn/county:carlton,ea0088,ocd-id,,Carlton_Carlton_90,poll0279 poll0287 poll0286,st27,,,loc0090
ocd-division/country:us/state:mn/county:carver,ea0093,ocd-id,,Carver_Chaska_93,poll0296 poll0288 poll0295,st27,,,loc0092
ocd-division/country:us/state:mn/county:cass,ea0112,ocd-id,,Cass_Pillager_113,poll0364 poll0362 poll0363 poll0346 poll0347 poll0348 poll0349 poll0372 poll0337 poll0330 poll0371 poll0314 poll0339 poll0338 poll0297 poll0328 poll0307 poll0313 poll0321 poll0304 poll0305 poll0306 poll0329,st27,,,loc0116
