start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho25751944,sch0001
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho25751944,sch0002
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho25751944,sch0003
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho25751944,sch0004
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho25751944,sch0005
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho25751944,sch0006
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho25751944,sch0007
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho25751944,sch0008
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho25751944,sch0009
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho73555347,sch0010
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho73555347,sch0011
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho73555347,sch0012
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho73555347,sch0013
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho73555347,sch0014
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho73555347,sch0015
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho73555347,sch0016
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho73555347,sch0017
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho73555347,sch0018
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho70705894,sch0019
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho70705894,sch0020
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho70705894,sch0021
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho70705894,sch0022
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho70705894,sch0023
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho70705894,sch0024
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho70705894,sch0025
10:00:00-05:00,13:00:00-05:00,,,,2016-11-05,2016-11-05,ho70705894,sch0026
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho70705894,sch0027
07:25:00-05:00,14:25:00-05:00,,,,2016-09-23,2016-09-23,ho70073272,sch0028
07:25:00-05:00,14:25:00-05:00,,,,2016-09-26,2016-09-30,ho70073272,sch0029
07:25:00-05:00,14:25:00-05:00,,,,2016-10-03,2016-10-07,ho70073272,sch0030
07:25:00-05:00,14:25:00-05:00,,,,2016-10-10,2016-10-14,ho70073272,sch0031
07:25:00-05:00,14:25:00-05:00,,,,2016-10-17,2016-10-21,ho70073272,sch0032
07:25:00-05:00,14:25:00-05:00,,,,2016-10-24,2016-10-28,ho70073272,sch0033
07:25:00-05:00,14:25:00-05:00,,,,2016-10-31,2016-11-04,ho70073272,sch0034
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho70073272,sch0035
07:25:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho70073272,sch0036
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho81228363,sch0037
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho81228363,sch0038
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho81228363,sch0039
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho81228363,sch0040
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho81228363,sch0041
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho81228363,sch0042
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho81228363,sch0043
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho81228363,sch0044
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho81228363,sch0045
07:00:00-05:00,16:00:00-05:00,,,,2016-09-23,2016-09-23,ho44489920,sch0046
07:00:00-05:00,16:00:00-05:00,,,,2016-09-26,2016-09-30,ho44489920,sch0047
07:00:00-05:00,16:00:00-05:00,,,,2016-10-03,2016-10-07,ho44489920,sch0048
07:00:00-05:00,16:00:00-05:00,,,,2016-10-10,2016-10-14,ho44489920,sch0049
07:00:00-05:00,16:00:00-05:00,,,,2016-10-17,2016-10-21,ho44489920,sch0050
07:00:00-05:00,16:00:00-05:00,,,,2016-10-24,2016-10-28,ho44489920,sch0051
07:00:00-05:00,16:00:00-05:00,,,,2016-10-31,2016-11-04,ho44489920,sch0052
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho44489920,sch0053
07:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho44489920,sch0054
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho5234250,sch0055
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho5234250,sch0056
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho5234250,sch0057
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho5234250,sch0058
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho5234250,sch0059
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho5234250,sch0060
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho5234250,sch0061
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho5234250,sch0062
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho5234250,sch0063
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho7307315,sch0064
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho7307315,sch0065
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho7307315,sch0066
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho7307315,sch0067
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho7307315,sch0068
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho7307315,sch0069
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho7307315,sch0070
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho7307315,sch0071
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho7307315,sch0072
08:00:00-05:00,16:00:00-05:00,,,,2016-09-23,2016-09-23,ho32517885,sch0073
08:00:00-05:00,16:00:00-05:00,,,,2016-09-26,2016-09-27,ho32517885,sch0074
08:00:00-05:00,17:00:00-05:00,,,,2016-09-28,2016-09-28,ho32517885,sch0075
08:00:00-05:00,16:00:00-05:00,,,,2016-09-29,2016-09-30,ho32517885,sch0076
08:00:00-05:00,16:00:00-05:00,,,,2016-10-03,2016-10-04,ho32517885,sch0077
08:00:00-05:00,17:00:00-05:00,,,,2016-10-05,2016-10-05,ho32517885,sch0078
08:00:00-05:00,16:00:00-05:00,,,,2016-10-06,2016-10-07,ho32517885,sch0079
08:00:00-05:00,16:00:00-05:00,,,,2016-10-10,2016-10-11,ho32517885,sch0080
08:00:00-05:00,17:00:00-05:00,,,,2016-10-12,2016-10-12,ho32517885,sch0081
08:00:00-05:00,16:00:00-05:00,,,,2016-10-13,2016-10-14,ho32517885,sch0082
08:00:00-05:00,16:00:00-05:00,,,,2016-10-17,2016-10-18,ho32517885,sch0083
08:00:00-05:00,17:00:00-05:00,,,,2016-10-19,2016-10-19,ho32517885,sch0084
08:00:00-05:00,16:00:00-05:00,,,,2016-10-20,2016-10-21,ho32517885,sch0085
08:00:00-05:00,16:00:00-05:00,,,,2016-10-24,2016-10-25,ho32517885,sch0086
08:00:00-05:00,17:00:00-05:00,,,,2016-10-26,2016-10-26,ho32517885,sch0087
08:00:00-05:00,16:00:00-05:00,,,,2016-10-27,2016-10-28,ho32517885,sch0088
08:00:00-05:00,16:00:00-05:00,,,,2016-10-31,2016-11-01,ho32517885,sch0089
08:00:00-05:00,17:00:00-05:00,,,,2016-11-02,2016-11-02,ho32517885,sch0090
08:00:00-05:00,16:00:00-05:00,,,,2016-11-03,2016-11-04,ho32517885,sch0091
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho32517885,sch0092
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho32517885,sch0093
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho79944931,sch0094
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho79944931,sch0095
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho79944931,sch0096
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho79944931,sch0097
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho79944931,sch0098
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho79944931,sch0099
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho79944931,sch0100
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho79944931,sch0101
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho79944931,sch0102
08:00:00-05:00,16:00:00-05:00,,,,2016-09-23,2016-09-23,ho28009172,sch0103
08:00:00-05:00,16:00:00-05:00,,,,2016-09-26,2016-09-30,ho28009172,sch0104
08:00:00-05:00,16:00:00-05:00,,,,2016-10-03,2016-10-07,ho28009172,sch0105
08:00:00-05:00,16:00:00-05:00,,,,2016-10-17,2016-10-14,ho28009172,sch0106
08:00:00-05:00,16:00:00-05:00,,,,2016-10-17,2016-10-21,ho28009172,sch0107
08:00:00-05:00,16:00:00-05:00,,,,2016-10-24,2016-10-28,ho28009172,sch0108
08:00:00-05:00,16:00:00-05:00,,,,2016-10-31,2016-11-04,ho28009172,sch0109
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho28009172,sch0110
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho28009172,sch0111
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho89351416,sch0112
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho89351416,sch0113
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho89351416,sch0114
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho89351416,sch0115
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho89351416,sch0116
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho89351416,sch0117
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho89351416,sch0118
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho89351416,sch0119
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho89351416,sch0120
07:00:00-05:00,12:00:00-05:00,,,,2016-09-23,2016-09-23,ho12440546,sch0121
07:00:00-05:00,12:00:00-05:00,,,,2016-09-30,2016-09-30,ho12440546,sch0122
07:00:00-05:00,12:00:00-05:00,,,,2016-10-07,2016-10-07,ho12440546,sch0123
07:00:00-05:00,12:00:00-05:00,,,,2016-10-14,2016-10-14,ho12440546,sch0124
07:00:00-05:00,12:00:00-05:00,,,,2016-10-21,2016-10-21,ho12440546,sch0125
07:00:00-05:00,12:00:00-05:00,,,,2016-10-28,2016-10-28,ho12440546,sch0126
07:00:00-05:00,12:00:00-05:00,,,,2016-11-04,2016-11-04,ho12440546,sch0127
07:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-29,ho12440546,sch0128
07:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-06,ho12440546,sch0129
07:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-13,ho12440546,sch0130
07:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho12440546,sch0131
07:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho12440546,sch0132
07:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho12440546,sch0133
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho12440546,sch0134
07:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho12440546,sch0135
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho8164291,sch0136
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho8164291,sch0137
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho8164291,sch0138
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho8164291,sch0139
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho8164291,sch0140
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho8164291,sch0141
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho8164291,sch0142
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho8164291,sch0143
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho8164291,sch0144
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho59198031,sch0145
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho59198031,sch0146
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho59198031,sch0147
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho59198031,sch0148
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho59198031,sch0149
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho59198031,sch0150
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho59198031,sch0151
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho59198031,sch0152
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho59198031,sch0153
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho18860467,sch0154
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho18860467,sch0155
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho18860467,sch0156
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho18860467,sch0157
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho18860467,sch0158
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho18860467,sch0159
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho18860467,sch0160
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho18860467,sch0161
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho18860467,sch0162
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho93026825,sch0163
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho93026825,sch0164
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho93026825,sch0165
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho93026825,sch0166
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho93026825,sch0167
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho93026825,sch0168
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho93026825,sch0169
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho93026825,sch0170
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho93026825,sch0171
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho40495028,sch0172
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho40495028,sch0173
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho40495028,sch0174
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho40495028,sch0175
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho40495028,sch0176
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho40495028,sch0177
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho40495028,sch0178
10:00:00-05:00,15:00:00-05:00,,,,2016-11-05,2016-11-05,ho40495028,sch0179
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho40495028,sch0180
08:00:00-05:00,16:30:00-05:00,,,,2016-09-23,2016-09-23,ho89330809,sch0181
08:00:00-05:00,16:30:00-05:00,,,,2016-09-26,2016-09-30,ho89330809,sch0182
08:00:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho89330809,sch0183
08:00:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho89330809,sch0184
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho89330809,sch0185
