ocd_division,county,location_name,address_1,address_2,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,appointment_phone_num,is_subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,09-23-2016,09-23-2016,False,False,False,,1,"209 2nd St NW Rm 202, Aitkin, MN 56431",,08:00 AM-04:30 PM,,ho25751944,false,true,,,,poll81978279
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,09-26-2016,09-30-2016,False,False,False,,2,"209 2nd St NW Rm 202, Aitkin, MN 56431",,08:00 AM-04:30 PM,,ho25751944,false,true,,,,poll81978279
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,10-03-2016,10-07-2016,False,False,False,,3,"209 2nd St NW Rm 202, Aitkin, MN 56431",,08:00 AM-04:30 PM,,ho25751944,false,true,,,,poll81978279
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,10-10-2016,10-14-2016,False,False,False,,4,"209 2nd St NW Rm 202, Aitkin, MN 56431",,08:00 AM-04:30 PM,,ho25751944,false,true,,,,poll81978279
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,10-17-2016,10-21-2016,False,False,False,,5,"209 2nd St NW Rm 202, Aitkin, MN 56431",,08:00 AM-04:30 PM,,ho25751944,false,true,,,,poll81978279
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,10-24-2016,10-28-2016,False,False,False,,6,"209 2nd St NW Rm 202, Aitkin, MN 56431",,08:00 AM-04:30 PM,,ho25751944,false,true,,,,poll81978279
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,10-31-2016,11-04-2016,False,False,False,,7,"209 2nd St NW Rm 202, Aitkin, MN 56431",,08:00 AM-04:30 PM,,ho25751944,false,true,,,,poll81978279
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,1000,1500,11-05-2016,11-05-2016,False,False,False,,8,"209 2nd St NW Rm 202, Aitkin, MN 56431",,10:00 AM-03:00 PM,,ho25751944,false,true,,,,poll81978279
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1700,11-07-2016,11-07-2016,False,False,False,,9,"209 2nd St NW Rm 202, Aitkin, MN 56431",,08:00 AM-05:00 PM,,ho25751944,false,true,,,,poll81978279
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,800,1630,09-23-2016,09-23-2016,False,False,False,,10,"1685 Crosstown Blvd NW, Andover, MN 55304",,08:00 AM-04:30 PM,,ho73555347,false,true,,,,poll34198844
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,800,1630,09-26-2016,09-30-2016,False,False,False,,11,"1685 Crosstown Blvd NW, Andover, MN 55304",,08:00 AM-04:30 PM,,ho73555347,false,true,,,,poll34198844
