ocd_division,county,location_name,address_1,address_2,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,appointment_phone_num,is_subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,09-23-2016,09-23-2016,False,False,False,,1,"209 2nd St NW Rm 202, Aitkin, MN 56431",,08:00 AM-04:30 PM,,ho25751944,false,true,,,,poll0001
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,1000,1500,11-05-2016,11-05-2016,False,False,False,,8,"209 2nd St NW Rm 202, Aitkin, MN 56431",,10:00 AM-03:00 PM,,ho25751944,false,true,,,,poll0008
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1700,11-07-2016,11-07-2016,False,False,False,,9,"209 2nd St NW Rm 202, Aitkin, MN 56431",,08:00 AM-05:00 PM,,ho25751944,false,true,,,,poll0009
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,800,1630,09-23-2016,09-23-2016,False,False,False,,10,"1685 Crosstown Blvd NW, Andover, MN 55304",,08:00 AM-04:30 PM,,ho73555347,false,true,,,,poll0010
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,1000,1500,11-05-2016,11-05-2016,False,False,False,,17,"1685 Crosstown Blvd NW, Andover, MN 55304",,10:00 AM-03:00 PM,,ho73555347,false,true,,,,poll0017
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,800,1700,11-07-2016,11-07-2016,False,False,False,,18,"1685 Crosstown Blvd NW, Andover, MN 55304",,08:00 AM-05:00 PM,,ho73555347,false,true,,,,poll0018
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka City Hall,2015 First Ave North,,Anoka,MN,55303,800,1630,09-23-2016,09-23-2016,False,False,False,,19,"2015 First Ave North, Anoka, MN 55303",,08:00 AM-04:30 PM,,ho70705894,false,true,,,,poll0019
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka City Hall,2015 First Ave North,,Anoka,MN,55303,1000,1300,11-05-2016,11-05-2016,False,False,False,,26,"2015 First Ave North, Anoka, MN 55303",,10:00 AM-01:00 PM,,ho70705894,false,true,,,,poll0026
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka City Hall,2015 First Ave North,,Anoka,MN,55303,800,1700,11-07-2016,11-07-2016,False,False,False,,27,"2015 First Ave North, Anoka, MN 55303",,08:00 AM-05:00 PM,,ho70705894,false,true,,,,poll0027
ocd-division/country:us/state:mn/county:anoka,Anoka,Bethel - Sandhill Center,23820 Dewey St,,Bethel,MN,55005,725,1425,09-23-2016,09-23-2016,False,False,False,,28,"23820 Dewey St, Bethel, MN 55005",,07:25 AM-02:25 PM,,ho70073272,false,true,,,,poll0028
ocd-division/country:us/state:mn/county:anoka,Anoka,Bethel - Sandhill Center,23820 Dewey St,,Bethel,MN,55005,1000,1500,11-05-2016,11-05-2016,False,False,False,,35,"23820 Dewey St, Bethel, MN 55005",,10:00 AM-03:00 PM,,ho70073272,false,true,,,,poll0035
ocd-division/country:us/state:mn/county:anoka,Anoka,Bethel - Sandhill Center,23820 Dewey St,,Bethel,MN,55005,725,1700,11-07-2016,11-07-2016,False,False,False,,36,"23820 Dewey St, Bethel, MN 55005",,07:25 AM-05:00 PM,,ho70073272,false,true,,,,poll0036
ocd-division/country:us/state:mn/county:anoka,Anoka,Blaine City Hall,10801 Town Square Dr,,Blaine,MN,55449,800,1630,09-23-2016,09-23-2016,False,False,False,,37,"10801 Town Square Dr, Blaine, MN 55449",,08:00 AM-04:30 PM,,ho81228363,false,true,,,,poll0037
ocd-division/country:us/state:mn/county:anoka,Anoka,Blaine City Hall,10801 Town Square Dr,,Blaine,MN,55449,1000,1500,11-05-2016,11-05-2016,False,False,False,,44,"10801 Town Square Dr, Blaine, MN 55449",,10:00 AM-03:00 PM,,ho81228363,false,true,,,,poll0044
ocd-division/country:us/state:mn/county:anoka,Anoka,Blaine City Hall,10801 Town Square Dr,,Blaine,MN,55449,800,1700,11-07-2016,11-07-2016,False,False,False,,45,"10801 Town Square Dr, Blaine, MN 55449",,08:00 AM-05:00 PM,,ho81228363,false,true,,,,poll0045
ocd-division/country:us/state:mn/county:anoka,Anoka,Centerville City Hall,1880 Main St,,Centerville,MN,55038,700,1600,09-23-2016,09-23-2016,False,False,False,,46,"1880 Main St, Centerville, MN 55038",,07:00 AM-04:00 PM,,ho44489920,false,true,,,,poll0046
ocd-division/country:us/state:mn/county:anoka,Anoka,Centerville City Hall,1880 Main St,,Centerville,MN,55038,1000,1500,11-05-2016,11-05-2016,False,False,False,,53,"1880 Main St, Centerville, MN 55038",,10:00 AM-03:00 PM,,ho44489920,false,true,,,,poll0053
ocd-division/country:us/state:mn/county:anoka,Anoka,Centerville City Hall,1880 Main St,,Centerville,MN,55038,700,1700,11-07-2016,11-07-2016,False,False,False,,54,"1880 Main St, Centerville, MN 55038",,07:00 AM-05:00 PM,,ho44489920,false,true,,,,poll0054
ocd-division/country:us/state:mn/county:anoka,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,Circle Pines,MN,55014,800,1630,09-23-2016,09-23-2016,False,False,False,,55,"200 Civic Heights Cir, Circle Pines, MN 55014",,08:00 AM-04:30 PM,,ho5234250,false,true,,,,poll0055
ocd-division/country:us/state:mn/county:anoka,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,Circle Pines,MN,55014,1000,1500,11-05-2016,11-05-2016,False,False,False,,62,"200 Civic Heights Cir, Circle Pines, MN 55014",,10:00 AM-03:00 PM,,ho5234250,false,true,,,,poll0062
ocd-division/country:us/state:mn/county:anoka,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,Circle Pines,MN,55014,800,1700,11-07-2016,11-07-2016,False,False,False,,63,"200 Civic Heights Cir, Circle Pines, MN 55014",,08:00 AM-05:00 PM,,ho5234250,false,true,,,,poll0063
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,800,1630,09-23-2016,09-23-2016,False,False,False,,64,"590 40th Ave NE, Columbia Heights, MN 55421",,08:00 AM-04:30 PM,,ho7307315,false,true,,,,poll0064
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,1000,1500,11-05-2016,11-05-2016,False,False,False,,71,"590 40th Ave NE, Columbia Heights, MN 55421",,10:00 AM-03:00 PM,,ho7307315,false,true,,,,poll0071
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,800,1700,11-07-2016,11-07-2016,False,False,False,,72,"590 40th Ave NE, Columbia Heights, MN 55421",,08:00 AM-05:00 PM,,ho7307315,false,true,,,,poll0072
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,09-23-2016,09-23-2016,False,False,False,,73,"16319 Kettle River Blvd, Columbus, MN 55025",,08:00 AM-04:00 PM,,ho32517885,false,true,,,,poll0073
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1700,09-28-2016,09-28-2016,False,False,False,,75,"16319 Kettle River Blvd, Columbus, MN 55025",,08:00 AM-05:00 PM,,ho32517885,false,true,,,,poll0075
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,1000,1500,11-05-2016,11-05-2016,False,False,False,,92,"16319 Kettle River Blvd, Columbus, MN 55025",,10:00 AM-03:00 PM,,ho32517885,false,true,,,,poll0092
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,800,1630,09-23-2016,09-23-2016,False,False,False,,94,"11155 Robinson Dr, Coon Rapids, MN 55433",,08:00 AM-04:30 PM,,ho79944931,false,true,,,,poll0094
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,1000,1500,11-05-2016,11-05-2016,False,False,False,,101,"11155 Robinson Dr, Coon Rapids, MN 55433",,10:00 AM-03:00 PM,,ho79944931,false,true,,,,poll0101
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,800,1700,11-07-2016,11-07-2016,False,False,False,,102,"11155 Robinson Dr, Coon Rapids, MN 55433",,08:00 AM-05:00 PM,,ho79944931,false,true,,,,poll0102
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,800,1600,09-23-2016,09-23-2016,False,False,False,,103,"2241 221st Ave NE, East Bethel, MN 55011",,08:00 AM-04:00 PM,,ho28009172,false,true,,,,poll0103
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,1000,1500,11-05-2016,11-05-2016,False,False,False,,110,"2241 221st Ave NE, East Bethel, MN 55011",,10:00 AM-03:00 PM,,ho28009172,false,true,,,,poll0110
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,800,1700,11-07-2016,11-07-2016,False,False,False,,111,"2241 221st Ave NE, East Bethel, MN 55011",,08:00 AM-05:00 PM,,ho28009172,false,true,,,,poll0111
