election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:mn/county:aitkin/place:aitkin,Aitkin_Aitkin_9,poll81978279,st27,other,,loc0001
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:andover,Anoka_Andover_18,poll34198844,st27,other,,loc0002
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:anoka,Anoka_Anoka_216,poll34654616 poll59410339,st27,other,,loc0003
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:bethel,Anoka_Bethel_29,poll56853424,st27,other,,loc0004
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:blaine,Anoka_Blaine_37,poll97959122,st27,other,,loc0005
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:centerville,Anoka_Centerville_47,poll24536731,st27,other,,loc0006
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:circle_pines,Anoka_Circle,poll15020540,st27,other,,loc0007
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:columbia_heights,Anoka_Columbia,poll33932882,st27,other,,loc0008
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:columbus,Anoka_Columbus_85,poll40666618,st27,other,,loc0009
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:coon_rapids,Anoka_Coon,poll70294647,st27,other,,loc0010
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:east_bethel,Anoka_East,poll59649142,st27,other,,loc0011
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:fridley,Anoka_Fridley_120,poll39316870,st27,other,,loc0012
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:ham_lake,Anoka_Ham,poll3448826,st27,other,,loc0013
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:hilltop,Anoka_Hilltop_137,poll41027602,st27,other,,loc0014
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:lexington,Anoka_Lexington_146,poll28832243,st27,other,,loc0015
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:lino_lakes,Anoka_Lino,poll74502090,st27,other,,loc0016
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:nowthen,Anoka_Nowthen_174,poll25140605,st27,other,,loc0017
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:oak_grove,Anoka_Oak,poll34240616,st27,other,,loc0018
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:ramsey,Anoka_Ramsey_191,poll84373758,st27,other,,loc0019
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:spring_lake_park,Anoka_Spring,poll87456480,st27,other,,loc0020
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:st._francis,Anoka_St.,poll32422762,st27,other,,loc0021
,ocd-id,,ocd-division/country:us/state:mn/county:anoka/place:stacy,Anoka_Stacy_168,poll1411991,st27,other,,loc0022
,ocd-id,,ocd-division/country:us/state:mn/county:becker/place:detroit_lakes,Becker_Detroit,poll43825063,st27,other,,loc0023
,ocd-id,,ocd-division/country:us/state:mn/county:beltrami/place:bemidji,Beltrami_Bemidji_240,poll53592787,st27,other,,loc0024
,ocd-id,,ocd-division/country:us/state:mn/county:benton/place:foley,Benton_Foley_245,poll4518139,st27,other,,loc0025
,ocd-id,,ocd-division/country:us/state:mn/county:big_stone/place:ortonville,Big,poll63087148,st27,other,,loc0026
,ocd-id,,ocd-division/country:us/state:mn/county:blue_earth/place:mankato,Blue,poll99698033,st27,other,,loc0027
,ocd-id,,ocd-division/country:us/state:mn/county:brown/place:new_ulm,Brown_New,poll36994080,st27,other,,loc0028
,ocd-id,,ocd-division/country:us/state:mn/county:carlton/place:carlton,Carlton_Carlton_281,poll90455853,st27,other,,loc0029
,ocd-id,,ocd-division/country:us/state:mn/county:carver/place:chaska,Carver_Chaska_294,poll84036541,st27,other,,loc0030
,ocd-id,,ocd-division/country:us/state:mn/county:cass/place:cass_lake,Cass_Cass,poll67855797,st27,other,,loc0031
,ocd-id,,ocd-division/country:us/state:mn/county:cass/place:east_gull_lake,Cass_East,poll965443,st27,other,,loc0032
,ocd-id,,ocd-division/country:us/state:mn/county:cass/place:lake_shore,Cass_Lake,poll17543699,st27,other,,loc0033
,ocd-id,,ocd-division/country:us/state:mn/county:cass/place:pillager,Cass_Pillager_359,poll29747187 poll6589385,st27,other,,loc0034
,ocd-id,,ocd-division/country:us/state:mn/county:cass/place:remer,Cass_Remer_339,poll68719174,st27,other,,loc0035
,ocd-id,,ocd-division/country:us/state:mn/county:cass/place:walker,Cass_Walker_368,poll47531787,st27,other,,loc0036
,ocd-id,,ocd-division/country:us/state:mn/county:chippewa/place:montevideo,Chippewa_Montevideo_373,poll30406047,st27,other,,loc0037
,ocd-id,,ocd-division/country:us/state:mn/county:chisago/place:center_city,Chisago_Center,poll23413147,st27,other,,loc0038
,ocd-id,,ocd-division/country:us/state:mn/county:clay/place:moorhead,Clay_Moorhead_397,poll98819311,st27,other,,loc0039
,ocd-id,,ocd-division/country:us/state:mn/county:clearwater/place:bagley,Clearwater_Bagley_407,poll20201024,st27,other,,loc0040
,ocd-id,,ocd-division/country:us/state:mn/county:cook/place:grand_marais,Cook_Grand,poll25384700,st27,other,,loc0041
,ocd-id,,ocd-division/country:us/state:mn/county:cottonwood/place:windom,Cottonwood,poll67583879,st27,other,,loc0042
,ocd-id,,ocd-division/country:us/state:mn/county:crow_wing/place:brainerd,Crow,poll55566616,st27,other,,loc0043
,ocd-id,,ocd-division/country:us/state:mn/county:dakota/place:apple_valley,Dakota_Apple,poll693470 poll58386470,st27,other,,loc0044
,ocd-id,,ocd-division/country:us/state:mn/county:dakota/place:burnsville,Dakota_Burnsville_447,poll89364246,st27,other,,loc0045
,ocd-id,,ocd-division/country:us/state:mn/county:dakota/place:eagan,Dakota_Eagan_509,poll77864618,st27,other,,loc0046
,ocd-id,,ocd-division/country:us/state:mn/county:dakota/place:farmington,Dakota_Farmington_521,poll61577531,st27,other,,loc0047
,ocd-id,,ocd-division/country:us/state:mn/county:dakota/place:hastings,Dakota_Hastings_527,poll62919929 poll37260310 poll50962513,st27,other,,loc0048
,ocd-id,,ocd-division/country:us/state:mn/county:dakota/place:inver_grove_heights,Dakota_Inver,poll64592629,st27,other,,loc0049
,ocd-id,,ocd-division/country:us/state:mn/county:dakota/place:lakeville,Dakota_Lakeville_548,poll9264306,st27,other,,loc0050
,ocd-id,,ocd-division/country:us/state:mn/county:dakota/place:northfield,Dakota_Northfield_554,poll64068567,st27,other,,loc0051
,ocd-id,,ocd-division/country:us/state:mn/county:dakota/place:rosemount,Dakota_Rosemount_560,poll97737547,st27,other,,loc0052
,ocd-id,,ocd-division/country:us/state:mn/county:dakota/place:south_st._paul,Dakota_South,poll83219444,st27,other,,loc0053
,ocd-id,,ocd-division/country:us/state:mn/county:dakota/place:west_st_paul,Dakota_West,poll7327913,st27,other,,loc0054
,ocd-id,,ocd-division/country:us/state:mn/county:dodge/place:mantorville,Dodge_Mantorville_594,poll68940730,st27,other,,loc0055
,ocd-id,,ocd-division/country:us/state:mn/county:douglas/place:alexandria,Douglas_Alexandria_600,poll56025609,st27,other,,loc0056
,ocd-id,,ocd-division/country:us/state:mn/county:faribault/place:blue_earth,Faribault_Blue,poll60217220,st27,other,,loc0057
,ocd-id,,ocd-division/country:us/state:mn/county:fillmore/place:preston,Fillmore_Preston_621,poll15978187,st27,other,,loc0058
,ocd-id,,ocd-division/country:us/state:mn/county:freeborn/place:albert_lea,Freeborn_Albert,poll99278239,st27,other,,loc0059
,ocd-id,,ocd-division/country:us/state:mn/county:goodhue/place:cannon_falls,Goodhue_Cannon,poll73430817,st27,other,,loc0060
,ocd-id,,ocd-division/country:us/state:mn/county:goodhue/place:kenyon,Goodhue_Kenyon_648,poll94044249,st27,other,,loc0061
,ocd-id,,ocd-division/country:us/state:mn/county:goodhue/place:lake_city,Goodhue_Lake,poll12637813,st27,other,,loc0062
,ocd-id,,ocd-division/country:us/state:mn/county:goodhue/place:red_wing,Goodhue_Red,poll64235387 poll35176376,st27,other,,loc0063
,ocd-id,,ocd-division/country:us/state:mn/county:goodhue/place:zumbrota,Goodhue_Zumbrota_669,poll94019430,st27,other,,loc0064
,ocd-id,,ocd-division/country:us/state:mn/county:grant/place:elbow_lake,Grant_Elbow,poll30711952,st27,other,,loc0065
,ocd-id,,ocd-division/country:us/state:mn/county:hennepin/place:bloomington,Hennepin_Bloomington_698,poll31150144,st27,other,,loc0066
,ocd-id,,ocd-division/country:us/state:mn/county:hennepin/place:brooklyn_center,Hennepin_Brooklyn,poll39594500,st27,other,,loc0067
,ocd-id,,ocd-division/country:us/state:mn/county:hennepin/place:brooklyn_park,Hennepin_Brooklyn,poll48180052,st27,other,,loc0068
,ocd-id,,ocd-division/country:us/state:mn/county:hennepin/place:champlin,Hennepin_Champlin_729,poll32061754,st27,other,,loc0069
,ocd-id,,ocd-division/country:us/state:mn/county:hennepin/place:corcoran,Hennepin_Corcoran_731,poll49437283,st27,other,,loc0070
,ocd-id,,ocd-division/country:us/state:mn/county:hennepin/place:crystal,Hennepin_Crystal_742,poll19088395,st27,other,,loc0071
,ocd-id,,ocd-division/country:us/state:mn/county:hennepin/place:dayton,Hennepin_Dayton_760,poll691543,st27,other,,loc0072
,ocd-id,,ocd-division/country:us/state:mn/county:hennepin/place:deephaven,Hennepin_Deephaven_771,poll92666696,st27,other,,loc0073
