index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
0,"209 2nd St NW Rm 202, Aitkin, MN 56431",,08:00 AM-04:30 PM,,ho0000,False,True,,,,aitk0000
9,"1685 Crosstown Blvd NW, Andover, MN 55304",,08:00 AM-04:30 PM,,ho0009,False,True,,,,anok0009
18,"2015 First Ave North, Anoka, MN 55303",,08:00 AM-04:30 PM,,ho0018,False,True,,,,anok0018
27,"23820 Dewey St, Bethel, MN 55005",,07:25 AM-02:25 PM,,ho0027,False,True,,,,anok0027
36,"10801 Town Square Dr, Blaine, MN 55449",,08:00 AM-04:30 PM,,ho0036,False,True,,,,anok0036
45,"1880 Main St, Centerville, MN 55038",,07:00 AM-04:00 PM,,ho0045,False,True,,,,anok0045
54,"200 Civic Heights Cir, Circle Pines, MN 55014",,08:00 AM-04:30 PM,,ho0054,False,True,,,,anok0054
63,"590 40th Ave NE, Columbia Heights, MN 55421",,08:00 AM-04:30 PM,,ho0063,False,True,,,,anok0063
72,"16319 Kettle River Blvd, Columbus, MN 55025",,08:00 AM-04:00 PM,,ho0072,False,True,,,,anok0072
93,"11155 Robinson Dr, Coon Rapids, MN 55433",,08:00 AM-04:30 PM,,ho0093,False,True,,,,anok0093
102,"2241 221st Ave NE, East Bethel, MN 55011",,08:00 AM-04:00 PM,,ho0102,False,True,,,,anok0102
111,"6431 University Ave NE, Fridley, MN 55432",,08:00 AM-04:30 PM,,ho0111,False,True,,,,anok0111
120,"15544 Central Ave NE, Ham Lake, MN 55304",,07:00 AM-12:00 PM,,ho0120,False,True,,,,anok0120
135,"4555 Jackson St, Hilltop, MN 55421",,08:00 AM-04:30 PM,,ho0135,False,True,,,,anok0135
144,"9180 Lexington Ave, Lexington, MN 55014",,08:00 AM-04:30 PM,,ho0144,False,True,,,,anok0144
153,"600 Town Center Pkwy, Lino Lakes, MN 55014",,08:00 AM-04:30 PM,,ho0153,False,True,,,,anok0153
162,"22817 Typo Creek Dr NE, Stacy, MN 55079",,08:00 AM-04:30 PM,,ho0162,False,True,,,,anok0162
171,"8188 199th Ave NW, Nowthen, MN 55330",,08:00 AM-04:30 PM,,ho0171,False,True,,,,anok0171
180,"19900 Nightingale St NW, Oak Grove, MN 55011",,08:00 AM-04:30 PM,,ho0180,False,True,,,,anok0180
189,"7550 Sunwood Dr NW, Ramsey, MN 55303",,08:00 AM-04:30 PM,,ho0189,False,True,,,,anok0189
198,"1301 81st Ave NE, Spring Lake Park, MN 55432",,08:00 AM-04:30 PM,,ho0198,False,True,,,,anok0198
207,"23340 Cree St NW, St. Francis, MN 55070",,07:00 AM-05:30 PM,,ho0207,False,True,,,,anok0207
215,"325 E Main St Ste W130, Anoka, MN 55303",,08:00 AM-04:30 PM,,ho0215,False,True,,,,anok0215
224,"915 Lake Ave, Detroit Lakes, MN 56501",,08:00 AM-04:30 PM,,ho0224,False,True,,,,beck0224
233,"701 Minnesota Ave NW Ste 220, Bemidji, MN 56601",,08:00 AM-04:30 PM,,ho0233,False,True,,,,belt0233
242,"531 Dewey St, Foley, MN 56329",,08:00 AM-04:30 PM,,ho0242,False,True,,,,bent0242
251,"20 2nd St SE Ste 103, Ortonville, MN 56278",,08:00 AM-04:00 PM,,ho0251,False,True,,,,bigs0251
260,"410 S 5th St, Mankato, MN 56002",,08:00 AM-04:30 PM,,ho0260,False,True,,,,blue0260
269,"14 South State St, New Ulm, MN 56073",,08:00 AM-04:30 PM,,ho0269,False,True,,,,brow0269
278,"301 Walnut Ave, Carlton, MN 55718",,08:00 AM-04:00 PM,,ho0278,False,True,,,,carl0278
287,"600 E Fourth St, Chaska, MN 55318",,08:00 AM-04:30 PM,,ho0287,False,True,,,,carv0287
296,"330 2nd St NW, Cass Lake, MN 56601",,07:30 AM-03:30 PM,,ho0296,False,True,,,,cass0296
305,"10790 Squaw Pt Rd, East Gull Lake, MN 56401",,08:00 AM-04:00 PM,,ho0305,False,True,,,,cass0305
320,"8583 Interlachen Rd, Lake Shore, MN 56468",,08:00 AM-04:30 PM,,ho0320,False,True,,,,cass0320
329,"306 Elm Ave W, Pillager, MN 56473",,08:00 AM-04:00 PM,,ho0329,False,True,,,,cass0329
338,"106 Spruce St NW, Remer, MN 56672",,07:00 AM-03:30 PM,,ho0338,False,True,,,,cass0338
347,"12956 24th Ave SW, Pillager, MN 56473",,08:30 AM-12:30 PM,,ho0347,False,True,,,,cass0347
363,"303 Minnesota Ave W, Walker, MN 56484",,08:00 AM-04:30 PM,,ho0363,False,True,,,,cass0363
372,"629 N 11th St, Montevideo, MN 56265",,08:00 AM-04:30 PM,,ho0372,False,True,,,,chip0372
381,"313 N Main St Rm 271, Center City, MN 55012",,08:00 AM-04:30 PM,,ho0381,False,True,,,,chis0381
390,"807 N 11th St, Moorhead, MN 56560",,08:00 AM-04:30 PM,,ho0390,False,True,,,,clay0390
399,"213 Main Ave N Dept 202, Bagley, MN 56621",,08:00 AM-04:30 PM,,ho0399,False,True,,,,clea0399
408,"411 W 2nd St, Grand Marais, MN 55604",,08:00 AM-04:00 PM,,ho0408,False,True,,,,cook0408
417,"900 3rd Ave, Windom, MN 56101",,08:00 AM-04:30 PM,,ho0417,False,True,,,,cott0417
426,"326 Laurel St Ste 22, Brainerd, MN 56401",,08:00 AM-05:00 PM,,ho0426,False,True,,,,crow0426
435,"7100 147th St W, Apple Valley, MN 55124",,08:00 AM-04:30 PM,,ho0435,False,True,,,,dako0435
444,"100 Civic Center, Burnsville, MN 55337",,08:00 AM-04:30 PM,,ho0444,False,True,,,,dako0444
453,"1590 Hwy 55 Ste 2300, Hastings, MN 55033",,08:00 AM-04:30 PM,,ho0453,False,True,,,,dako0453
462,"1 Mendota Rd, West St Paul, MN 55118",,08:00 AM-04:30 PM,,ho0462,False,True,,,,dako0462
471,"14955 Galaxie Ave, Apple Valley, MN 55124",,08:00 AM-04:30 PM,,ho0471,False,True,,,,dako0471
504,"3830 Pilot Knob Rd, Eagan, MN 55122",,08:00 AM-04:30 PM,,ho0504,False,True,,,,dako0504
