name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
,"209 2nd St NW, Aitkin, MN 56431",Rm 202 ,08:00 AM-04:30 PM,,ho40579773,false,true,,,,poll83973521
Andover City Hall,"1685 Crosstown Blvd NW, Andover, MN 55304", ,08:00 AM-04:30 PM,,ho73555347,false,true,,,,poll34198844
Anoka City Hall,"2015 First Ave North, Anoka, MN 55303", ,08:00 AM-04:30 PM,,ho70705894,false,true,,,,poll34654616
Anoka County Elections Office,"325 E Main St, Anoka, MN 55303",Ste W130 ,08:00 AM-04:30 PM,,ho92424730,false,true,,,,poll82088472
Bethel - Sandhill Center,"23820 Dewey St, Bethel, MN 55005", ,07:25 AM-02:25 PM,,ho70073272,false,true,,,,poll56853424
Blaine City Hall,"10801 Town Square Dr, Blaine, MN 55449", ,08:00 AM-04:30 PM,,ho81228363,false,true,,,,poll97959122
Centerville City Hall,"1880 Main St, Centerville, MN 55038", ,07:30 AM-04:00 PM,,ho44489920,false,true,,,,poll24536731
Circle Pines City Hall,"200 Civic Heights Cir, Circle Pines, MN 55014", ,08:00 AM-04:30 PM,,ho5234250,false,true,,,,poll15020540
Columbia Heights City Hall,"590 40th Ave NE, Columbia Heights, MN 55421", ,08:00 AM-04:30 PM,,ho7307315,false,true,,,,poll33932882
Columbus City Hall,"16319 Kettle River Blvd, Columbus, MN 55025", ,08:00 AM-04:00 PM,,ho32517885,false,true,,,,poll40666618
Coon Rapids City Hall,"11155 Robinson Dr, Coon Rapids, MN 55433", ,08:00 AM-04:30 PM,,ho79944931,false,true,,,,poll70294647
East Bethel City Hall,"2241 221st Ave NE, East Bethel, MN 55011", ,08:00 AM-04:00 PM,,ho28009172,false,true,,,,poll59649142
Fridley Municipal Center,"6431 University Ave NE, Fridley, MN 55432", ,08:00 AM-04:30 PM,,ho89351416,false,true,,,,poll39316870
Ham Lake City Hall,"15544 Central Ave NE, Ham Lake, MN 55304", ,07:00 AM-12:00 PM,,ho12440546,false,true,,,,poll3448826
Hilltop City Hall,"4555 Jackson St, Hilltop, MN 55421", ,08:00 AM-04:30 PM,,ho8164291,false,true,,,,poll41027602
Lexington Offices,"9180 Lexington Ave, Lexington, MN 55014", ,08:00 AM-04:30 PM,,ho59198031,false,true,,,,poll28832243
Lino Lakes City Hall,"600 Town Center Pkwy, Lino Lakes, MN 55014", ,08:00 AM-04:30 PM,,ho18860467,false,true,,,,poll74502090
Linwood Town Hall,"22817 Typo Creek Dr NE, Stacy, MN 55079", ,08:00 AM-04:30 PM,,ho93026825,false,true,,,,poll1411991
Nowthen City Offices,"8188 199th Ave NW, Nowthen, MN 55330", ,08:00 AM-04:30 PM,,ho40495028,false,true,,,,poll25140605
Oak Grove City Hall,"19900 Nightingale St NW, Oak Grove, MN 55011", ,08:00 AM-04:30 PM,,ho89330809,false,true,,,,poll34240616
Ramsey Municipal Center / City Hall,"7550 Sunwood Dr NW, Ramsey, MN 55303", ,08:00 AM-05:00 PM,,ho20225750,false,true,,,,poll84373758
Spring Lake Park City Offices,"1301 81st Ave NE, Spring Lake Park, MN 55432", ,08:00 AM-04:30 PM,,ho90689680,false,true,,,,poll87456480
St. Francis City Hall,"23340 Cree St NW, St. Francis, MN 55070", ,07:00 AM-05:30 PM,,ho3174074,false,true,,,,poll32422762
Becker County Courthouse,"915 Lake Ave, Detroit Lakes, MN 56501", ,08:00 AM-04:30 PM,,ho43657871,false,true,,,,poll43825063
Beltrami County Administration Building,"701 Minnesota Ave NW, Bemidji, MN 56601",Ste 220 ,08:00 AM-04:30 PM,,ho19155133,false,true,,,,poll1026642
Benton County Administration Building,"531 Dewey St, Foley, MN 56329", ,08:00 AM-04:30 PM,,ho25372659,false,true,,,,poll4518139
Big Stone County Courthouse,"20 2nd St SE, Ortonville, MN 56278",Ste 103 ,08:00 AM-04:00 PM,,ho81293649,false,true,,,,poll68915941
Blue Earth County Government Center,"410 S 5th St, Mankato, MN 56002", ,08:00 AM-05:00 PM,,ho79013503,false,true,,,,poll99698033
Brown County Courthouse,"14 South State St, New Ulm, MN 56073", ,08:00 AM-04:30 PM,,ho95182637,false,true,,,,poll36994080
Carlton County Courthouse,"301 Walnut Ave, Carlton, MN 55718", ,08:00 AM-04:00 PM,,ho49199136,false,true,,,,poll90455853
Chanhassen Service Center,"7808 Kerber Blvd, Chanhassen, MN 55317", ,08:30 AM-05:00 PM,,ho32740939,false,true,,,,poll91468542
Government Center Administration Building,"600 E Fourth St, Chaska, MN 55318", ,08:00 AM-04:30 PM,,ho67041833,false,true,,,,poll84036541
Cass County Courthouse,"303 Minnesota Ave W, Walker, MN 56484", ,08:00 AM-04:30 PM,,ho39769575,false,true,,,,poll47531787
Cass Lake City Hall,"330 2nd St NW, Cass Lake, MN 56601", ,07:30 AM-03:30 PM,,ho25652589,false,true,,,,poll67855797
East Gull Lake City Hall,"10790 Squaw Pt Rd, East Gull Lake, MN 56401", ,08:00 AM-04:00 PM,,ho76810855,false,true,,,,poll965443
Lake Shore City Hall,"8583 Interlachen Rd, Lake Shore, MN 56468", ,08:00 AM-04:30 PM,,ho32759242,false,true,,,,poll17543699
Pillager City Hall*,"306 Elm Ave W, Pillager, MN 56473", ,08:00 AM-04:00 PM,,ho45275310,false,true,,,,poll29747187
Remer City Hall*,"106 Spruce St NW, Remer, MN 56672", ,07:00 AM-03:30 PM,,ho62109684,false,true,,,,poll68719174
Sylvan Township,"12956 24th Ave SW, Pillager, MN 56473", ,08:30 AM-12:30 PM,,ho2595406,false,true,,,,poll6589385
Chippewa County Courthouse,"629 N 11th St, Montevideo, MN 56265", ,08:00 AM-04:30 PM,,ho27151552,false,true,,,,poll30406047
Chisago County Courthouse,"313 N Main St, Center City, MN 55012",Rm 271 ,08:00 AM-04:30 PM,,ho35023639,false,true,,,,poll24250122
Clay County Courthouse,"807 N 11th St, Moorhead, MN 56560", ,08:00 AM-04:30 PM,,ho1443414,false,true,,,,poll98819311
Clearwater County Courthouse,"213 Main Ave N, Bagley, MN 56621",Dept 202 ,08:00 AM-04:30 PM,,ho66230139,false,true,,,,poll21815008
Cook County Courthouse,"411 W 2nd St, Grand Marais, MN 55604", ,08:00 AM-04:00 PM,,ho43738458,false,true,,,,poll25384700
Cottonwood County Courthouse,"900 3rd Ave, Windom, MN 56101", ,08:00 AM-04:30 PM,,ho3005540,false,true,,,,poll67583879
Historic Courthouse,"326 Laurel St, Brainerd, MN 56401",Ste 22 ,08:00 AM-05:00 PM,,ho50560323,false,true,,,,poll41956677
Administration Center,"1590 Highway 55, Hastings, MN 55033",Ste 2300 ,08:00 AM-04:30 PM,,ho56553194,false,true,,,,poll63374282
Apple Valley Municipal Center,"7100 147th St W, Apple Valley, MN 55124", ,08:00 AM-04:30 PM,,ho69603365,false,true,,,,poll693470
Burnsville City Hall,"100 Civic Center, Burnsville, MN 55337", ,08:00 AM-04:30 PM,,ho21948784,false,true,,,,poll89364246
City Clerk's Office,"801 Washington St, Northfield, MN 55057", ,08:00 AM-05:00 PM,,ho35980089,false,true,,,,poll64068567
Dakota County Northern Service Center,"1 Mendota Rd, West St Paul, MN 55118", ,08:00 AM-12:00 PM,,ho57866660,false,true,,,,poll7327913
