election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
ea0001,,,ocd-division/country:us/state:me/place:addison,addison_town0001,,st19,,,loc0001
ea0002,,,ocd-division/country:us/state:me/place:addison,addison_town0002,,st19,,,loc0002
ea0003,,,ocd-division/country:us/state:me/place:addison,addison_town0003,,st19,,,loc0003
ea0004,,,ocd-division/country:us/state:me/place:amity,amity_town0004,,st19,,,loc0004
ea0005,,,ocd-division/country:us/state:me/place:arrowsic,arrowsic_town0005,,st19,,,loc0005
ea0006,,,ocd-division/country:us/state:me/place:ashland,ashland_town0006,,st19,,,loc0006
ea0007,,,ocd-division/country:us/state:me/place:aurora,aurora_town0007,,st19,,,loc0007
ea0008,,,ocd-division/country:us/state:me/place:baileyville,baileyville_town0008,,st19,,,loc0008
ea0009,,,ocd-division/country:us/state:me/place:bingham,bingham_town0009,,st19,,,loc0009
ea0010,,,ocd-division/country:us/state:me/place:blue_hill,blue_hill_town0010,,st19,,,loc0010
ea0011,,,ocd-division/country:us/state:me/place:boothbay_harbor,boothbay_harbor_town0011,,st19,,,loc0011
ea0012,,,ocd-division/country:us/state:me/place:brooklin,brooklin_town0012,,st19,,,loc0012
ea0013,,,ocd-division/country:us/state:me/place:buxton,buxton_town0013,,st19,,,loc0013
ea0014,,,ocd-division/country:us/state:me/place:casco,casco_town0014,,st19,,,loc0014
ea0015,,,ocd-division/country:us/state:me/place:castle_hill,castle_hill_town0015,,st19,,,loc0015
ea0016,,,ocd-division/country:us/state:me/place:chapman,chapman_town0016,,st19,,,loc0016
ea0017,,,ocd-division/country:us/state:me/place:corinth,corinth_town0017,,st19,,,loc0017
ea0018,,,ocd-division/country:us/state:me/place:crawford,crawford_town0018,,st19,,,loc0018
ea0019,,,ocd-division/country:us/state:me/place:dover-foxcroft,dover-foxcroft_town0019,,st19,,,loc0019
ea0020,,,ocd-division/country:us/state:me/place:eddington,eddington_town0020,,st19,,,loc0020
ea0021,,,ocd-division/country:us/state:me/place:fayette,fayette_town0021,,st19,,,loc0021
ea0022,,,ocd-division/country:us/state:me/place:fort_fairfield,fort_fairfield_town0022,,st19,,,loc0022
ea0023,,,ocd-division/country:us/state:me/place:franklin,franklin_town0023,,st19,,,loc0023
ea0024,,,ocd-division/country:us/state:me/place:frye_island,frye_island_town0024,,st19,,,loc0024
ea0025,,,ocd-division/country:us/state:me/place:fryeburg,fryeburg_town0025,,st19,,,loc0025
ea0026,,,ocd-division/country:us/state:me/place:garfield,garfield_plantation0026,,st19,,,loc0026
ea0027,,,ocd-division/country:us/state:me/place:garland,garland_town0027,,st19,,,loc0027
ea0028,,,ocd-division/country:us/state:me/place:gray,gray_town0028,,st19,,,loc0028
ea0029,,,ocd-division/country:us/state:me/place:greene,greene_town0029,,st19,,,loc0029
ea0030,,,ocd-division/country:us/state:me/place:greenville,greenville_town0030,,st19,,,loc0030
ea0031,,,ocd-division/country:us/state:me/place:hermon,hermon_town0031,,st19,,,loc0031
ea0032,,,ocd-division/country:us/state:me/place:hollis,hollis_town0032,,st19,,,loc0032
ea0033,,,ocd-division/country:us/state:me/place:hope,hope_town0033,,st19,,,loc0033
ea0034,,,ocd-division/country:us/state:me/place:howland,howland_town0034,,st19,,,loc0034
ea0035,,,ocd-division/country:us/state:me/place:jefferson,jefferson_town0035,,st19,,,loc0035
ea0036,,,ocd-division/country:us/state:me/place:jonesboro,jonesboro_town0036,,st19,,,loc0036
ea0037,,,ocd-division/country:us/state:me/place:kenduskeag,kenduskeag_town0037,,st19,,,loc0037
ea0038,,,ocd-division/country:us/state:me/place:kingman,kingman_township0038,,st19,,,loc0038
ea0039,,,ocd-division/country:us/state:me/place:knox,knox_town0039,,st19,,,loc0039
ea0040,,,ocd-division/country:us/state:me/place:lebanon,lebanon_town0040,,st19,,,loc0040
ea0041,,,ocd-division/country:us/state:me/place:levant,levant_town0041,,st19,,,loc0041
ea0042,,,ocd-division/country:us/state:me/place:limington,limington_town0042,,st19,,,loc0042
ea0043,,,ocd-division/country:us/state:me/place:lincolnville,lincolnville_town0043,,st19,,,loc0043
ea0044,,,ocd-division/country:us/state:me/place:livermore,livermore_town0044,,st19,,,loc0044
ea0045,,,ocd-division/country:us/state:me/place:livermore_falls,livermore_falls_town0045,,st19,,,loc0045
ea0046,,,ocd-division/country:us/state:me/place:lovell,lovell_town0046,,st19,,,loc0046
ea0047,,,ocd-division/country:us/state:me/place:lyman,lyman_town0047,,st19,,,loc0047
ea0048,,,ocd-division/country:us/state:me/place:madawaska_lake,madawaska_lake_township0048,,st19,,,loc0048
ea0049,,,ocd-division/country:us/state:me/place:madison,madison_town0049,,st19,,,loc0049
ea0050,,,ocd-division/country:us/state:me/place:mapleton,mapleton_town0050,,st19,,,loc0050
ea0051,,,ocd-division/country:us/state:me/place:mars_hill,mars_hill_town0051,,st19,,,loc0051
ea0052,,,ocd-division/country:us/state:me/place:meddybemps,meddybemps_town0052,,st19,,,loc0052
ea0053,,,ocd-division/country:us/state:me/place:medway,medway_town0053,,st19,,,loc0053
ea0054,,,ocd-division/country:us/state:me/place:minot,minot_town0054,,st19,,,loc0054
ea0055,,,ocd-division/country:us/state:me/place:monmouth,monmouth_town0055,,st19,,,loc0055
ea0056,,,ocd-division/country:us/state:me/place:moose_river,moose_river_town0056,,st19,,,loc0056
ea0057,,,ocd-division/country:us/state:me/place:morrill,morrill_town0057,,st19,,,loc0057
ea0058,,,ocd-division/country:us/state:me/place:moscow,moscow_town0058,,st19,,,loc0058
ea0059,,,ocd-division/country:us/state:me/place:naples,naples_town0059,,st19,,,loc0059
ea0060,,,ocd-division/country:us/state:me/place:nashville,nashville_plantation0060,,st19,,,loc0060
ea0061,,,ocd-division/country:us/state:me/place:new_vineyard,new_vineyard_town0061,,st19,,,loc0061
ea0062,,,ocd-division/country:us/state:me/place:newry,newry_town0062,,st19,,,loc0062
ea0063,,,ocd-division/country:us/state:me/place:norridgewock,norridgewock_town0063,,st19,,,loc0063
ea0064,,,ocd-division/country:us/state:me/place:orient,orient_town0064,,st19,,,loc0064
ea0065,,,ocd-division/country:us/state:me/place:orono,orono_town0065,,st19,,,loc0065
ea0066,,,ocd-division/country:us/state:me/place:otis,otis_town0066,,st19,,,loc0066
ea0067,,,ocd-division/country:us/state:me/place:owls_head,owls_head_town0067,,st19,,,loc0067
ea0068,,,ocd-division/country:us/state:me/place:oxford,oxford_town0068,,st19,,,loc0068
ea0069,,,ocd-division/country:us/state:me/place:phippsburg,phippsburg_town0069,,st19,,,loc0069
ea0070,,,ocd-division/country:us/state:me/place:poland,poland_town0070,,st19,,,loc0070
ea0071,,,ocd-division/country:us/state:me/place:porter,porter_town0071,,st19,,,loc0071
ea0072,,,ocd-division/country:us/state:me/place:prentiss,prentiss_township0072,,st19,,,loc0072
ea0073,,,ocd-division/country:us/state:me/place:randolph,randolph_town0073,,st19,,,loc0073
ea0074,,,ocd-division/country:us/state:me/place:rockland,rockland_city0074,,st19,,,loc0074
ea0075,,,ocd-division/country:us/state:me/place:rumford,rumford_town0075,,st19,,,loc0075
ea0076,,,ocd-division/country:us/state:me/place:scarborough,scarborough_town0076,,st19,,,loc0076
ea0077,,,ocd-division/country:us/state:me/place:shapleigh,shapleigh_town0077,,st19,,,loc0077
ea0078,,,ocd-division/country:us/state:me/place:skowhegan,skowhegan_town0078,,st19,,,loc0078
ea0079,,,ocd-division/country:us/state:me/place:smyrna,smyrna_town0079,,st19,,,loc0079
ea0080,,,ocd-division/country:us/state:me/place:sorrento,sorrento_town0080,,st19,,,loc0080
ea0081,,,ocd-division/country:us/state:me/place:southport,southport_town0081,,st19,,,loc0081
ea0082,,,ocd-division/country:us/state:me/place:stetson,stetson_town0082,,st19,,,loc0082
ea0083,,,ocd-division/country:us/state:me/place:stockton_springs,stockton_springs_town0083,,st19,,,loc0083
ea0084,,,ocd-division/country:us/state:me/place:sullivan,sullivan_town0084,,st19,,,loc0084
ea0085,,,ocd-division/country:us/state:me/place:the_forks,the_forks_plantation0085,,st19,,,loc0085
ea0086,,,ocd-division/country:us/state:me/place:tremont,tremont_town0086,,st19,,,loc0086
ea0087,,,ocd-division/country:us/state:me/place:turner,turner_town0087,,st19,,,loc0087
ea0088,,,ocd-division/country:us/state:me/place:union,union_town0088,,st19,,,loc0088
ea0089,,,ocd-division/country:us/state:me/place:vanceboro,vanceboro_town0089,,st19,,,loc0089
