office_name,official_title,types,ocd_division,division_description,phone,email,street,city,state,zip_code,start_time,end_time,start_date,end_date,notes,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Beaverhead County,County Election Administrator,":election,:registration",ocd-division/country:us/state:mt/county:beaverhead,Beaverhead County MT,(406) 683-3720,dscott@beaverheadcounty.org,2 S Pacific St No 3,Dillon,MT,59725,08:00:00 - 06:00,17:00:00 - 06:00,10/11/16,10/14/16,,1,"2 S Pacific St No 3, Dillon, MT 59725",,08:00 AM-05:00 PM,,ho13910202,false,true,,,,poll77635771
Beaverhead County,County Election Administrator,":election,:registration",ocd-division/country:us/state:mt/county:beaverhead,Beaverhead County MT,(406) 683-3720,dscott@beaverheadcounty.org,2 S Pacific St No 3,Dillon,MT,59725,08:00:00 - 06:00,17:00:00 - 06:00,10/17/16,10/21/16,,2,"2 S Pacific St No 3, Dillon, MT 59725",,08:00 AM-05:00 PM,,ho13910202,false,true,,,,poll77635771
Beaverhead County,County Election Administrator,":election,:registration",ocd-division/country:us/state:mt/county:beaverhead,Beaverhead County MT,(406) 683-3720,dscott@beaverheadcounty.org,2 S Pacific St No 3,Dillon,MT,59725,08:00:00 - 06:00,17:00:00 - 06:00,10/24/16,10/28/16,,3,"2 S Pacific St No 3, Dillon, MT 59725",,08:00 AM-05:00 PM,,ho13910202,false,true,,,,poll77635771
Beaverhead County,County Election Administrator,":election,:registration",ocd-division/country:us/state:mt/county:beaverhead,Beaverhead County MT,(406) 683-3720,dscott@beaverheadcounty.org,2 S Pacific St No 3,Dillon,MT,59725,08:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/4/16,,4,"2 S Pacific St No 3, Dillon, MT 59725",,08:00 AM-05:00 PM,,ho13910202,false,true,,,,poll77635771
Beaverhead County,County Election Administrator,":election,:registration",ocd-division/country:us/state:mt/county:beaverhead,Beaverhead County MT,(406) 683-3720,dscott@beaverheadcounty.org,2 S Pacific St No 3,Dillon,MT,59725,08:00:00 - 07:00,12:00:00 - 07:00,11/7/16,11/7/16,,5,"2 S Pacific St No 3, Dillon, MT 59725",,08:00 AM-12:00 PM,,ho13910202,false,true,,,,poll77635771
Big Horn County,County Election Administrator,":election,:registration",ocd-division/country:us/state:mt/county:big_horn,Big Horn County MT,(406) 665-9704,dbeardontwalk@bighorncountymt.gov,121 3rd St W Room 203,Hardin,MT,59034,08:00:00 - 06:00,17:00:00 - 06:00,10/11/16,10/14/16,,6,"121 3rd St W Room 203, Hardin, MT 59034",,08:00 AM-05:00 PM,,ho15919580,false,true,,,,poll84282476
Big Horn County,County Election Administrator,":election,:registration",ocd-division/country:us/state:mt/county:big_horn,Big Horn County MT,(406) 665-9704,dbeardontwalk@bighorncountymt.gov,121 3rd St W Room 203,Hardin,MT,59034,08:00:00 - 06:00,17:00:00 - 06:00,10/17/16,10/21/16,,7,"121 3rd St W Room 203, Hardin, MT 59034",,08:00 AM-05:00 PM,,ho15919580,false,true,,,,poll84282476
Big Horn County,County Election Administrator,":election,:registration",ocd-division/country:us/state:mt/county:big_horn,Big Horn County MT,(406) 665-9704,dbeardontwalk@bighorncountymt.gov,121 3rd St W Room 203,Hardin,MT,59034,08:00:00 - 06:00,17:00:00 - 06:00,10/24/16,10/28/16,,8,"121 3rd St W Room 203, Hardin, MT 59034",,08:00 AM-05:00 PM,,ho15919580,false,true,,,,poll84282476
Big Horn County,County Election Administrator,":election,:registration",ocd-division/country:us/state:mt/county:big_horn,Big Horn County MT,(406) 665-9704,dbeardontwalk@bighorncountymt.gov,121 3rd St W Room 203,Hardin,MT,59034,08:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/4/16,,9,"121 3rd St W Room 203, Hardin, MT 59034",,08:00 AM-05:00 PM,,ho15919580,false,true,,,,poll84282476
Big Horn County,County Election Administrator,":election,:registration",ocd-division/country:us/state:mt/county:big_horn,Big Horn County MT,(406) 665-9704,dbeardontwalk@bighorncountymt.gov,121 3rd St W Room 203,Hardin,MT,59034,08:00:00 - 07:00,12:00:00 - 07:00,11/7/16,11/7/16,,10,"121 3rd St W Room 203, Hardin, MT 59034",,08:00 AM-12:00 PM,,ho15919580,false,true,,,,poll84282476
