address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"885 East Musser Street, Suite 1025 Carson City, NV 89701",,10:00 AM - 06:00 PM,,ho46461156,false,true,,,,poll28793760
"155 N Taylor St, Suite 110, Chamber Commissions Fallon, NV 89406",,10:00 AM - 06:00 PM,,ho63025705,false,true,,,,poll21751766
"2840 S. Needles Hwy., Laughlin, NV 89029",,08:00 AM - 06:00 PM,,ho56820667,false,true,,,,poll27973630
"200 Michael Wendell Way Searchlight, NV 89046",,10:00 AM - 03:00 PM,,ho925388,false,true,,,,poll93492415
"7075 West Ann Road Las Vegas, NV 89130",,09:00 AM - 07:00 PM,,ho95855781,false,true,,,,poll4824245
"300 Racetrack Road Henderson, NV 89015",,08:00 AM - 06:00 PM,,ho98871092,false,true,,,,poll44988682
"7394 Aliante Parkway North Las Vegas, NV 89084",,08:00 AM - 06:00 PM,,ho43961553,false,true,,,,poll5529590
"3150 N. Buffalo Dr. Las Vegas, NV 89128",,10:00 AM - 06:00 PM,,ho7444421,false,true,,,,poll36447085
"4421 E BONANZA RD. Las Vegas, NV 89110",,09:00 AM - 07:00 PM,,ho4711274,false,true,,,,poll32044065
"8350 W Cheyenne Ave Las Vegas, NV 89129",,08:00 AM - 06:00 PM,,ho28089709,false,true,,,,poll75084267
"9600 W Sahara Ave Las Vegas, NV 89117",,11:00 AM - 07:00 PM,,ho45010131,false,true,,,,poll7770937
"10250 West Charleston Blvd Las Vegas, NV 89135",,08:00 AM - 06:00 PM,,ho39583223,false,true,,,,poll52928043
"4055 S Durango Dr Las Vegas, NV 89147",,08:00 AM - 06:00 PM,,ho37989089,false,true,,,,poll67306187
"1001 S. Rainbow Blvd Las Vegas, NV 89145",,09:00 AM - 07:00 PM,,ho9399988,false,true,,,,poll78192091
"7151 West Craig Road Las Vegas, NV 89129",,09:00 AM - 07:00 PM,,ho5681749,false,true,,,,poll49390661
"280 S Green Valley Pkwy Henderson, NV 89012",,10:00 AM - 08:00 PM,,ho70396667,false,true,,,,poll28524216
"6450 Sky Pointe Dr Las Vegas, NV 89131",,09:00 AM - 07:00 PM,,ho64745358,false,true,,,,poll58586132
"8410 Farm Road Las Vegas, NV 89131",,09:00 AM - 07:00 PM,,ho37760,false,true,,,,poll33539457
"190 N Boulder Hwy (E Lake Mead Dr) Henderson, NV 89015",,09:00 AM - 07:00 PM,,ho13160484,false,true,,,,poll4561076
"4025 Allen Ln North Las Vegas, NV 89032",,09:00 AM - 07:00 PM,,ho71253554,false,true,,,,poll67420957
"8275 Spring Mountain Rd Las Vegas, NV 89117",,09:00 AM - 07:00 PM,,ho43431102,false,true,,,,poll47930757
"4850 West Craig Road Las Vegas, NV 89032",,08:00 AM - 06:00 PM,,ho65575941,false,true,,,,poll70090729
"2400 W Deer Springs Way North Las Vegas, NV 89084",,10:30 AM - 07:30 PM,,ho96976796,false,true,,,,poll10598372
"2050 Bonnie Lane  Las Vegas, NV 89156",,08:00 AM - 06:00 PM,,ho23048390,false,true,,,,poll9533310
"6200 W Lone Mountain Rd Las Vegas, NV 89130",,09:00 AM - 07:00 PM,,ho97087340,false,true,,,,poll63229758
"3200 East Cheyenne Ave North Las Vegas, NV 89030",,08:00 AM - 06:00 PM,,ho2023489,false,true,,,,poll85170761
"Dr. William U. Pearson Comm. Ctr. 1625 W. Carey Ave. @ M.L. King Blvd Las Vegas, NV 89030",,09:00 AM - 07:00 PM,,ho36255927,false,true,,,,poll59567026
"300 S. Racetrack Rd Henderson, NV 89015",,08:00 AM - 06:00 PM,,ho21560825,false,true,,,,poll49380503
"6670 W Cheyenne Ave  Las Vegas, NV 89108",,09:00 AM - 07:00 PM,,ho8150154,false,true,,,,poll22433798
