office_name,ocd_division,description,homepage,phone,email,street,dirs,city,state,zip,start_time,end_time,start_date,end_date,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Carson City County,ocd-division/country:us/state:nv/county:carson_city,Carson City County NV,http://www.carson.org/index.aspx?page=90,(775) 887-2087,elections@carson.org,"885 East Musser Street, Suite 1025",,Carson City,NV,89701-4475,10:00:00 - 07:00,18:00:00 - 07:00,10/22/16,10/22/16,1,"885 East Musser Street, Suite 1025, Carson City, NV 89701",,10:00 AM - 06:00 PM,,ho49486490,false,true,,,,poll40344412
Carson City County,ocd-division/country:us/state:nv/county:carson_city,Carson City County NV,http://www.carson.org/index.aspx?page=90,(775) 887-2087,elections@carson.org,"885 East Musser Street, Suite 1025",,Carson City,NV,89701-4475,08:00:00 - 07:00,18:00:00 - 07:00,10/24/16,10/28/16,2,"885 East Musser Street, Suite 1025, Carson City, NV 89701",,08:00 AM - 06:00 PM,,ho49486490,false,true,,,,poll40344412
Carson City County,ocd-division/country:us/state:nv/county:carson_city,Carson City County NV,http://www.carson.org/index.aspx?page=90,(775) 887-2087,elections@carson.org,"885 East Musser Street, Suite 1025",,Carson City,NV,89701-4475,10:00:00 - 07:00,14:00:00 - 07:00,10/29/16,10/29/16,3,"885 East Musser Street, Suite 1025, Carson City, NV 89701",,10:00 AM - 02:00 PM,,ho49486490,false,true,,,,poll40344412
Carson City County,ocd-division/country:us/state:nv/county:carson_city,Carson City County NV,http://www.carson.org/index.aspx?page=90,(775) 887-2087,elections@carson.org,"885 East Musser Street, Suite 1025",,Carson City,NV,89701-4475,08:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/4/16,4,"885 East Musser Street, Suite 1025, Carson City, NV 89701",,08:00 AM - 06:00 PM,,ho49486490,false,true,,,,poll40344412
Churchill County,ocd-division/country:us/state:nv/county:churchill,Churchill County NV,http://nv-churchillcounty.civicplus.com/index.aspx?nid=114,(775) 423-6028,clerktreas@churchillcounty.org,"155 N Taylor St, Suite 110, Chamber Commissions",,Fallon,NV,89406-2748,10:00:00 - 07:00,18:00:00 - 07:00,10/22/16,10/22/16,5,"155 N Taylor St, Suite 110, Chamber Commissions, Fallon, NV 89406",,10:00 AM - 06:00 PM,,ho28109477,false,true,,,,poll84047379
Churchill County,ocd-division/country:us/state:nv/county:churchill,Churchill County NV,http://nv-churchillcounty.civicplus.com/index.aspx?nid=114,(775) 423-6028,clerktreas@churchillcounty.org,"155 N Taylor St, Suite 110, Chamber Commissions",,Fallon,NV,89406-2748,08:00:00 - 07:00,18:00:00 - 07:00,10/24/16,10/28/16,6,"155 N Taylor St, Suite 110, Chamber Commissions, Fallon, NV 89406",,08:00 AM - 06:00 PM,,ho28109477,false,true,,,,poll84047379
Churchill County,ocd-division/country:us/state:nv/county:churchill,Churchill County NV,http://nv-churchillcounty.civicplus.com/index.aspx?nid=114,(775) 423-6028,clerktreas@churchillcounty.org,"155 N Taylor St, Suite 110, Chamber Commissions",,Fallon,NV,89406-2748,10:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/29/16,7,"155 N Taylor St, Suite 110, Chamber Commissions, Fallon, NV 89406",,10:00 AM - 06:00 PM,,ho28109477,false,true,,,,poll84047379
Churchill County,ocd-division/country:us/state:nv/county:churchill,Churchill County NV,http://nv-churchillcounty.civicplus.com/index.aspx?nid=114,(775) 423-6028,clerktreas@churchillcounty.org,"155 N Taylor St, Suite 110, Chamber Commissions",,Fallon,NV,89406-2748,08:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/4/16,8,"155 N Taylor St, Suite 110, Chamber Commissions, Fallon, NV 89406",,08:00 AM - 06:00 PM,,ho28109477,false,true,,,,poll84047379
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"2840 S. Needles Hwy.,",,Laughlin,NV,89029,08:00:00 - 07:00,18:00:00 - 07:00,10/22/16,10/22/16,9,"2840 S. Needles Hwy., Laughlin, NV 89029",,08:00 AM - 06:00 PM,,ho56820667,false,true,,,,poll27973630
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,200 Michael Wendell Way,,Searchlight,NV,89046,10:00:00 - 07:00,15:00:00 - 07:00,10/22/16,10/22/16,10,"200 Michael Wendell Way, Searchlight, NV 89046",,10:00 AM - 03:00 PM,,ho69883284,false,true,,,,poll28278641
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,7075 West Ann Road,,Las Vegas,NV,89130,09:00:00 - 07:00,19:00:00 - 07:00,10/23/16,10/24/16,11,"7075 West Ann Road, Las Vegas, NV 89130",,09:00 AM - 07:00 PM,,ho27240723,false,true,,,,poll95018499
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,300 Racetrack Road,,Henderson,NV,89015,08:00:00 - 07:00,18:00:00 - 07:00,10/25/16,10/26/16,12,"300 Racetrack Road, Henderson, NV 89015",,08:00 AM - 06:00 PM,,ho13894185,false,true,,,,poll51593468
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,7394 Aliante Parkway,,North Las Vegas,NV,89084,08:00:00 - 07:00,18:00:00 - 07:00,10/27/16,10/29/16,13,"7394 Aliante Parkway, North Las Vegas, NV 89084",,08:00 AM - 06:00 PM,,ho32151246,false,true,,,,poll75712545
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,3150 N. Buffalo Dr.,,Las Vegas,NV,89128,10:00:00 - 07:00,18:00:00 - 07:00,10/30/16,10/30/16,14,"3150 N. Buffalo Dr., Las Vegas, NV 89128",,10:00 AM - 06:00 PM,,ho44766907,false,true,,,,poll8809940
