start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
10:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho46461156,sch0001
08:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-28,ho46461156,sch0002
10:00:00-07:00,14:00:00-07:00,,,,2016-10-29,2016-10-29,ho46461156,sch0003
08:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-04,ho46461156,sch0004
10:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho63025705,sch0005
08:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-28,ho63025705,sch0006
10:00:00-07:00,18:00:00-07:00,,,,2016-10-29,2016-10-29,ho63025705,sch0007
08:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-04,ho63025705,sch0008
08:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho56820667,sch0009
10:00:00-07:00,15:00:00-07:00,,,,2016-10-22,2016-10-22,ho925388,sch0010
09:00:00-07:00,19:00:00-07:00,,,,2016-10-23,2016-10-24,ho95855781,sch0011
08:00:00-07:00,18:00:00-07:00,,,,2016-10-25,2016-10-26,ho98871092,sch0012
08:00:00-07:00,18:00:00-07:00,,,,2016-10-27,2016-10-29,ho43961553,sch0013
10:00:00-07:00,18:00:00-07:00,,,,2016-10-30,2016-10-30,ho7444421,sch0014
10:00:00-07:00,19:00:00-07:00,,,,2016-10-31,2016-11-01,ho7444421,sch0015
09:00:00-07:00,19:00:00-07:00,,,,2016-11-02,2016-11-03,ho4711274,sch0016
09:00:00-07:00,20:00:00-07:00,,,,2016-11-04,2016-11-04,ho4711274,sch0017
08:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-24,ho28089709,sch0018
11:00:00-07:00,19:00:00-07:00,,,,2016-10-25,2016-10-25,ho45010131,sch0019
10:00:00-07:00,19:00:00-07:00,,,,2016-10-26,2016-10-27,ho45010131,sch0020
08:00:00-07:00,18:00:00-07:00,,,,2016-10-29,2016-10-30,ho39583223,sch0021
08:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-01,ho37989089,sch0022
09:00:00-07:00,19:00:00-07:00,,,,2016-11-01,2016-11-02,ho9399988,sch0023
09:00:00-07:00,20:00:00-07:00,,,,2016-11-03,2016-11-03,ho9399988,sch0024
09:00:00-07:00,19:00:00-07:00,,,,2016-11-04,2016-11-04,ho9399988,sch0025
09:00:00-07:00,19:00:00-07:00,,,,2016-10-22,2016-10-23,ho5681749,sch0026
10:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-25,ho70396667,sch0027
09:00:00-07:00,19:00:00-07:00,,,,2016-10-26,2016-10-27,ho64745358,sch0028
09:00:00-07:00,19:00:00-07:00,,,,2016-10-28,2016-10-29,ho37760,sch0029
09:00:00-07:00,19:00:00-07:00,,,,2016-10-31,2016-11-01,ho13160484,sch0030
09:00:00-07:00,19:00:00-07:00,,,,2016-11-01,2016-11-02,ho71253554,sch0031
09:00:00-07:00,19:00:00-07:00,,,,2016-11-03,2016-11-03,ho43431102,sch0032
09:00:00-07:00,20:00:00-07:00,,,,2016-11-04,2016-11-04,ho43431102,sch0033
08:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-24,ho65575941,sch0034
10:30:00-07:00,19:30:00-07:00,,,,2016-10-26,2016-10-26,ho96976796,sch0035
08:00:00-07:00,18:00:00-07:00,,,,2016-10-26,2016-10-26,ho23048390,sch0036
09:00:00-07:00,19:00:00-07:00,,,,2016-10-26,2016-10-26,ho97087340,sch0037
08:00:00-07:00,18:00:00-07:00,,,,2016-10-26,2016-10-26,ho2023489,sch0038
09:00:00-07:00,19:00:00-07:00,,,,2016-10-26,2016-10-26,ho36255927,sch0039
08:00:00-07:00,18:00:00-07:00,,,,2016-10-26,2016-10-26,ho21560825,sch0040
09:00:00-07:00,19:00:00-07:00,,,,2016-10-26,2016-10-26,ho8150154,sch0041
09:00:00-07:00,19:00:00-07:00,,,,2016-10-26,2016-10-26,ho93328521,sch0042
08:00:00-07:00,18:00:00-07:00,,,,2016-10-26,2016-10-26,ho55286544,sch0043
10:00:00-07:00,19:00:00-07:00,,,,2016-10-26,2016-10-26,ho57750487,sch0044
09:00:00-07:00,19:00:00-07:00,,,,2016-10-26,2016-10-26,ho90562724,sch0045
08:00:00-07:00,18:00:00-07:00,,,,2016-10-26,2016-10-26,ho30220249,sch0046
09:00:00-07:00,19:00:00-07:00,,,,2016-10-26,2016-10-26,ho47625317,sch0047
09:00:00-07:00,19:00:00-07:00,,,,2016-10-27,2016-10-27,ho81432127,sch0048
10:30:00-07:00,19:30:00-07:00,,,,2016-10-27,2016-10-27,ho4326393,sch0049
08:00:00-07:00,18:00:00-07:00,,,,2016-10-27,2016-10-27,ho23048390,sch0050
09:00:00-07:00,19:00:00-07:00,,,,2016-10-27,2016-10-27,ho97087340,sch0051
08:00:00-07:00,18:00:00-07:00,,,,2016-10-27,2016-10-27,ho2023489,sch0052
09:00:00-07:00,19:00:00-07:00,,,,2016-10-27,2016-10-27,ho84812048,sch0053
09:00:00-07:00,19:00:00-07:00,,,,2016-10-27,2016-10-27,ho36255927,sch0054
09:00:00-07:00,19:00:00-07:00,,,,2016-10-27,2016-10-27,ho40518290,sch0055
09:00:00-07:00,19:00:00-07:00,,,,2016-10-27,2016-10-27,ho93328521,sch0056
10:00:00-07:00,19:00:00-07:00,,,,2016-10-27,2016-10-27,ho57750487,sch0057
08:00:00-07:00,18:00:00-07:00,,,,2016-10-27,2016-10-27,ho79305564,sch0058
08:00:00-07:00,18:00:00-07:00,,,,2016-10-27,2016-10-27,ho32818749,sch0059
09:00:00-07:00,19:00:00-07:00,,,,2016-10-27,2016-10-27,ho47625317,sch0060
09:00:00-07:00,19:00:00-07:00,,,,2016-10-27,2016-10-27,ho36670189,sch0061
10:00:00-07:00,20:00:00-07:00,,,,2016-10-27,2016-10-27,ho21290710,sch0062
09:00:00-07:00,19:00:00-07:00,,,,2016-10-28,2016-10-28,ho30752967,sch0063
08:00:00-07:00,18:00:00-07:00,,,,2016-10-28,2016-10-28,ho81463674,sch0064
08:00:00-07:00,18:00:00-07:00,,,,2016-10-28,2016-10-28,ho29207332,sch0065
08:00:00-07:00,18:00:00-07:00,,,,2016-10-28,2016-10-28,ho94684300,sch0066
09:00:00-07:00,19:00:00-07:00,,,,2016-10-28,2016-10-28,ho91251019,sch0067
