start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
09:00:00-07:00,19:00:00-07:00,,,,2016-11-02,2016-11-02,ho32546515,sch0001
09:00:00-07:00,19:00:00-07:00,,,,2016-11-03,2016-11-03,ho32546515,sch0002
09:00:00-07:00,20:00:00-07:00,,,,2016-11-04,2016-11-04,ho32546515,sch0003
08:00:00-07:00,18:00:00-07:00,,,,2016-11-01,2016-11-01,ho77601018,sch0004
09:00:00-07:00,19:00:00-07:00,,,,2016-10-26,2016-10-26,ho18515771,sch0005
09:00:00-07:00,19:00:00-07:00,,,,2016-10-27,2016-10-27,ho18515771,sch0006
10:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho35883559,sch0007
11:00:00-07:00,18:00:00-07:00,,,,2016-10-23,2016-10-23,ho35883559,sch0008
10:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-28,ho35883559,sch0009
10:00:00-07:00,21:00:00-07:00,,,,2016-10-29,2016-10-29,ho35883559,sch0010
11:00:00-07:00,18:00:00-07:00,,,,2016-10-30,2016-10-30,ho35883559,sch0011
10:00:00-07:00,21:00:00-07:00,,,,2016-10-31,2016-11-04,ho35883559,sch0012
09:00:00-07:00,19:00:00-07:00,,,,2016-10-28,2016-10-28,ho40104237,sch0013
09:00:00-07:00,19:00:00-07:00,,,,2016-10-28,2016-10-29,ho43557381,sch0014
08:00:00-07:00,18:00:00-07:00,,,,2016-10-28,2016-10-28,ho27913938,sch0015
08:00:00-07:00,18:00:00-07:00,,,,2016-10-29,2016-10-29,ho27913938,sch0016
09:00:00-07:00,19:00:00-07:00,,,,2016-10-29,2016-10-29,ho17275828,sch0017
09:00:00-07:00,19:00:00-07:00,,,,2016-10-30,2016-10-30,ho17275828,sch0018
10:00:00-07:00,14:00:00-07:00,,,,2016-10-22,2016-10-22,ho1660372,sch0019
08:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-28,ho1660372,sch0020
10:00:00-07:00,14:00:00-07:00,,,,2016-10-29,2016-10-29,ho1660372,sch0021
08:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-04,ho1660372,sch0022
10:00:00-07:00,14:00:00-07:00,,,,2016-10-22,2016-10-22,ho70366899,sch0023
08:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-27,ho70366899,sch0024
10:00:00-07:00,14:00:00-07:00,,,,2016-10-29,2016-10-29,ho70366899,sch0025
08:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-04,ho70366899,sch0026
09:00:00-07:00,19:00:00-07:00,,,,2016-11-01,2016-11-02,ho32546515,sch0027
09:00:00-07:00,20:00:00-07:00,,,,2016-11-03,2016-11-03,ho32546515,sch0028
09:00:00-07:00,19:00:00-07:00,,,,2016-11-04,2016-11-04,ho32546515,sch0029
09:00:00-07:00,19:00:00-07:00,,,,2016-11-02,2016-11-02,ho45591858,sch0030
09:00:00-07:00,19:00:00-07:00,,,,2016-11-03,2016-11-03,ho45591858,sch0031
09:00:00-07:00,20:00:00-07:00,,,,2016-11-04,2016-11-04,ho45591858,sch0032
10:00:00-07:00,14:00:00-07:00,,,,2016-10-22,2016-10-22,ho30240964,sch0033
08:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-28,ho30240964,sch0034
10:00:00-07:00,14:00:00-07:00,,,,2016-10-29,2016-10-29,ho30240964,sch0035
08:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-04,ho30240964,sch0036
09:00:00-07:00,19:00:00-07:00,,,,2016-10-22,2016-10-24,ho18218115,sch0037
08:00:00-07:00,18:00:00-07:00,,,,2016-10-28,2016-10-30,ho6714420,sch0038
09:00:00-07:00,19:00:00-07:00,,,,2016-10-27,2016-10-27,ho39720934,sch0039
09:00:00-07:00,19:00:00-07:00,,,,2016-10-28,2016-10-28,ho39720934,sch0040
10:00:00-07:00,14:00:00-07:00,,,,2016-10-22,2016-10-22,ho31186866,sch0041
08:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-28,ho31186866,sch0042
10:00:00-07:00,14:00:00-07:00,,,,2016-10-29,2016-10-29,ho31186866,sch0043
08:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-04,ho31186866,sch0044
09:00:00-07:00,19:00:00-07:00,,,,2016-10-30,2016-10-30,ho94104279,sch0045
09:00:00-07:00,19:00:00-07:00,,,,2016-10-31,2016-10-31,ho94104279,sch0046
09:00:00-07:00,19:00:00-07:00,,,,2016-11-01,2016-11-01,ho94104279,sch0047
09:00:00-07:00,19:00:00-07:00,,,,2016-10-22,2016-10-23,ho7611240,sch0048
11:00:00-07:00,18:00:00-07:00,,,,2016-10-25,2016-10-27,ho34292658,sch0049
11:00:00-07:00,16:00:00-07:00,,,,2016-10-29,2016-10-29,ho34292658,sch0050
11:00:00-07:00,18:00:00-07:00,,,,2016-11-01,2016-11-04,ho34292658,sch0051
11:00:00-07:00,16:00:00-07:00,,,,2016-10-22,2016-10-22,ho34292658,sch0052
09:00:00-07:00,19:00:00-07:00,,,,2016-10-22,2016-10-23,ho75549105,sch0053
09:00:00-07:00,19:00:00-07:00,,,,2016-10-24,2016-10-28,ho75549105,sch0054
09:00:00-07:00,19:00:00-07:00,,,,2016-10-29,2016-10-30,ho75549105,sch0055
09:00:00-07:00,19:00:00-07:00,,,,2016-10-31,2016-11-03,ho75549105,sch0056
09:00:00-07:00,20:00:00-07:00,,,,2016-11-04,2016-11-04,ho75549105,sch0057
11:00:00-07:00,16:00:00-07:00,,,,2016-10-22,2016-10-22,ho27047430,sch0058
11:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-26,ho27047430,sch0059
11:00:00-07:00,16:00:00-07:00,,,,2016-10-29,2016-10-29,ho27047430,sch0060
11:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-04,ho27047430,sch0061
09:00:00-07:00,16:30:00-07:00,,,,2016-10-24,2016-10-25,ho46216925,sch0062
09:00:00-07:00,19:00:00-07:00,,,,2016-10-22,2016-10-25,ho62297711,sch0063
10:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho74414526,sch0064
11:00:00-07:00,18:00:00-07:00,,,,2016-10-23,2016-10-23,ho74414526,sch0065
10:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-28,ho74414526,sch0066
10:00:00-07:00,21:00:00-07:00,,,,2016-10-29,2016-10-29,ho74414526,sch0067
11:00:00-07:00,18:00:00-07:00,,,,2016-10-30,2016-10-30,ho74414526,sch0068
10:00:00-07:00,21:00:00-07:00,,,,2016-10-31,2016-11-04,ho74414526,sch0069
10:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho21942880,sch0070
11:00:00-07:00,16:00:00-07:00,,,,2016-10-23,2016-10-23,ho21942880,sch0071
10:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-28,ho21942880,sch0072
10:00:00-07:00,18:00:00-07:00,,,,2016-10-29,2016-10-29,ho21942880,sch0074
11:00:00-07:00,16:00:00-07:00,,,,2016-10-30,2016-10-30,ho21942880,sch0075
10:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-02,ho21942880,sch0076
09:00:00-07:00,19:00:00-07:00,,,,2016-11-03,2016-11-04,ho21942880,sch0077
08:00:00-07:00,19:00:00-07:00,,,,2016-11-02,2016-11-02,ho73868267,sch0078
10:00:00-07:00,15:00:00-07:00,,,,2016-10-29,2016-10-29,ho65597097,sch0079
14:00:00-07:00,18:00:00-07:00,,,,2016-11-01,2016-11-01,ho65597097,sch0080
14:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-24,ho49591891,sch0081
08:00:00-07:00,19:00:00-07:00,,,,2016-11-01,2016-11-01,ho36526216,sch0082
10:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho99307289,sch0083
10:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-28,ho99307289,sch0084
10:00:00-07:00,18:00:00-07:00,,,,2016-10-29,2016-10-29,ho99307289,sch0085
10:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-04,ho99307289,sch0086
10:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho67737488,sch0087
08:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-28,ho67737488,sch0088
10:00:00-07:00,18:00:00-07:00,,,,2016-10-29,2016-10-29,ho67737488,sch0089
08:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-04,ho67737488,sch0090
11:00:00-07:00,16:00:00-07:00,,,,2016-10-22,2016-10-22,ho6843709,sch0091
11:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-27,ho6843709,sch0092
11:00:00-07:00,16:00:00-07:00,,,,2016-10-29,2016-10-29,ho6843709,sch0093
11:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-04,ho6843709,sch0094
10:00:00-07:00,15:00:00-07:00,,,,2016-10-22,2016-10-22,ho58402639,sch0095
08:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-28,ho58402639,sch0096
10:00:00-07:00,15:00:00-07:00,,,,2016-10-29,2016-10-29,ho58402639,sch0097
08:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-04,ho58402639,sch0098
