office_name,official_title,ocd_division,division_description,homepage,phone,email,street,source_directions,city,state,zip,start_time,end_time,start_date,end_date,must_apply_for_mail_ballot,notes,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1630,9/26/2016,9/30/2016,Yes,,1,"Historic Court House Complex, 5903 Main Street, Mays Landing, NJ 08330",,08:30 AM-04:30 PM,,ho75239337,false,true,,,,poll8631477
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1630,10/3/2016,10/7/2016,Yes,,2,"Historic Court House Complex, 5903 Main Street, Mays Landing, NJ 08330",,08:30 AM-04:30 PM,,ho75239337,false,true,,,,poll8631477
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1630,10/10/2016,10/14/2016,Yes,,3,"Historic Court House Complex, 5903 Main Street, Mays Landing, NJ 08330",,08:30 AM-04:30 PM,,ho75239337,false,true,,,,poll8631477
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1630,10/17/2016,10/21/2016,Yes,,4,"Historic Court House Complex, 5903 Main Street, Mays Landing, NJ 08330",,08:30 AM-04:30 PM,,ho75239337,false,true,,,,poll8631477
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1630,10/24/2016,10/28/2016,Yes,,5,"Historic Court House Complex, 5903 Main Street, Mays Landing, NJ 08330",,08:30 AM-04:30 PM,,ho75239337,false,true,,,,poll8631477
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1630,10/31/2016,11/4/2016,Yes,,6,"Historic Court House Complex, 5903 Main Street, Mays Landing, NJ 08330",,08:30 AM-04:30 PM,,ho75239337,false,true,,,,poll8631477
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1500,11/7/2016,11/7/2016,Yes,,7,"Historic Court House Complex, 5903 Main Street, Mays Landing, NJ 08330",,08:30 AM-03:00 PM,,ho75239337,false,true,,,,poll8631477
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,One Bergen County Plaza,Room 310,Hackensack,NJ,7601,830,1600,9/26/2016,9/30/2016,Yes,,8,"One Bergen County Plaza, Hackensack, NJ 07601",Room 310,08:30 AM-04:00 PM,,ho30353492,false,true,,,,poll30819412
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,One Bergen County Plaza,Room 310,Hackensack,NJ,7601,830,1600,10/3/2016,10/7/2016,Yes,,9,"One Bergen County Plaza, Hackensack, NJ 07601",Room 310,08:30 AM-04:00 PM,,ho30353492,false,true,,,,poll30819412
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,One Bergen County Plaza,Room 310,Hackensack,NJ,7601,830,1600,10/10/2016,10/14/2016,Yes,,10,"One Bergen County Plaza, Hackensack, NJ 07601",Room 310,08:30 AM-04:00 PM,,ho30353492,false,true,,,,poll30819412
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,One Bergen County Plaza,Room 310,Hackensack,NJ,7601,830,1600,10/17/2016,10/21/2016,Yes,,11,"One Bergen County Plaza, Hackensack, NJ 07601",Room 310,08:30 AM-04:00 PM,,ho30353492,false,true,,,,poll30819412
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,One Bergen County Plaza,Room 310,Hackensack,NJ,7601,830,1600,10/24/2016,10/28/2016,Yes,,12,"One Bergen County Plaza, Hackensack, NJ 07601",Room 310,08:30 AM-04:00 PM,,ho30353492,false,true,,,,poll30819412
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,One Bergen County Plaza,Room 310,Hackensack,NJ,7601,830,1600,10/31/2016,11/4/2016,Yes,,13,"One Bergen County Plaza, Hackensack, NJ 07601",Room 310,08:30 AM-04:00 PM,,ho30353492,false,true,,,,poll30819412
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,One Bergen County Plaza,Room 310,Hackensack,NJ,7601,830,1500,11/7/2016,11/7/2016,Yes,,14,"One Bergen County Plaza, Hackensack, NJ 07601",Room 310,08:30 AM-03:00 PM,,ho30353492,false,true,,,,poll30819412
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road",Room G-22,Mount Holly,NJ,08060-1397,800,1600,9/26/2016,9/30/2016,Yes,,15,"County Office Building, 49 Rancocas Road, Mount Holly, NJ 08060",Room G-22,08:00 AM-04:00 PM,,ho40382655,false,true,,,,poll64747086
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road",Room G-22,Mount Holly,NJ,08060-1397,800,1600,10/3/2016,10/7/2016,Yes,,16,"County Office Building, 49 Rancocas Road, Mount Holly, NJ 08060",Room G-22,08:00 AM-04:00 PM,,ho40382655,false,true,,,,poll64747086
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road",Room G-22,Mount Holly,NJ,08060-1397,800,1600,10/10/2016,10/14/2016,Yes,,17,"County Office Building, 49 Rancocas Road, Mount Holly, NJ 08060",Room G-22,08:00 AM-04:00 PM,,ho40382655,false,true,,,,poll64747086
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road",Room G-22,Mount Holly,NJ,08060-1397,800,1600,10/17/2016,10/21/2016,Yes,,18,"County Office Building, 49 Rancocas Road, Mount Holly, NJ 08060",Room G-22,08:00 AM-04:00 PM,,ho40382655,false,true,,,,poll64747086
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road",Room G-22,Mount Holly,NJ,08060-1397,800,1600,10/24/2016,10/28/2016,Yes,,19,"County Office Building, 49 Rancocas Road, Mount Holly, NJ 08060",Room G-22,08:00 AM-04:00 PM,,ho40382655,false,true,,,,poll64747086
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road",Room G-22,Mount Holly,NJ,08060-1397,800,1600,10/31/2016,11/4/2016,Yes,,20,"County Office Building, 49 Rancocas Road, Mount Holly, NJ 08060",Room G-22,08:00 AM-04:00 PM,,ho40382655,false,true,,,,poll64747086
