name,loc_name,adr_1,adr_2,adr_3,city,state,zip,county,dirs,services,start_date,end_date,start_time,end_time,day_times,st_id,comments,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"""Corrales Community Center""",Belen Community Center,305 Eagle Lane,,,Belen,NM,87002,Valencia,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,,1,"305 Eagle Lane, Belen, NM 87002",,10:00 AM - 06:00 PM,,ho47617096,false,true,,,,poll47617096
"""Corrales Community Center""",Belen Community Center,306 Eagle Lane,,,Belen,NM,87002,Valencia,,Early Voting,10/25/16,10/29/16,10:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,,2,"306 Eagle Lane, Belen, NM 87002",,10:00 AM - 06:00 PM,,ho39982947,false,true,,,,poll39982947
"""Corrales Community Center""",Belen Community Center,307 Eagle Lane,,,Belen,NM,87002,Valencia,,Early Voting,11/1/16,11/5/16,10:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,,3,"307 Eagle Lane, Belen, NM 87002",,10:00 AM - 06:00 PM,,ho23684889,false,true,,,,poll23684889
"""Penasco Community Center""",Santa Ana Pueblo Community Center,2 Dove Rd.,,,Santa Ana Pueblo,NM,87004,Sandoval,,Early Voting,10/27/16,10/28/16,10:00:00-07:00,19:00:00-7:00,October 27 - October 28 Thu - Fri 10 AM - 7 PM,,,4,"2 Dove Rd., Santa Ana Pueblo, NM 87004",,10:00 AM - 07:00 PM,,ho3216131,false,true,,,,poll3216131
"""Union County Clerk's Office""",Sandia Pueblo Aquatic Center,143 North Santa Fe Trail,,,Sandia Pueblo,NM,87004,Sandoval,,Early Voting,10/31/16,10/31/16,10:00:00-07:00,19:00:00-7:00,October 31 Mon 10 AM - 7 PM,,,5,"143 North Santa Fe Trail, Sandia Pueblo, NM 87004",,10:00 AM - 07:00 PM,,ho47340341,false,true,,,,poll47340341
"""Otero County Fairgrounds""",Torreon Chapter House,Highway 197,,,Torreon,NM,87013,Sandoval,,Early Voting,11/3/16,11/4/16,10:00:00-07:00,19:00:00-7:00,November 3 - November 4 Thu - Fri 10 AM - 7 PM,,,6,"Highway 197, Torreon, NM 87013",,10:00 AM - 07:00 PM,,ho79346548,false,true,,,,poll79346548
"""Eddy County Clerk Sub-Office""",Eichwald Center,46 Old Highway 126,,,Cuba,NM,87013,Sandoval,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,,7,"46 Old Highway 126, Cuba, NM 87013",,10:00 AM - 07:00 PM,,ho48360755,false,true,,,,poll48360755
"""Eddy County Clerk Sub-Office""",Eichwald Center,47 Old Highway 126,,,Cuba,NM,87013,Sandoval,,Early Voting,10/24/16,10/29/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,,8,"47 Old Highway 126, Cuba, NM 87013",,10:00 AM - 07:00 PM,,ho17130790,false,true,,,,poll17130790
"""Eddy County Clerk Sub-Office""",Eichwald Center,48 Old Highway 126,,,Cuba,NM,87013,Sandoval,,Early Voting,10/31/16,11/5/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,,9,"48 Old Highway 126, Cuba, NM 87013",,10:00 AM - 07:00 PM,,ho12270043,false,true,,,,poll12270043
"""Tierra Amarilla Clerk's Office""",Edgewood Fire Station,25 East Frontage Road,,,Edgewood,NM,87015,Santa Fe,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,,10,"25 East Frontage Road, Edgewood, NM 87015",,10:00 AM - 06:00 PM,,ho73304388,false,true,,,,poll73304388
"""Tierra Amarilla Clerk's Office""",Edgewood Fire Station,26 East Frontage Road,,,Edgewood,NM,87015,Santa Fe,,Early Voting,10/25/16,10/28/16,12:00:00-07:00,20:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,,11,"26 East Frontage Road, Edgewood, NM 87015",,12:00 PM - 08:00 PM,,ho49654716,false,true,,,,poll49654716
"""Tierra Amarilla Clerk's Office""",Edgewood Fire Station,27 East Frontage Road,,,Edgewood,NM,87015,Santa Fe,,Early Voting,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,,12,"27 East Frontage Road, Edgewood, NM 87015",,10:00 AM - 06:00 PM,,ho57698368,false,true,,,,poll57698368
"""Tierra Amarilla Clerk's Office""",Edgewood Fire Station,28 East Frontage Road,,,Edgewood,NM,87015,Santa Fe,,Early Voting,11/1/16,11/4/16,12:00:00-07:00,20:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,,13,"28 East Frontage Road, Edgewood, NM 87015",,12:00 PM - 08:00 PM,,ho78643413,false,true,,,,poll78643413
"""Tierra Amarilla Clerk's Office""",Edgewood Fire Station,29 East Frontage Road,,,Edgewood,NM,87015,Santa Fe,,Early Voting,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,,14,"29 East Frontage Road, Edgewood, NM 87015",,10:00 AM - 06:00 PM,,ho45642047,false,true,,,,poll45642047
"""Cibola County Complex""",Torrance County Clerk's Office,205 9th St,,,Estancia,NM,87016,Torrance,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/16,10/13/16,07:30:00-07:00,17:30:00-7:00,"October 11 - November 5 Mon - Thu 7:30 AM - 5:30 PM, Sat 10 AM - 6 PM",,,15,"205 9th St, Estancia, NM 87016",,07:30 AM - 05:30 PM,,ho46992089,false,true,,,,poll46992089
"""Cibola County Complex""",Torrance County Clerk's Office,206 9th St,,,Estancia,NM,87016,Torrance,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 23,10/15/16,10/15/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Thu 7:30 AM - 5:30 PM, Sat 10 AM - 6 PM",,,16,"206 9th St, Estancia, NM 87016",,10:00 AM - 06:00 PM,,ho56517234,false,true,,,,poll56517234
