election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:nm/county:bernalillo,bernali0110,poll92168968 poll33884294 poll8476866 poll5904252 poll49369033 poll35244151 poll53372215 poll40174841 poll68064266 poll52767140 poll43686298 poll24138154 poll31279711 poll25768655 poll25275960 poll97019903 poll77300808 poll94273881 poll90599462 poll31049066 poll92318816 poll45019167 poll95412679 poll7634688 poll20937223 poll39506237 poll91952681 poll85128097 poll18165994 poll52422270 poll58924905 poll74917279 poll32843864 poll92764043 poll26776927 poll44584008 poll90436477 poll62187654 poll81887727 poll18771880 poll78965483 poll62358450 poll14041129 poll90855694 poll7657394 poll27812686 poll96161565 poll52529605 poll39589751 poll19711910 poll76262987 poll61314906,st35,other,,loc0001
,ocd-id,,ocd-division/country:us/state:nm/county:catron,cat0313,poll7651771 poll91122996 poll46919956 poll8588794 poll17955328 poll63590724 poll53741294 poll91975651 poll24732255 poll1857983 poll46887443,st35,other,,loc0002
,ocd-id,,ocd-division/country:us/state:nm/county:chaves,cha0433,poll68321102 poll19722506 poll26585032 poll93866147 poll90265272 poll66512307 poll33214235 poll63520360 poll68127589 poll41453796 poll36659236 poll39568810 poll73232612 poll39859312,st35,other,,loc0003
,ocd-id,,ocd-division/country:us/state:nm/county:cibola,cib0156,poll81338829 poll87645918 poll58582591 poll6937458 poll66955357 poll60293815 poll44385539 poll88987841 poll63440043 poll33382423 poll38594267 poll44356542 poll63887783 poll95985492 poll92208532 poll6988372 poll69509884 poll58191602 poll42689351,st35,other,,loc0004
,ocd-id,,ocd-division/country:us/state:nm/county:colfax,col0290,poll68606294 poll5175567 poll63277691 poll33767786 poll28431667 poll3772737 poll58361437 poll30758530 poll17707490 poll9490124 poll50606499 poll57154963 poll5790768,st35,other,,loc0005
,ocd-id,,ocd-division/country:us/state:nm/county:curry,cu0389,poll91871033 poll67989799 poll32126107 poll18593934 poll58829839 poll96814812 poll73122475,st35,other,,loc0006
,ocd-id,,ocd-division/country:us/state:nm/county:de_baca,de_b0392,poll91817043 poll8980694 poll47403949 poll19222892 poll96727774 poll82014919 poll51958973 poll20161312,st35,other,,loc0007
,ocd-id,,ocd-division/country:us/state:nm/county:doa_ana,doa_0330,poll74866675 poll42591330 poll74807482 poll88829929 poll19798976 poll61977867 poll60982947 poll67558590 poll68894911 poll87116052 poll71735364 poll70598396 poll27143816 poll64626283 poll59969160 poll98728668 poll19543610 poll41202574 poll74452955 poll74718193 poll73841966 poll61784048 poll50244425,st35,other,,loc0008
,ocd-id,,ocd-division/country:us/state:nm/county:eddy,e0428,poll82866913 poll21289542 poll96322546 poll40125585 poll95504399 poll363375 poll72062504 poll76953695 poll74457316,st35,other,,loc0009
,ocd-id,,ocd-division/country:us/state:nm/county:grant,gr0347,poll42235011 poll10335570 poll56981520 poll85657958 poll90587279 poll46806037 poll87626642,st35,other,,loc0010
,ocd-id,,ocd-division/country:us/state:nm/county:guadalupe,guadal0506,poll60663140 poll93576885 poll9549059 poll6884736 poll88757278 poll62948082 poll26264126,st35,other,,loc0011
,ocd-id,,ocd-division/country:us/state:nm/county:harding,hard0289,poll23823241 poll56703029 poll56006914 poll84160780 poll29422103 poll6990420 poll36164719 poll98362663,st35,other,,loc0012
,ocd-id,,ocd-division/country:us/state:nm/county:hidalgo,hida0365,poll55360028 poll42509315 poll47356307 poll20614398 poll28017967 poll3251227 poll41954999 poll65339558,st35,other,,loc0013
,ocd-id,,ocd-division/country:us/state:nm/county:lea,0439,poll2412456 poll17258201 poll85637303 poll81447840 poll21387721 poll82629112 poll24614885 poll21377995 poll3482055 poll54235201 poll32917571 poll87449224 poll77349694 poll10862383 poll75049786 poll10258228 poll54329374,st35,other,,loc0014
,ocd-id,,ocd-division/country:us/state:nm/county:lincoln,linc0473,poll78446768 poll91722600 poll34910087 poll14251930 poll81837598 poll35478273 poll30518274 poll7995412 poll45026139 poll57604105,st35,other,,loc0015
,ocd-id,,ocd-division/country:us/state:nm/county:los_alamos,los_ala0234,poll66745427 poll76631898 poll37623893 poll76343544 poll76912524 poll2392048 poll72210704 poll54952378 poll399346 poll34050691,st35,other,,loc0016
