start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:00:00-06:00,12:00:00-06:00,,,,2016-09-29,2016-09-30,ho12695324,sch0001
13:00:00-06:00,16:30:00-06:00,,,,2016-09-29,2016-09-30,ho12695324,sch0002
08:00:00-06:00,12:00:00-06:00,,,,2016-10-03,2016-10-07,ho12695324,sch0003
13:00:00-06:00,16:30:00-06:00,,,,2016-10-03,2016-10-07,ho12695324,sch0004
08:00:00-06:00,12:00:00-06:00,,,,2016-10-10,2016-10-14,ho12695324,sch0005
13:00:00-06:00,16:30:00-06:00,,,,2016-10-10,2016-10-14,ho12695324,sch0006
08:00:00-06:00,12:00:00-06:00,,,,2016-10-17,2016-10-21,ho12695324,sch0007
13:00:00-06:00,16:30:00-06:00,,,,2016-10-17,2016-10-21,ho12695324,sch0008
08:00:00-06:00,12:00:00-06:00,,,,2016-10-24,2016-10-28,ho12695324,sch0009
13:00:00-06:00,16:30:00-06:00,,,,2016-10-24,2016-10-28,ho12695324,sch0010
08:00:00-06:00,12:00:00-06:00,,,,2016-10-31,2016-11-04,ho12695324,sch0011
13:00:00-06:00,16:30:00-06:00,,,,2016-10-31,2016-11-04,ho12695324,sch0012
08:00:00-07:00,12:00:00-07:00,,,,2016-11-07,2016-11-07,ho12695324,sch0013
13:00:00-07:00,16:30:00-07:00,,,,2016-11-07,2016-11-07,ho12695324,sch0014
08:00:00-05:00,17:00:00-05:00,,,,2016-09-29,2016-09-30,ho70781562,sch0015
08:00:00-05:00,17:00:00-05:00,,,,2016-10-03,2016-10-07,ho70781562,sch0016
08:00:00-05:00,17:00:00-05:00,,,,2016-10-10,2016-10-14,ho70781562,sch0017
08:00:00-05:00,17:00:00-05:00,,,,2016-10-17,2016-10-21,ho70781562,sch0018
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho70781562,sch0019
08:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho70781562,sch0020
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho70781562,sch0021
08:30:00-05:00,16:30:00-05:00,,,,2016-09-29,2016-09-30,ho34083744,sch0022
08:30:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho34083744,sch0023
08:30:00-05:00,16:30:00-05:00,,,,2016-10-10,2016-10-14,ho34083744,sch0024
08:30:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho34083744,sch0025
08:30:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho34083744,sch0026
08:30:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho34083744,sch0027
08:30:00-06:00,16:30:00-06:00,,,,2016-11-07,2016-11-07,ho34083744,sch0028
08:00:00-06:00,16:00:00-06:00,,,,2016-09-29,2016-09-30,ho34812063,sch0029
08:00:00-06:00,16:00:00-06:00,,,,2016-10-03,2016-10-07,ho34812063,sch0030
08:00:00-06:00,16:00:00-06:00,,,,2016-10-10,2016-10-14,ho34812063,sch0031
08:00:00-06:00,16:00:00-06:00,,,,2016-10-17,2016-10-21,ho34812063,sch0032
08:00:00-06:00,16:00:00-06:00,,,,2016-10-24,2016-10-28,ho34812063,sch0033
08:00:00-06:00,16:00:00-06:00,,,,2016-10-31,2016-11-04,ho34812063,sch0034
08:00:00-07:00,16:00:00-07:00,,,,2016-11-07,2016-11-07,ho34812063,sch0035
08:30:00-05:00,17:00:00-05:00,,,,2016-09-29,2016-09-30,ho20217394,sch0036
08:30:00-05:00,17:00:00-05:00,,,,2016-10-03,2016-10-07,ho20217394,sch0037
08:30:00-05:00,17:00:00-05:00,,,,2016-10-10,2016-10-14,ho20217394,sch0038
08:30:00-05:00,17:00:00-05:00,,,,2016-10-17,2016-10-21,ho20217394,sch0039
08:30:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho20217394,sch0040
08:30:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho20217394,sch0041
08:30:00-06:00,17:00:00-05:00,,,,2016-11-07,2016-11-07,ho20217394,sch0042
07:30:00-06:00,12:00:00-06:00,,,,2016-09-29,2016-09-29,ho37900002,sch0043
12:30:00-06:00,16:30:00-06:00,,,,2016-09-29,2016-09-29,ho37900002,sch0044
07:30:00-06:00,12:00:00-06:00,,,,2016-09-30,2016-09-30,ho37900002,sch0045
07:30:00-06:00,12:00:00-06:00,,,,2016-10-03,2016-10-06,ho37900002,sch0046
12:30:00-06:00,16:30:00-06:00,,,,2016-10-03,2016-10-06,ho37900002,sch0047
07:30:00-06:00,12:00:00-06:00,,,,2016-10-07,2016-10-07,ho37900002,sch0048
07:30:00-06:00,12:00:00-06:00,,,,2016-10-10,2016-10-13,ho37900002,sch0049
12:30:00-06:00,16:30:00-06:00,,,,2016-10-10,2016-10-13,ho37900002,sch0050
07:30:00-06:00,12:00:00-06:00,,,,2016-10-14,2016-10-14,ho37900002,sch0051
07:30:00-06:00,12:00:00-06:00,,,,2016-10-17,2016-10-20,ho37900002,sch0052
12:30:00-06:00,16:30:00-06:00,,,,2016-10-17,2016-10-20,ho37900002,sch0053
07:30:00-06:00,12:00:00-06:00,,,,2016-10-21,2016-10-21,ho37900002,sch0054
07:30:00-06:00,12:00:00-06:00,,,,2016-10-24,2016-10-27,ho37900002,sch0055
12:30:00-06:00,16:30:00-06:00,,,,2016-10-24,2016-10-27,ho37900002,sch0056
07:30:00-06:00,12:00:00-06:00,,,,2016-10-28,2016-10-28,ho37900002,sch0057
07:30:00-06:00,12:00:00-06:00,,,,2016-10-31,2016-11-03,ho37900002,sch0058
12:30:00-06:00,16:30:00-06:00,,,,2016-10-31,2016-11-03,ho37900002,sch0059
07:30:00-06:00,12:00:00-06:00,,,,2016-11-04,2016-11-04,ho37900002,sch0060
07:30:00-07:00,12:00:00-07:00,,,,2016-11-07,2016-11-07,ho37900002,sch0061
12:30:00-07:00,16:30:00-07:00,,,,2016-11-07,2016-11-07,ho37900002,sch0062
08:30:00-05:00,12:00:00-05:00,,,,2016-09-29,2016-09-30,ho24867410,sch0063
13:00:00-05:00,17:00:00-05:00,,,,2016-09-29,2016-09-30,ho24867410,sch0064
08:30:00-05:00,12:00:00-05:00,,,,2016-10-03,2016-10-07,ho24867410,sch0065
13:00:00-05:00,17:00:00-05:00,,,,2016-10-03,2016-10-07,ho24867410,sch0066
08:30:00-05:00,12:00:00-05:00,,,,2016-10-10,2016-10-14,ho24867410,sch0067
13:00:00-05:00,17:00:00-05:00,,,,2016-10-10,2016-10-14,ho24867410,sch0068
08:30:00-05:00,12:00:00-05:00,,,,2016-10-17,2016-10-21,ho24867410,sch0069
13:00:00-05:00,17:00:00-05:00,,,,2016-10-17,2016-10-21,ho24867410,sch0070
08:30:00-05:00,12:00:00-05:00,,,,2016-10-24,2016-10-28,ho24867410,sch0071
13:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho24867410,sch0072
08:30:00-05:00,12:00:00-05:00,,,,2016-10-31,2016-11-04,ho24867410,sch0073
13:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho24867410,sch0074
08:30:00-06:00,12:00:00-06:00,,,,2016-11-07,2016-11-07,ho24867410,sch0075
13:00:00-06:00,17:00:00-05:00,,,,2016-11-07,2016-11-07,ho24867410,sch0076
08:00:00-05:00,17:00:00-05:00,,,,2016-09-29,2016-09-30,ho36120506,sch0077
08:00:00-05:00,17:00:00-05:00,,,,2016-10-03,2016-10-07,ho36120506,sch0078
08:00:00-05:00,17:00:00-05:00,,,,2016-10-10,2016-10-14,ho36120506,sch0079
