start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
12:00:00-05:00,17:30:00-05:00,,,,2016-10-25,2016-10-25,ho36120506,sch0001
09:30:00-05:00,17:30:00-05:00,,,,2016-10-26,2016-10-28,ho36120506,sch0002
09:30:00-05:00,13:00:00-05:00,,,,2016-10-29,2016-10-29,ho36120506,sch0003
09:30:00-05:00,17:30:00-05:00,,,,2016-10-31,2016-11-04,ho36120506,sch0004
09:30:00-05:00,13:00:00-05:00,,,,2016-11-05,2016-11-05,ho36120506,sch0005
09:30:00-05:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho36120506,sch0006
10:00:00-05:00,19:00:00-05:00,,,,2016-10-31,2016-11-04,ho17564606,sch0007
10:00:00-05:00,19:00:00-05:00,,,,2016-10-31,2016-11-04,ho3741474,sch0008
10:00:00-05:00,19:00:00-05:00,,,,2016-10-31,2016-11-04,ho47977112,sch0009
10:00:00-05:00,19:00:00-05:00,,,,2016-11-02,2016-11-04,ho19361141,sch0010
10:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho60314806,sch0011
12:00:00-05:00,17:30:00-05:00,,,,2016-10-25,2016-10-25,ho82218568,sch0012
09:30:00-05:00,17:30:00-05:00,,,,2016-10-26,2016-10-28,ho82218568,sch0013
09:30:00-05:00,13:00:00-05:00,,,,2016-10-29,2016-10-29,ho82218568,sch0014
09:30:00-05:00,17:30:00-05:00,,,,2016-10-31,2016-11-04,ho82218568,sch0015
09:30:00-05:00,13:00:00-05:00,,,,2016-11-05,2016-11-05,ho82218568,sch0016
09:30:00-05:00,17:00:00-05:00,,,,2016-11-07,2016-11-07,ho82218568,sch0017
08:00:00-06:00,17:00:00-06:00,,,,2016-10-31,2016-11-03,ho79998215,sch0018
08:00:00-06:00,12:00:00-06:00,,,,2016-11-04,2016-11-04,ho79998215,sch0019
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho61339843,sch0020
08:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho61339843,sch0021
10:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-03,ho70525056,sch0022
