election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:adams,ocd-division/country:us/state:nd/county:ad0013,poll69818709,st38,other,,loc0001
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:barnes,ocd-division/country:us/state:nd/county:bar0019,poll61259136,st38,other,,loc0002
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:benson,ocd-division/country:us/state:nd/county:ben0026,poll30013910,st38,other,,loc0003
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:billings,ocd-division/country:us/state:nd/county:billi0030,poll87872752,st38,other,,loc0004
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:bottineau,ocd-division/country:us/state:nd/county:bottin0037,poll31852070,st38,other,,loc0005
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:bowman,ocd-division/country:us/state:nd/county:bow0057,poll85215637,st38,other,,loc0006
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:burke,ocd-division/country:us/state:nd/county:bu0067,poll21038059,st38,other,,loc0007
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:burleigh,ocd-division/country:us/state:nd/county:burle0078,poll90443080,st38,other,,loc0008
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:cass,ocd-division/country:us/state:nd/county:c0099,poll36478181 poll93693412 poll43143137 poll42155907 poll55236708,st38,other,,loc0009
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:cavalier,ocd-division/country:us/state:nd/county:caval0101,poll92110353,st38,other,,loc0010
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:dickey,ocd-division/country:us/state:nd/county:dic0119,poll1365169,st38,other,,loc0011
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:divide,ocd-division/country:us/state:nd/county:div0131,poll98229645,st38,other,,loc0012
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:dunn,ocd-division/country:us/state:nd/county:d0140,poll63899916,st38,other,,loc0013
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:eddy,ocd-division/country:us/state:nd/county:e0152,poll7836867,st38,other,,loc0014
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:emmons,ocd-division/country:us/state:nd/county:emm0163,poll76991746,st38,other,,loc0015
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:foster,ocd-division/country:us/state:nd/county:fos0184,poll24794016,st38,other,,loc0016
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:golden_valley,ocd-division/country:us/state:nd/county:golden_val0185,poll4029206,st38,other,,loc0017
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:grand_forks,ocd-division/country:us/state:nd/county:grand_fo0198,poll54795952 poll63324572,st38,other,,loc0018
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:grant,ocd-division/country:us/state:nd/county:gr0209,poll5606236,st38,other,,loc0019
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:griggs,ocd-division/country:us/state:nd/county:gri0223,poll98157333,st38,other,,loc0020
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:hettlinger,ocd-division/country:us/state:nd/county:hettlin0247,poll77155922,st38,other,,loc0021
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:kidder,ocd-division/country:us/state:nd/county:kid0249,poll44317825,st38,other,,loc0022
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:lamoure,ocd-division/country:us/state:nd/county:lamo0263,poll55155660,st38,other,,loc0023
,ocd-id,,ocd-division/country/us/state:nd/county:ocd-division/country:us/state:nd/county:logan,ocd-division/country:us/state:nd/county:lo0276,poll57321118,st38,other,,loc0024
