office-name,ocd_division,directions,precinct_name,loc_name,street,city,state,zip_code,start_time,end_time,notes,index,name,address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Antonio Garcia Arts & Education Center,2021 Agnes St,Corpus Christi,TX,78405,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,1,Antonio Garcia Arts & Education Center,"2021 Agnes St, Corpus Christi, TX, 78405",07:00 AM-07:00 PM,,ho19576434,false,false,,,,poll14882167
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Baker Middle School,3445 Pecan St.,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,2,Baker Middle School,"3445 Pecan St., Corpus Christi, TX, 78411",07:00 AM-07:00 PM,,ho38078938,false,false,,,,poll98448241
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Banquete ISD,4339 Fourth St.,BANQUETE,TX,78339,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,4,Banquete Isd,"4339 Fourth St., BANQUETE, TX, 78339",07:00 AM-07:00 PM,,ho66460814,false,false,,,,poll54706738
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Ben Garza Gym,1815 Howard St.,Corpus Christi,TX,78408,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,5,Ben Garza Gym,"1815 Howard St., Corpus Christi, TX, 78408",07:00 AM-07:00 PM,,ho45839286,false,false,,,,poll60450865
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Bishop High SchoolÛÓ,100 Badger Ln.,BISHOP,TX,78343,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,6,Bishop High SchoolÛó,"100 Badger Ln., BISHOP, TX, 78343",07:00 AM-07:00 PM,,ho26349530,false,false,,,,poll45799109
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Bishop Primary School,705 W. Main St.,BISHOP,TX,78343,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,7,Bishop Primary School,"705 W. Main St., BISHOP, TX, 78343",07:00 AM-07:00 PM,,ho73868893,false,false,,,,poll40577319
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Blanche Moore Elementary,6121 Durant Dr.,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,8,Blanche Moore Elementary,"6121 Durant Dr., Corpus Christi, TX, 78414",07:00 AM-07:00 PM,,ho75764608,false,false,,,,poll82915793
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Brooks A.M.E. Worship Center,2101 N Port Ave,Corpus Christi,TX,78401,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,9,Brooks A.M.E. Worship Center,"2101 N Port Ave, Corpus Christi, TX, 78401",07:00 AM-07:00 PM,,ho33759858,false,false,,,,poll1636119
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Calallen East Elementary,3709 Lott Ave.,Corpus Christi,TX,78401,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,10,Calallen East Elementary,"3709 Lott Ave., Corpus Christi, TX, 78401",07:00 AM-07:00 PM,,ho13306308,false,false,,,,poll94916005
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Calallen Middle School,4602 Cornett Rd.,Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,11,Calallen Middle School,"4602 Cornett Rd., Corpus Christi, TX, 78410",07:00 AM-07:00 PM,,ho38766817,false,false,,,,poll6942946
