name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
,"215 N. Cross St., Room 103, West Union, OH 45693",,08:00 AM-05:00 PM,,ho93484228,false,true,,,,poll81941857
Courthouse,"204 N. Main St., Lower Level, Lima, OH 45801",,08:00 AM-05:00 PM,,ho66729536,false,true,,,,poll29560270
,"110 Cottage St., Ste 106, Ashland, OH 44805",,08:00 AM-05:00 PM,,ho86859092,false,true,,,,poll86120824
Bureau of Motor Vehicle,"8 W. Walnut St., Jefferson, OH 44047",,08:00 AM-05:00 PM,,ho72332931,false,true,,,,poll17918716
Courthouse Annex ,"15 S. Court St., Room 130, Athens, OH 45701",,08:00 AM-05:00 PM,,ho53910426,false,true,,,,poll93455468
Administration Building,"209 S. Blackhoof Street, Room 205, Wapakoneta, OH 45895",,08:00 AM-05:00 PM,,ho95890975,false,true,,,,poll51386789
Veterans Affairs Building,"101 West Main Street, St. Clairsville, OH 43950",,08:30 AM-04:30 PM,,ho95094388,false,true,,,,poll82427427
County Administration Building,"800 Mt. Orab Pk., Ste 111, Georgetown, OH 45121",,08:00 AM-05:00 PM,,ho21785428,false,true,,,,poll92592724
Board of Elections Building,"1802 Princeton Rd., Ste 600, Hamilton, OH 45011",,08:00 AM-05:00 PM,,ho28171305,false,true,,,,poll58971328
,"119 S. Lisbon St., Ste 102, Carrollton, OH 44615",,08:00 AM-05:00 PM,,ho20965171,false,true,,,,poll76396598
,"1512 South U.S. Hwy 68, Ste L100, Urbana, OH 43078",,08:00 AM-05:00 PM,,ho62024967,false,true,,,,poll80332741
,"3130 E. Main St., Springfield, OH 45505",,08:00 AM-05:00 PM,,ho82986131,false,true,,,,poll11108888
Board Election Building ,"76 S. Riverside Dr., Batavia, OH 45103",,08:00 AM-05:00 PM,,ho58218009,false,true,,,,poll41225397
Courthouse ,"46 S. South St., Room 126, Wilmington, OH 45177",,08:00 AM-05:00 PM,,ho86506358,false,true,,,,poll79668548
County Administration Building,"7989 Dickey Dr., Ste 3, Lisbon, OH 44432",,08:00 AM-05:00 PM,,ho78333836,false,true,,,,poll60795401
County Services Building ,"724 S. Seventh St., Room 100, Coshocton, OH 43812",,08:00 AM-05:00 PM,,ho59314401,false,true,,,,poll79090571
Courthouse ,"112 East Mansfield St., Ste A, Bucyrus, OH 44820",,08:00 AM-05:00 PM,,ho21239899,false,true,,,,poll7387028
Board of Elections Building,"2925 Euclid Ave., Cleveland, OH 44115",,08:00 AM-05:00 PM,,ho43387163,false,true,,,,poll34380944
Courthouse ,"300 Garst Ave., Ste 7, Greenville, OH 45331",,08:00 AM-05:00 PM,,ho62337684,false,true,,,,poll86823394
County Administration Building,"1300 E. Second St., Ste 103, Defiance, OH 43512",,08:00 AM-05:00 PM,,ho56933950,false,true,,,,poll70489438
County Administration Building,"2079 U.S. 23 North, Delaware, OH 43015",,08:00 AM-05:00 PM,,ho80178031,false,true,,,,poll45389382
Board of Elections Building,"2900 Columbus Ave., Room 101, Sandusky, OH 44870",,08:00 AM-05:00 PM,,ho43114074,false,true,,,,poll57248633
Education Service Center,"951 Liberty Dr., Lancaster, OH 43130",,08:00 AM-05:00 PM,,ho94639840,false,true,,,,poll22267827
Courthouse,"135 S. Main St., Washington Courthouse, OH 43160",,08:00 AM-05:00 PM,,ho12292341,false,true,,,,poll36588366
Board of Elections Building,"1700 Morse Road, Columbus, OH 43229",,08:00 AM-05:00 PM,,ho28116902,false,true,,,,poll2889401
Courthouse,"135 Courthouse Plaza, Wauseon, OH 43567",,08:00 AM-05:00 PM,,ho32105280,false,true,,,,poll23337850
Courthouse,"18 Locust St., Room 1266, Gallipolis, OH 45631",,08:00 AM-05:00 PM,,ho46339497,false,true,,,,poll65526717
County Administration Building,"470 Center St., Building 6A, Chardon, OH 44024",,08:00 AM-05:00 PM,,ho66763550,false,true,,,,poll19320401
Board of Elections Building,"551 Ledbetter Rd., Xenia, OH 45385",,08:00 AM-05:00 PM,,ho26938750,false,true,,,,poll72176106
Courthouse,"627 Wheeling Ave., Ste 101, Cambridge, OH 43725",,08:00 AM-05:00 PM,,ho43227882,false,true,,,,poll12706768
Board of Elections Building,"824 Broadway St., Cincinnati, OH 45202",,08:00 AM-05:00 PM,,ho5816256,false,true,,,,poll20707645
Board of Elections Building,"201 E. Lincoln St., Findlay, OH 45840",,08:00 AM-05:00 PM,,ho98294523,false,true,,,,poll47109245
Courthouse,"One Courthouse Sq., Ste 40, Kenton, OH 43326",,08:00 AM-05:00 PM,,ho27993310,false,true,,,,poll89981592
Bureau of Motor Vehicles,"538 N. Main St., Ste B, Cadiz, OH 43907",,08:00 AM-05:00 PM,,ho33120893,false,true,,,,poll12559011
Board of Elections Building,"1827 Oakwood Ave., Napoleon, OH 43545",,08:00 AM-05:00 PM,,ho12779177,false,true,,,,poll57893286
Administration Building,"1575 N. High St., Ste 200, Hillsboro, OH 45133",,08:00 AM-05:00 PM,,ho79790558,false,true,,,,poll63092675
Veterans Services Offices,"93 W. Hunter St., Logan, OH 43138",,08:00 AM-05:00 PM,,ho83619412,false,true,,,,poll75179399
Children Services Building,"75 E. Clinton St., Ste 108, Millersburg, OH 44654",,08:00 AM-05:00 PM,,ho5761675,false,true,,,,poll31238580
County Administration Building,"180 Milan Ave., Ste 4, Norwalk, OH 44857",,08:00 AM-05:00 PM,,ho78682590,false,true,,,,poll62761881
