start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:00:00-04:00,17:00:00-04:00,,,,2016-10-12,2016-10-14,ho20648121,sch0001
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho20648121,sch0002
08:00:00-04:00,18:00:00-04:00,,,,2016-10-24,2016-10-28,ho20648121,sch0003
08:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho20648121,sch0004
13:00:00-04:00,17:00:00-04:00,,,,2016-10-30,2016-10-30,ho20648121,sch0005
08:00:00-04:00,19:00:00-04:00,,,,2016-10-31,2016-11-04,ho20648121,sch0006
08:00:00-04:00,16:00:00-04:00,,,,2016-11-05,2016-11-05,ho20648121,sch0007
13:00:00-05:00,17:00:00-05:00,,,,2016-11-06,2016-11-06,ho20648121,sch0008
08:00:00-05:00,14:00:00-05:00,,,,2016-11-07,2016-11-07,ho20648121,sch0009
08:00:00-04:00,17:00:00-04:00,,,,2016-10-12,2016-10-14,ho25716855,sch0010
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho25716855,sch0011
08:00:00-04:00,18:00:00-04:00,,,,2016-10-24,2016-10-28,ho25716855,sch0012
08:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho25716855,sch0013
13:00:00-04:00,17:00:00-04:00,,,,2016-10-30,2016-10-30,ho25716855,sch0014
08:00:00-04:00,19:00:00-04:00,,,,2016-10-31,2016-11-04,ho25716855,sch0015
08:00:00-04:00,16:00:00-04:00,,,,2016-11-05,2016-11-05,ho25716855,sch0016
13:00:00-05:00,17:00:00-05:00,,,,2016-11-06,2016-11-06,ho25716855,sch0017
08:00:00-05:00,14:00:00-05:00,,,,2016-11-07,2016-11-07,ho25716855,sch0018
08:00:00-04:00,17:00:00-04:00,,,,2016-10-12,2016-10-14,ho47946498,sch0019
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho47946498,sch0020
08:00:00-04:00,18:00:00-04:00,,,,2016-10-24,2016-10-28,ho47946498,sch0021
08:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho47946498,sch0022
13:00:00-04:00,17:00:00-04:00,,,,2016-10-30,2016-10-30,ho47946498,sch0023
08:00:00-04:00,19:00:00-04:00,,,,2016-10-31,2016-11-04,ho47946498,sch0024
08:00:00-04:00,16:00:00-04:00,,,,2016-11-05,2016-11-05,ho47946498,sch0025
13:00:00-05:00,17:00:00-05:00,,,,2016-11-06,2016-11-06,ho47946498,sch0026
08:00:00-05:00,14:00:00-05:00,,,,2016-11-07,2016-11-07,ho47946498,sch0027
08:00:00-04:00,17:00:00-04:00,,,,2016-10-12,2016-10-14,ho27068054,sch0028
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho27068054,sch0029
08:00:00-04:00,18:00:00-04:00,,,,2016-10-24,2016-10-28,ho27068054,sch0030
08:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho27068054,sch0031
13:00:00-04:00,17:00:00-04:00,,,,2016-10-30,2016-10-30,ho27068054,sch0032
08:00:00-04:00,19:00:00-04:00,,,,2016-10-31,2016-11-04,ho27068054,sch0033
08:00:00-04:00,16:00:00-04:00,,,,2016-11-05,2016-11-05,ho27068054,sch0034
13:00:00-05:00,17:00:00-05:00,,,,2016-11-06,2016-11-06,ho27068054,sch0035
08:00:00-05:00,14:00:00-05:00,,,,2016-11-07,2016-11-07,ho27068054,sch0036
08:00:00-04:00,17:00:00-04:00,,,,2016-10-12,2016-10-14,ho49161635,sch0037
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho49161635,sch0038
08:00:00-04:00,18:00:00-04:00,,,,2016-10-24,2016-10-28,ho49161635,sch0039
08:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho49161635,sch0040
13:00:00-04:00,17:00:00-04:00,,,,2016-10-30,2016-10-30,ho49161635,sch0041
