election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:ok/county:adair,ocd-division/country:us/state:ok/county:ad0007,poll95490060,st40,other,,loc0001
,ocd-id,,ocd-division/country:us/state:ok/county:alfalfa,ocd-division/country:us/state:ok/county:alfa0009,poll48873485,st40,other,,loc0002
,ocd-id,,ocd-division/country:us/state:ok/county:atoka,ocd-division/country:us/state:ok/county:at0012,poll3009530,st40,other,,loc0003
,ocd-id,,ocd-division/country:us/state:ok/county:beaver,ocd-division/country:us/state:ok/county:bea0013,poll13201958,st40,other,,loc0004
,ocd-id,,ocd-division/country:us/state:ok/county:beckham,ocd-division/country:us/state:ok/county:beck0016,poll6887701,st40,other,,loc0005
,ocd-id,,ocd-division/country:us/state:ok/county:blaine,ocd-division/country:us/state:ok/county:bla0017,poll99769698,st40,other,,loc0006
,ocd-id,,ocd-division/country:us/state:ok/county:bryan,ocd-division/country:us/state:ok/county:br0020,poll51636434,st40,other,,loc0007
,ocd-id,,ocd-division/country:us/state:ok/county:caddo,ocd-division/country:us/state:ok/county:ca0021,poll5181390,st40,other,,loc0008
,ocd-id,,ocd-division/country:us/state:ok/county:canadian,ocd-division/country:us/state:ok/county:canad0023,poll32426701,st40,other,,loc0009
,ocd-id,,ocd-division/country:us/state:ok/county:carter,ocd-division/country:us/state:ok/county:car0026,poll23793978,st40,other,,loc0010
,ocd-id,,ocd-division/country:us/state:ok/county:cherokee,ocd-division/country:us/state:ok/county:chero0028,poll10306671,st40,other,,loc0011
,ocd-id,,ocd-division/country:us/state:ok/county:choctaw,ocd-division/country:us/state:ok/county:choc0029,poll66617321,st40,other,,loc0012
,ocd-id,,ocd-division/country:us/state:ok/county:cimarron,ocd-division/country:us/state:ok/county:cimar0031,poll65183154,st40,other,,loc0013
,ocd-id,,ocd-division/country:us/state:ok/county:cleveland,ocd-division/country:us/state:ok/county:clevel0005,poll97222459 poll5969591,st40,other,,loc0014
,ocd-id,,ocd-division/country:us/state:ok/county:coal,ocd-division/country:us/state:ok/county:c0036,poll37741335,st40,other,,loc0015
,ocd-id,,ocd-division/country:us/state:ok/county:comanche,ocd-division/country:us/state:ok/county:coman0038,poll6598433,st40,other,,loc0016
,ocd-id,,ocd-division/country:us/state:ok/county:cotton,ocd-division/country:us/state:ok/county:cot0039,poll75185106,st40,other,,loc0017
,ocd-id,,ocd-division/country:us/state:ok/county:craig,ocd-division/country:us/state:ok/county:cr0041,poll64332861,st40,other,,loc0018
,ocd-id,,ocd-division/country:us/state:ok/county:creek,ocd-division/country:us/state:ok/county:cr0044,poll43103248,st40,other,,loc0019
,ocd-id,,ocd-division/country:us/state:ok/county:custer,ocd-division/country:us/state:ok/county:cus0045,poll30295774,st40,other,,loc0020
,ocd-id,,ocd-division/country:us/state:ok/county:delaware,ocd-division/country:us/state:ok/county:delaw0048,poll50693548,st40,other,,loc0021
,ocd-id,,ocd-division/country:us/state:ok/county:dewey,ocd-division/country:us/state:ok/county:de0050,poll83443382,st40,other,,loc0022
,ocd-id,,ocd-division/country:us/state:ok/county:ellis,ocd-division/country:us/state:ok/county:el0052,poll48764544,st40,other,,loc0023
,ocd-id,,ocd-division/country:us/state:ok/county:garfield,ocd-division/country:us/state:ok/county:garfi0053,poll71880365,st40,other,,loc0024
,ocd-id,,ocd-division/country:us/state:ok/county:garvin,ocd-division/country:us/state:ok/county:gar0056,poll66656361,st40,other,,loc0025
,ocd-id,,ocd-division/country:us/state:ok/county:grady,ocd-division/country:us/state:ok/county:gr0058,poll30168086,st40,other,,loc0026
,ocd-id,,ocd-division/country:us/state:ok/county:grant,ocd-division/country:us/state:ok/county:gr0060,poll74404131,st40,other,,loc0027
,ocd-id,,ocd-division/country:us/state:ok/county:greer,ocd-division/country:us/state:ok/county:gr0062,poll69188730,st40,other,,loc0028
,ocd-id,,ocd-division/country:us/state:ok/county:harmon,ocd-division/country:us/state:ok/county:har0064,poll73849956,st40,other,,loc0029
,ocd-id,,ocd-division/country:us/state:ok/county:harper,ocd-division/country:us/state:ok/county:har0065,poll44675855,st40,other,,loc0030
,ocd-id,,ocd-division/country:us/state:ok/county:haskell,ocd-division/country:us/state:ok/county:hask0068,poll82539719,st40,other,,loc0031
,ocd-id,,ocd-division/country:us/state:ok/county:hughes,ocd-division/country:us/state:ok/county:hug0069,poll75653454,st40,other,,loc0032
,ocd-id,,ocd-division/country:us/state:ok/county:jackson,ocd-division/country:us/state:ok/county:jack0071,poll86326982,st40,other,,loc0033
,ocd-id,,ocd-division/country:us/state:ok/county:jefferson,ocd-division/country:us/state:ok/county:jeffer0073,poll36620450,st40,other,,loc0034
,ocd-id,,ocd-division/country:us/state:ok/county:johnston,ocd-division/country:us/state:ok/county:johns0076,poll99731595,st40,other,,loc0035
,ocd-id,,ocd-division/country:us/state:ok/county:kay,ocd-division/country:us/state:ok/county:0077,poll11549100,st40,other,,loc0036
,ocd-id,,ocd-division/country:us/state:ok/county:kingfisher,ocd-division/country:us/state:ok/county:kingfis0080,poll56882849,st40,other,,loc0037
,ocd-id,,ocd-division/country:us/state:ok/county:kiowa,ocd-division/country:us/state:ok/county:ki0082,poll37086760,st40,other,,loc0038
,ocd-id,,ocd-division/country:us/state:ok/county:latimer,ocd-division/country:us/state:ok/county:lati0084,poll14940288,st40,other,,loc0039
,ocd-id,,ocd-division/country:us/state:ok/county:le_flore,ocd-division/country:us/state:ok/county:le_fl0086,poll57002759,st40,other,,loc0040
,ocd-id,,ocd-division/country:us/state:ok/county:lincoln,ocd-division/country:us/state:ok/county:linc0087,poll96322106,st40,other,,loc0041
,ocd-id,,ocd-division/country:us/state:ok/county:logan,ocd-division/country:us/state:ok/county:lo0089,poll37998762,st40,other,,loc0042
,ocd-id,,ocd-division/country:us/state:ok/county:love,ocd-division/country:us/state:ok/county:l0092,poll51841705,st40,other,,loc0043
,ocd-id,,ocd-division/country:us/state:ok/county:major,ocd-division/country:us/state:ok/county:ma0099,poll43596399,st40,other,,loc0044
,ocd-id,,ocd-division/country:us/state:ok/county:marshall,ocd-division/country:us/state:ok/county:marsh0101,poll8424927,st40,other,,loc0045
,ocd-id,,ocd-division/country:us/state:ok/county:mayes,ocd-division/country:us/state:ok/county:ma0104,poll87691214,st40,other,,loc0046
,ocd-id,,ocd-division/country:us/state:ok/county:mcclain,ocd-division/country:us/state:ok/county:mccl0093,poll2225558,st40,other,,loc0047
,ocd-id,,ocd-division/country:us/state:ok/county:mccurtain,ocd-division/country:us/state:ok/county:mccurt0096,poll68128971,st40,other,,loc0048
,ocd-id,,ocd-division/country:us/state:ok/county:mcintosh,ocd-division/country:us/state:ok/county:mcint0098,poll92735547,st40,other,,loc0049
,ocd-id,,ocd-division/country:us/state:ok/county:murray,ocd-division/country:us/state:ok/county:mur0106,poll22331772,st40,other,,loc0050
