office_name,title,ocd_division,description,homepage,phone,email,loc_name,street,city,state,zip,start_time,end_time,start_date,end_date,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Tulsa County,County Clerk,ocd-division/country:us/state:ok/county:tulsa,Tulsa County OK,,918-596-5780,,Hardesty Library,8316 E 93rd St,Tulsa,OK,74133,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,1,Hardesty Library,"8316 E 93rd St, Tulsa, OK 74133",,08:00 AM - 06:00 PM,,ho21965500,false,true,,,,poll70869149
Tulsa County,County Clerk,ocd-division/country:us/state:ok/county:tulsa,Tulsa County OK,,918-596-5780,,Hardesty Library,8316 E 93rd St,Tulsa,OK,74133,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,2,Hardesty Library,"8316 E 93rd St, Tulsa, OK 74133",,09:00 AM - 02:00 PM,,ho21965500,false,true,,,,poll70869149
Oklahoma County,County Clerk,ocd-division/country:us/state:ok/county:oklahoma,Oklahoma County OK,,405-713-1515,,Edmond Church of Christ,801 S Bryant Ave,Edmond,OK,73034,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,3,Edmond Church of Christ,"801 S Bryant Ave, Edmond, OK 73034",,08:00 AM - 06:00 PM,,ho20281704,false,true,,,,poll43247183
Oklahoma County,County Clerk,ocd-division/country:us/state:ok/county:oklahoma,Oklahoma County OK,,405-713-1515,,Edmond Church of Christ,801 S Bryant Ave,Edmond,OK,73034,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,4,Edmond Church of Christ,"801 S Bryant Ave, Edmond, OK 73034",,09:00 AM - 02:00 PM,,ho20281704,false,true,,,,poll43247183
Cleveland County,County Clerk,ocd-division/country:us/state:ok/county:cleveland,Cleveland County OK,,405-366-0210,,Moore Norman Technology Center,"SW 134th St & S Pennsylvania Ave,",Oklahoma City,OK,73170,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,5,Moore Norman Technology Center,"SW 134th St & S Pennsylvania Ave, Oklahoma City, OK 73170",,08:00 AM - 06:00 PM,,ho87295646,false,true,,,,poll97222459
Cleveland County,County Clerk,ocd-division/country:us/state:ok/county:cleveland,Cleveland County OK,,405-366-0210,,Moore Norman Technology Center,"SW 134th St & S Pennsylvania Ave,",Oklahoma City,OK,73170,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,6,Moore Norman Technology Center,"SW 134th St & S Pennsylvania Ave, Oklahoma City, OK 73170",,09:00 AM - 02:00 PM,,ho87295646,false,true,,,,poll97222459
Adair County,County Clerk,ocd-division/country:us/state:ok/county:adair,Adair County OK,,918-696-7221,,,4 E Walnut St,Stilwell,OK,74960,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,7,,"4 E Walnut St, Stilwell, OK 74960",,08:00 AM - 06:00 PM,,ho63233385,false,true,,,,poll95490060
Adair County,County Clerk,ocd-division/country:us/state:ok/county:adair,Adair County OK,,918-696-7221,,,4 E Walnut St,Stilwell,OK,74960,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,8,,"4 E Walnut St, Stilwell, OK 74960",,09:00 AM - 02:00 PM,,ho63233385,false,true,,,,poll95490060
Alfalfa County,County Clerk,ocd-division/country:us/state:ok/county:alfalfa,Alfalfa County OK,,580-596-2718,,,602 W 5th St,Grove,OK,74344,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,9,,"602 W 5th St, Grove, OK 74344",,08:00 AM - 06:00 PM,,ho63805699,false,true,,,,poll48873485
Alfalfa County,County Clerk,ocd-division/country:us/state:ok/county:alfalfa,Alfalfa County OK,,580-596-2718,,,602 W 5th St,Grove,OK,74344,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,10,,"602 W 5th St, Grove, OK 74344",,09:00 AM - 02:00 PM,,ho63805699,false,true,,,,poll48873485
Atoka County,County Clerk,ocd-division/country:us/state:ok/county:atoka,Atoka County OK,,580-889-5297,,County Courthouse,200 E Court St,Atoka,OK,74525,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,11,County Courthouse,"200 E Court St, Atoka, OK 74525",,08:00 AM - 06:00 PM,,ho22525279,false,true,,,,poll3009530
Atoka County,County Clerk,ocd-division/country:us/state:ok/county:atoka,Atoka County OK,,580-889-5297,,County Courthouse,200 E Court St,Atoka,OK,74525,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,12,County Courthouse,"200 E Court St, Atoka, OK 74525",,09:00 AM - 02:00 PM,,ho22525279,false,true,,,,poll3009530
Beaver County,County Clerk,ocd-division/country:us/state:ok/county:beaver,Beaver County OK,,580-625-4742,,County Courthouse,111 W 2nd St,Beaver,OK,73932,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,13,County Courthouse,"111 W 2nd St, Beaver, OK 73932",,08:00 AM - 06:00 PM,,ho56238586,false,true,,,,poll13201958
Beaver County,County Clerk,ocd-division/country:us/state:ok/county:beaver,Beaver County OK,,580-625-4742,,County Courthouse,111 W 2nd St,Beaver,OK,73932,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,14,County Courthouse,"111 W 2nd St, Beaver, OK 73932",,09:00 AM - 02:00 PM,,ho56238586,false,true,,,,poll13201958
Beckham County,County Clerk,ocd-division/country:us/state:ok/county:beckham,Beckham County OK,,580-928-3314,,,306 E Main St,Davis,OK,73030,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,15,,"306 E Main St, Davis, OK 73030",,08:00 AM - 06:00 PM,,ho75686557,false,true,,,,poll6887701
Beckham County,County Clerk,ocd-division/country:us/state:ok/county:beckham,Beckham County OK,,580-928-3314,,,306 E Main St,Davis,OK,73030,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,16,,"306 E Main St, Davis, OK 73030",,09:00 AM - 02:00 PM,,ho75686557,false,true,,,,poll6887701
Blaine County,County Clerk,ocd-division/country:us/state:ok/county:blaine,Blaine County OK,,580-623-5518,,County Courthouse,212 N Weigle Ave,Watonga,OK,73772,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,17,County Courthouse,"212 N Weigle Ave, Watonga, OK 73772",,08:00 AM - 06:00 PM,,ho61802384,false,true,,,,poll99769698
Blaine County,County Clerk,ocd-division/country:us/state:ok/county:blaine,Blaine County OK,,580-623-5518,,County Courthouse,212 N Weigle Ave,Watonga,OK,73772,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,18,County Courthouse,"212 N Weigle Ave, Watonga, OK 73772",,09:00 AM - 02:00 PM,,ho61802384,false,true,,,,poll99769698
Bryan County,County Clerk,ocd-division/country:us/state:ok/county:bryan,Bryan County OK,,580-924-3228,,,402 W Evergreen St,Durant,OK,74701,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,19,,"402 W Evergreen St, Durant, OK 74701",,08:00 AM - 06:00 PM,,ho57945434,false,true,,,,poll51636434
Bryan County,County Clerk,ocd-division/country:us/state:ok/county:bryan,Bryan County OK,,580-924-3228,,,402 W Evergreen St,Durant,OK,74701,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,20,,"402 W Evergreen St, Durant, OK 74701",,09:00 AM - 02:00 PM,,ho57945434,false,true,,,,poll51636434
Caddo County,County Clerk,ocd-division/country:us/state:ok/county:caddo,Caddo County OK,,405-247-5001,,,110 SW 2nd St,Lawton,OK,73501,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,21,,"110 SW 2nd St, Lawton, OK 73501",,08:00 AM - 06:00 PM,,ho56925920,false,true,,,,poll5181390
Caddo County,County Clerk,ocd-division/country:us/state:ok/county:caddo,Caddo County OK,,405-247-5001,,,110 SW 2nd St,Lawton,OK,73501,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,22,,"110 SW 2nd St, Lawton, OK 73501",,09:00 AM - 02:00 PM,,ho56925920,false,true,,,,poll5181390
Canadian County,County Clerk,ocd-division/country:us/state:ok/county:canadian,Canadian County OK,,405-422-2422,,,200 S Bickford Ave,El Reno,OK,73036,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,23,,"200 S Bickford Ave, El Reno, OK 73036",,08:00 AM - 06:00 PM,,ho15334198,false,true,,,,poll32426701
Canadian County,County Clerk,ocd-division/country:us/state:ok/county:canadian,Canadian County OK,,405-422-2422,,,200 S Bickford Ave,El Reno,OK,73036,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,24,,"200 S Bickford Ave, El Reno, OK 73036",,09:00 AM - 02:00 PM,,ho15334198,false,true,,,,poll32426701
Carter County,County Clerk,ocd-division/country:us/state:ok/county:carter,Carter County OK,,580-223-5290,,Courthouse Annex #1,106 Hinkle St SW,El Reno,OK,73036,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,25,Courthouse Annex #1,"106 Hinkle St SW, El Reno, OK 73036",,08:00 AM - 06:00 PM,,ho58364668,false,true,,,,poll23793978
Carter County,County Clerk,ocd-division/country:us/state:ok/county:carter,Carter County OK,,580-223-5290,,Courthouse Annex #1,106 Hinkle St SW,El Reno,OK,73036,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,26,Courthouse Annex #1,"106 Hinkle St SW, El Reno, OK 73036",,09:00 AM - 02:00 PM,,ho58364668,false,true,,,,poll23793978
Cherokee County,County Clerk,ocd-division/country:us/state:ok/county:cherokee,Cherokee County OK,,918-456-2261,,,914 S College Ave,Tahlequah,OK,74464,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,27,,"914 S College Ave, Tahlequah, OK 74464",,08:00 AM - 06:00 PM,,ho467941,false,true,,,,poll10306671
Cherokee County,County Clerk,ocd-division/country:us/state:ok/county:cherokee,Cherokee County OK,,918-456-2261,,,914 S College Ave,Tahlequah,OK,74464,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,28,,"914 S College Ave, Tahlequah, OK 74464",,09:00 AM - 02:00 PM,,ho467941,false,true,,,,poll10306671
Choctaw County,County Clerk,ocd-division/country:us/state:ok/county:choctaw,Choctaw County OK ,,580-326-5164,,County Courthouse,300 E Duke St,Hugo,OK,74743,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,29,County Courthouse,"300 E Duke St, Hugo, OK 74743",,08:00 AM - 06:00 PM,,ho98877841,false,true,,,,poll66617321
Choctaw County,County Clerk,ocd-division/country:us/state:ok/county:choctaw,Choctaw County OK ,,580-326-5164,,County Courthouse,300 E Duke St,Hugo,OK,74743,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,30,County Courthouse,"300 E Duke St, Hugo, OK 74743",,09:00 AM - 02:00 PM,,ho98877841,false,true,,,,poll66617321
Cimarron County,County Clerk,ocd-division/country:us/state:ok/county:cimarron,Cimarron County OK,,580-544-3377,,County Courthouse,1 Courthouse Square,Boise City,OK,73933,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,31,County Courthouse,"1 Courthouse Square, Boise City, OK 73933",,08:00 AM - 06:00 PM,,ho97112187,false,true,,,,poll65183154
Cimarron County,County Clerk,ocd-division/country:us/state:ok/county:cimarron,Cimarron County OK,,580-544-3377,,County Courthouse,1 Courthouse Square,Boise City,OK,73933,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,32,County Courthouse,"1 Courthouse Square, Boise City, OK 73933",,09:00 AM - 02:00 PM,,ho97112187,false,true,,,,poll65183154
Cleveland County,County Clerk,ocd-division/country:us/state:ok/county:cleveland,Cleveland County OK,,405-366-0210,,,641 E Robinson St,Norman,OK,73071,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,33,,"641 E Robinson St, Norman, OK 73071",,08:00 AM - 06:00 PM,,ho13811392,false,true,,,,poll5969591
Cleveland County,County Clerk,ocd-division/country:us/state:ok/county:cleveland,Cleveland County OK,,405-366-0210,,,641 E Robinson St,Norman,OK,73071,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,34,,"641 E Robinson St, Norman, OK 73071",,09:00 AM - 02:00 PM,,ho13811392,false,true,,,,poll5969591
Coal County,County Clerk,ocd-division/country:us/state:ok/county:coal,Coal County OK,,580-927-3456,,,18 N Michigan St,Coalgate,OK,74538,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,35,,"18 N Michigan St, Coalgate, OK 74538",,08:00 AM - 06:00 PM,,ho65101213,false,true,,,,poll37741335
Coal County,County Clerk,ocd-division/country:us/state:ok/county:coal,Coal County OK,,580-927-3456,,,18 N Michigan St,Coalgate,OK,74538,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,36,,"18 N Michigan St, Coalgate, OK 74538",,09:00 AM - 02:00 PM,,ho65101213,false,true,,,,poll37741335
Comanche County,County Clerk,ocd-division/country:us/state:ok/county:comanche,Comanche County OK,,580-353-1880,,County Courthouse,315 SW 5th St,Lawton,OK,73501,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,37,County Courthouse,"315 SW 5th St, Lawton, OK 73501",,08:00 AM - 06:00 PM,,ho69797791,false,true,,,,poll6598433
Comanche County,County Clerk,ocd-division/country:us/state:ok/county:comanche,Comanche County OK,,580-353-1880,,County Courthouse,315 SW 5th St,Lawton,OK,73501,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,38,County Courthouse,"315 SW 5th St, Lawton, OK 73501",,09:00 AM - 02:00 PM,,ho69797791,false,true,,,,poll6598433
Cotton County,County Clerk,ocd-division/country:us/state:ok/county:cotton,Cotton County OK,,580-875-3403,,County Courthouse,301 N Broadway St,Walters,OK,73572,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,39,County Courthouse,"301 N Broadway St, Walters, OK 73572",,08:00 AM - 06:00 PM,,ho21794390,false,true,,,,poll75185106
Cotton County,County Clerk,ocd-division/country:us/state:ok/county:cotton,Cotton County OK,,580-875-3403,,County Courthouse,301 N Broadway St,Walters,OK,73572,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,40,County Courthouse,"301 N Broadway St, Walters, OK 73572",,09:00 AM - 02:00 PM,,ho21794390,false,true,,,,poll75185106
Craig County,County Clerk,ocd-division/country:us/state:ok/county:craig,Craig County OK,,918-256-7559,,,210 W Delaware Ave,Vinita,OK,74301,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,41,,"210 W Delaware Ave, Vinita, OK 74301",,08:00 AM - 06:00 PM,,ho76925189,false,true,,,,poll64332861
Craig County,County Clerk,ocd-division/country:us/state:ok/county:craig,Craig County OK,,918-256-7559,,,210 W Delaware Ave,Vinita,OK,74301,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,42,,"210 W Delaware Ave, Vinita, OK 74301",,09:00 AM - 02:00 PM,,ho76925189,false,true,,,,poll64332861
Creek County,County Clerk,ocd-division/country:us/state:ok/county:creek,Creek County OK,,918-224-3529,,,230 E Hobson Ave,Sapulpa,OK,74066,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16,43,,"230 E Hobson Ave, Sapulpa, OK 74066",,08:00 AM - 06:00 PM,,ho1230586,false,true,,,,poll43103248
Creek County,County Clerk,ocd-division/country:us/state:ok/county:creek,Creek County OK,,918-224-3529,,,230 E Hobson Ave,Sapulpa,OK,74066,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,44,,"230 E Hobson Ave, Sapulpa, OK 74066",,09:00 AM - 02:00 PM,,ho1230586,false,true,,,,poll43103248
