county,address_line,directions,start_date,end_date,days_open,hours
County of Hawaii,"County of Hawaii Aupuni Center
Conference Room
101 Pauahi Street, Suite 1 Hilo, Hawaii 96720",,10/25/16,11/5/16,Monday-Saturday,8:00AM-4:00PM
County of Hawaii,"West Hawaii Civic Center
Community Room (Building G) 74-5044 Ane Keohokalole Highway Kailua Kona, Hawaii 96740",,10/25/16,11/5/16,Monday-Saturday,8:00AM-4:00PM
County of Hawaii,"Waimea Community Center
65-1260 Kawaihae Road Kamuela, Hawaii 96743",,10/25/16,11/5/16,Monday-Friday,8:00AM-4:00PM
County of Hawaii,"Waimea Community Center
65-1260 Kawaihae Road Kamuela, Hawaii 96743",,11/5/16,11/5/16,Saturday,12:00pm
County of Hawaii,"Pahala Community Center 96-1149 Kamani Street Pahala, Hawaii 96777",,10/25/16,11/3/16,Monday-Friday,9:00am-12:00pm
County of Hawaii,"Pahala Community Center 96-1149 Kamani Street Pahala, Hawaii 96777",,10/25/16,11/3/16,Monday-Friday,1:00pm-3:00pm
County of Kauai,"Lihue Neighborhood Center
3353 Eono Street Lihue, Hawaii 96766",,10/25/16,11/5/16,Monday-Saturday,8:00AM-4:00PM
County of Maui,"Office of the County Clerk
200 South High Street, Room #708 Wailuku, Hawaii 96793",,10/25/16,11/5/16,Monday-Saturday,8:00AM-4:00PM
County of Maui,"Mitchell Pauole Center
Conference Room
90 Ainoa Street Kaunakakai, Hawaii 96748",,10/25/16,11/5/16,Monday-Friday,8:00AM-12:00PM
County of Maui,"Mitchell Pauole Center
Conference Room
90 Ainoa Street Kaunakakai, Hawaii 96748",,10/25/16,11/5/16,Monday-Friday,1:00PM-4:00PM
County of Maui,"Mitchell Pauole Center
Conference Room
90 Ainoa Street Kaunakakai, Hawaii 96748",,10/25/16,11/5/16,Saturday,8:00AM-12:00PM
City & County of Honolulu,"Honolulu Hale, 530 South King Street Honolulu, Hawaii 96813",,10/25/16,11/5/16,Monday-Saturday,8:00AM-4:00PM
City & County of Honolulu,"Kapolei Hale
1000 Uluohia Street Kapolei, Hawaii 96707",,10/25/16,11/5/16,Monday-Saturday,8:00AM-4:00PM
