ocd-division,COUNTY,Location Name,Address 1,Address 2,City,State,Zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change,
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,9/23/16,9/23/16,no,no,,no,
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,9/26/16,9/30/16,no,no,,no,
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,10/3/16,10/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,10/10/16,10/14/16,no,no,,no,
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,10/17/16,10/21/16,no,no,,no,
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,10/24/16,10/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1630,10/31/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,1000,1500,11/5/16,11/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,Aitkin,MN,56431,800,1700,11/7/16,11/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,800,1630,9/23/16,9/23/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,800,1630,9/26/16,9/30/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,800,1630,10/3/16,10/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,800,1630,10/10/16,10/14/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,800,1630,10/17/16,10/21/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,800,1630,10/24/16,10/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,800,1630,10/31/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,1000,1500,11/5/16,11/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,Andover,MN,55304,800,1700,11/7/16,11/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka City Hall,2015 First Ave North,,Anoka,MN,55303,800,1630,9/23/16,9/23/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka City Hall,2015 First Ave North,,Anoka,MN,55303,800,1630,9/26/16,9/30/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka City Hall,2015 First Ave North,,Anoka,MN,55303,800,1630,10/3/16,10/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka City Hall,2015 First Ave North,,Anoka,MN,55303,800,1630,10/10/16,10/14/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka City Hall,2015 First Ave North,,Anoka,MN,55303,800,1630,10/17/16,10/21/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka City Hall,2015 First Ave North,,Anoka,MN,55303,800,1630,10/24/16,10/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka City Hall,2015 First Ave North,,Anoka,MN,55303,800,1630,10/31/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka City Hall,2015 First Ave North,,Anoka,MN,55303,1000,1300,11/5/16,11/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka City Hall,2015 First Ave North,,Anoka,MN,55303,800,1700,11/7/16,11/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Bethel - Sandhill Center,23820 Dewey St,,Bethel,MN,55005,725,1425,9/23/16,9/23/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Bethel - Sandhill Center,23820 Dewey St,,Bethel,MN,55005,725,1425,9/26/16,9/30/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Bethel - Sandhill Center,23820 Dewey St,,Bethel,MN,55005,725,1425,10/3/16,10/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Bethel - Sandhill Center,23820 Dewey St,,Bethel,MN,55005,725,1425,10/10/16,10/14/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Bethel - Sandhill Center,23820 Dewey St,,Bethel,MN,55005,725,1425,10/17/16,10/21/16,no,no,,no,
