ocd_division,email,county,location_name,address_1,address_2,city,state,zip_code,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,appointment_phone,is_subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,09-23-2016,09-23-2016,False,False,False,False,1,"401 N Main St, Plankinton, SD 57368",,08:00 AM-04:30 PM,,ho88017211,false,false,,,,poll56064814
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,09-26-2016,09-30-2016,False,False,False,False,2,"401 N Main St, Plankinton, SD 57368",,08:00 AM-04:30 PM,,ho88017211,false,false,,,,poll56064814
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,10-03-2016,10-07-2016,False,False,False,False,3,"401 N Main St, Plankinton, SD 57368",,08:00 AM-04:30 PM,,ho88017211,false,false,,,,poll56064814
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,10-10-2016,10-14-2016,False,False,False,False,4,"401 N Main St, Plankinton, SD 57368",,08:00 AM-04:30 PM,,ho88017211,false,false,,,,poll56064814
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,10-17-2016,10-21-2016,False,False,False,False,5,"401 N Main St, Plankinton, SD 57368",,08:00 AM-04:30 PM,,ho88017211,false,false,,,,poll56064814
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,10-24-2016,10-28-2016,False,False,False,False,6,"401 N Main St, Plankinton, SD 57368",,08:00 AM-04:30 PM,,ho88017211,false,false,,,,poll56064814
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,10-31-2016,11-04-2016,False,False,False,False,7,"401 N Main St, Plankinton, SD 57368",,08:00 AM-04:30 PM,,ho88017211,false,false,,,,poll56064814
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 6:00,17:00:00 - 6:00,11-07-2016,11-07-2016,False,False,False,False,8,"401 N Main St, Plankinton, SD 57368",,08:00 AM-05:00 PM,,ho88017211,false,false,,,,poll56064814
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,09-23-2016,09-23-2016,False,False,False,False,9,"450 3rd St. SW Ste. 201, Huron, SD 57350",,08:00 AM-05:00 PM,,ho10283989,false,false,,,,poll85245650
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,09-26-2016,09-30-2016,False,False,False,False,10,"450 3rd St. SW Ste. 201, Huron, SD 57350",,08:00 AM-05:00 PM,,ho10283989,false,false,,,,poll85245650
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,10-03-2016,10-07-2016,False,False,False,False,11,"450 3rd St. SW Ste. 201, Huron, SD 57350",,08:00 AM-05:00 PM,,ho10283989,false,false,,,,poll85245650
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,10-10-2016,10-14-2016,False,False,False,False,12,"450 3rd St. SW Ste. 201, Huron, SD 57350",,08:00 AM-05:00 PM,,ho10283989,false,false,,,,poll85245650
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,10-17-2016,10-21-2016,False,False,False,False,13,"450 3rd St. SW Ste. 201, Huron, SD 57350",,08:00 AM-05:00 PM,,ho10283989,false,false,,,,poll85245650
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,10-24-2016,10-28-2016,False,False,False,False,14,"450 3rd St. SW Ste. 201, Huron, SD 57350",,08:00 AM-05:00 PM,,ho10283989,false,false,,,,poll85245650
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,10-31-2016,11-04-2016,False,False,False,False,15,"450 3rd St. SW Ste. 201, Huron, SD 57350",,08:00 AM-05:00 PM,,ho10283989,false,false,,,,poll85245650
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 6:00,17:00:00 - 6:00,11-07-2016,11-07-2016,False,False,False,False,16,"450 3rd St. SW Ste. 201, Huron, SD 57350",,08:00 AM-05:00 PM,,ho10283989,false,false,,,,poll85245650
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,09-23-2016,09-23-2016,False,False,False,False,17,"202 Main St., Martin, SD 57551",,08:00 AM-04:30 PM,,ho99602215,false,false,,,,poll25369937
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,09-26-2016,09-30-2016,False,False,False,False,18,"202 Main St., Martin, SD 57551",,08:00 AM-04:30 PM,,ho99602215,false,false,,,,poll25369937
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,10-03-2016,10-07-2016,False,False,False,False,19,"202 Main St., Martin, SD 57551",,08:00 AM-04:30 PM,,ho99602215,false,false,,,,poll25369937
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,10-10-2016,10-14-2016,False,False,False,False,20,"202 Main St., Martin, SD 57551",,08:00 AM-04:30 PM,,ho99602215,false,false,,,,poll25369937
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,10-17-2016,10-21-2016,False,False,False,False,21,"202 Main St., Martin, SD 57551",,08:00 AM-04:30 PM,,ho99602215,false,false,,,,poll25369937
ocd-division/country:us/state:sd/county:bennett,susan.williams@state.sd.us,Bennett County,Bennett County Courthouse,202 Main St.,,Martin,SD,57551,8:00:00 - 6:00,16:30:00 - 6:00,10-24-2016,10-28-2016,False,False,False,False,22,"202 Main St., Martin, SD 57551",,08:00 AM-04:30 PM,,ho99602215,false,false,,,,poll25369937
