office-name,official-title,,homepage-url,phone,email,PRECINCT,location name,address1,directions,city,state,zip,start time,end time,start_date,end_date
Aurora County,Auditor's Office,ocd-division/country:us/state:sd/county:aurora,,(605) 942-7752,susan.urban@state.sd.us,3,White Lake City Hall,111 Main St,,White Lake ,SD ,57383,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Aurora County,Auditor's Office,ocd-division/country:us/state:sd/county:aurora,,(605) 942-7752,susan.urban@state.sd.us,5,Aurora County Agriculture Bldg,1302 E 1st St.,,Plankinton,SD ,57368,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Aurora County,Auditor's Office,ocd-division/country:us/state:sd/county:aurora,,(605) 942-7752,susan.urban@state.sd.us,7,,304 N Main St.,,Plankinton,SD ,57368,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Aurora County,Auditor's Office,ocd-division/country:us/state:sd/county:aurora,,(605) 942-7752,susan.urban@state.sd.us,1,,400 Main St,,Stickney,SD ,57375,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Aurora County,Auditor's Office,ocd-division/country:us/state:sd/county:aurora,,(605) 942-7752,susan.urban@state.sd.us,2,,400 Main St,,Stickney,SD ,57375,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Beadle County,Auditor's Office,ocd-division/country:us/state:sd/county:beadle,,(605) 353-8400,auditor@beadlesd.org,W1,Huron Arena,150 5th St. SW,,Huron,SD,57350,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Beadle County,Auditor's Office,ocd-division/country:us/state:sd/county:beadle,,(605) 353-8400,auditor@beadlesd.org,W2,Huron Arena,150 5th St. SW,,Huron,SD,57350,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Beadle County,Auditor's Office,ocd-division/country:us/state:sd/county:beadle,,(605) 353-8400,auditor@beadlesd.org,W3,Huron Arena,150 5th St. SW,,Huron,SD,57350,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Beadle County,Auditor's Office,ocd-division/country:us/state:sd/county:beadle,,(605) 353-8400,auditor@beadlesd.org,W7-1,Huron Arena,150 5th St. SW,,Huron,SD,57350,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Beadle County,Auditor's Office,ocd-division/country:us/state:sd/county:beadle,,(605) 353-8400,auditor@beadlesd.org,W7-2,Huron Arena,150 5th St. SW,,Huron,SD,57350,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Beadle County,Auditor's Office,ocd-division/country:us/state:sd/county:beadle,,(605) 353-8400,auditor@beadlesd.org,W8-1,Huron Arena,150 5th St. SW,,Huron,SD,57350,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Beadle County,Auditor's Office,ocd-division/country:us/state:sd/county:beadle,,(605) 353-8400,auditor@beadlesd.org,W8-2,Huron Arena,150 5th St. SW,,Huron,SD,57350,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Beadle County,Auditor's Office,ocd-division/country:us/state:sd/county:beadle,,(605) 353-8400,auditor@beadlesd.org,17,Cavour Volunteer Fire Department,250 Victor St.,,Cavour,SD,57324,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Beadle County,Auditor's Office,ocd-division/country:us/state:sd/county:beadle,,(605) 353-8400,auditor@beadlesd.org,12,Wolsey Community Center,305 Commercial Ave SW,,Wolsey,SD,57384,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Beadle County,Auditor's Office,ocd-division/country:us/state:sd/county:beadle,,(605) 353-8400,auditor@beadlesd.org,15,Byron Bible Camp,40546 South Shore Road,,Lake Byron,SD,57350,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Bennett County,Auditor's Office,ocd-division/country:us/state:sd/county:bennett,,,susan.williams@state.sd.us,ALLEN PRECINCT,American Horse School,1 Main Street,,Allen,SD,57714,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Bennett County,Auditor's Office,ocd-division/country:us/state:sd/county:bennett,,,susan.williams@state.sd.us,MARTIN CITY PRECINCT,Martin Public Library,101 Main St,,Martin,SD,57551,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Bennett County,Auditor's Office,ocd-division/country:us/state:sd/county:bennett,,,susan.williams@state.sd.us,MARTIN RURAL 26/27 PRECINCT,Lacreek Electric Association,121 N Harold St.,,Lacreek,SD,57551,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Bennett County,Auditor's Office,ocd-division/country:us/state:sd/county:bennett,,,susan.williams@state.sd.us,VETAL/TUTHILL PRECINCT,Vetal Volunteer Fire Department,HC 56 ,,Tuthill,SD,57574,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
