office-name	ocd-division	homepage-url	phone	name	address1	address 2	city	state	zip	start_time	end_time	start_date	end_date
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		102 Robertsville Rd		Kingston	TN	37763	09:00:00 - 05:00	13:00:00 - 05:00	10-22-16	10-22-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		102 Robertsville Rd		Kingston	TN	37763	09:00:00 - 05:00	17:00:00 - 05:00	10-24-16	10-28-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		102 Robertsville Rd		Kingston	TN	37763	09:00:00 - 05:00	13:00:00 - 05:00	10-29-16	10-29-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		102 Robertsville Rd		Kingston	TN	37763	09:00:00 - 05:00	17:00:00 - 05:00	10-31-16	11-03-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		102 Robertsville Rd		Harriman	TN	37748	09:00:00 - 05:00	17:00:00 - 05:00	10-19-16	10-21-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		101 S Hicks St		Harriman	TN	37748	09:00:00 - 05:00	13:00:00 - 05:00	10-22-16	10-22-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		101 S Hicks St		Harriman	TN	37748	10:00:00 - 05:00	18:00:00 - 05:00	10-24-16	10-28-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		101 S Hicks St		Harriman	TN	37748	09:00:00 - 05:00	12:00:00 - 05:00	10-29-16	10-29-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		101 S Hicks St		Harriman	TN	37748	10:00:00 - 05:00	18:00:00 - 05:00	10-31-16	11-03-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		101 S Hicks St		Rockwood	TN	37854	09:00:00 - 05:00	17:00:00 - 05:00	10-19-16	10-21-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		3310 Andersonville Hwy		Rockwood	TN	37854	09:00:00 - 05:00	13:00:00 - 05:00	10-22-16	10-22-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		3310 Andersonville Hwy		Rockwood	TN	37854	09:00:00 - 05:00	17:00:00 - 05:00	10-24-16	10-28-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		3310 Andersonville Hwy		Rockwood	TN	37854	09:00:00 - 05:00	13:00:00 - 05:00	10-29-16	10-29-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		3310 Andersonville Hwy		Rockwood	TN	37854	09:00:00 - 05:00	17:00:00 - 05:00	10-31-16	11-03-16
Anderson County	ocd-division/country:us/state:tn/county:anderson	http://acelect.com/	(865) 457-6238		3310 Andersonville Hwy		Oak Ridge	TN	37840	09:00:00 - 05:00	17:00:00 - 05:00	10-19-16	10-21-16
Bedford County	ocd-division/country:us/state:tn/county:bedford	http://www.bedfordcountytn.org/election.html	(931) 684-0531		One Public Square	 Suite 20	Maryville	TN	37804	11:00:00 - 05:00	19:00:00 - 05:00	10-31-16	11-03-16
Bedford County	ocd-division/country:us/state:tn/county:bedford	http://www.bedfordcountytn.org/election.html	(931) 684-0531		One Public Square	 Suite 20	Friendsville	TN	37737	08:00:00 - 05:00	16:00:00 - 05:00	10-19-16	10-21-16
Bedford County	ocd-division/country:us/state:tn/county:bedford	http://www.bedfordcountytn.org/election.html	(931) 684-0531		One Public Square	 Suite 20	Friendsville	TN	37737	08:00:00 - 05:00	16:00:00 - 05:00	10-24-16	10-28-16
Bedford County	ocd-division/country:us/state:tn/county:bedford	http://www.bedfordcountytn.org/election.html	(931) 684-0531		One Public Square	 Suite 20	Friendsville	TN	37737	08:00:00 - 05:00	16:00:00 - 05:00	10-31-16	11-03-16
Bedford County	ocd-division/country:us/state:tn/county:bedford	http://www.bedfordcountytn.org/election.html	(931) 684-0531		One Public Square	 Suite 20	Maryville	TN	 37804 	11:00:00 - 05:00	19:00:00 - 05:00	10-19-16	10-21-16
