address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"102 Robertsville Rdnan, Oak Ridge, TN 37830",,10:00 AM-06:00 PM,,ho44761406,false,true,,,,poll6615874
"3310 Andersonville Hwynan, Andersonville, TN 37705",,10:00 AM-06:00 PM,,ho78251298,false,true,,,,poll14874278
"One Public Square, Suite 20nan, Shelbyville, TN 37160-3952",,08:00 AM-05:00 PM,,ho27222415,false,true,,,,poll980111
"3150 Main Streetnan, Pikeville, TN 37367",,04:00 PM-07:00 PM,,ho81519794,false,true,,,,poll21073329
"155 Broad Street N.W., Suite 102nan, Cleveland, TN 37311-5000",,09:00 AM-06:00 PM,,ho51532905,false,true,,,,poll99741807
"200 Paul Huff PKwy NW, Suite 513nan, Cleveland, TN 37312",,09:00 AM-06:00 PM,,ho98936166,false,true,,,,poll59035294
"2310 McGrady Drive SEnan, Cleveland, TN 37323",,09:00 AM-06:00 PM,,ho59106017,false,true,,,,poll14111409
"129 Church Alleynan, Jacksboro, TN 37757",,09:00 AM-04:00 PM,,ho72750410,false,true,,,,poll26124881
"410 S Main Stnan, Jellico, TN 37762",,09:00 AM-02:00 PM,,ho15112890,false,true,,,,poll62829716
"301 West Main Street, Adams Office Bldg Room 244nan, Woodbury, TN 37190-1100",,08:00 AM-01:00 PM,,ho4344844,false,true,,,,poll97163015
"625 High Street, Suite 113nan, Huntingdon, TN 38344-1712",,08:30 AM-04:00 PM,,ho96420662,false,true,,,,poll93699860
"116 Holston Avenan, Elizabethton, TN 37643-3264",,09:00 AM-04:00 PM,,ho72740655,false,true,,,,poll74866769
"145 Cordell Hull Drivenan, Celina, TN 38551",,09:00 AM-12:00 PM,,ho71524473,false,true,,,,poll56832251
"360 East Main Streetnan, Newport, TN 37821-3121",,08:30 AM-04:00 PM,,ho48116857,false,true,,,,poll1022111
"235 East Church Streetnan, Alamo, TN 38001-1107",,08:30 AM-06:00 PM,,ho33928660,false,true,,,,poll76674842
"2 South Main Streetnan, Crossville, TN 38555-4583",,08:00 AM-05:00 PM,,ho43821876,false,true,,,,poll85953340
"4705 HARDING PIKEnan, Nashville, TN 37205",,08:00 AM-04:30 PM,,ho29427361,false,true,,,,poll83879184
"720 BAUGH ROADnan, Nashville, TN 37221",,08:00 AM-04:30 PM,,ho91934915,false,true,,,,poll89622894
"4000 CLARKSVILLE PIKEnan, Nashville, TN 37218",,08:00 AM-04:30 PM,,ho89031625,false,true,,,,poll84180873
"2195 NOLENSVILLE PIKEnan, Nashville, TN 37211",,08:00 AM-04:30 PM,,ho1001837,false,true,,,,poll7086505
"5501 EDMONDSON PIKEnan, Nashville, TN 37211",,08:00 AM-04:30 PM,,ho26268333,false,true,,,,poll60963196
"1109 32ND AVE Nnan, Nashville, TN 37209",,08:00 AM-04:30 PM,,ho34035141,false,true,,,,poll63838117
"200 MEMORIAL DRnan, GOODLETTSVILLE, TN 37072",,08:00 AM-04:30 PM,,ho86534759,false,true,,,,poll39947826
"3701 BENHAM AVEnan, Nashville, TN 37215",,08:00 AM-04:30 PM,,ho5344427,false,true,,,,poll58914343
"3700 JAMES KAY LANEnan, HERMITAGE, TN 37076",,08:00 AM-04:30 PM,,ho25955371,false,true,,,,poll18395161
"610 GALLATIN PIKE Snan, MADISON, TN 37115",,08:00 AM-04:30 PM,,ho52755502,false,true,,,,poll14126789
"700 2ND AVE Snan, Nashville, TN 37210",,08:00 AM-04:30 PM,,ho44317168,false,true,,,,poll10126232
"5260 HICKORY HOLLOW PKWY, STE 102nan, ANTIOCH, TN 37013",,08:00 AM-04:30 PM,,ho65356221,false,true,,,,poll46875381
"Election Office, 67 S East Streetnan, Decaturville, TN 38329",,09:00 AM-04:00 PM,,ho84108022,false,true,,,,poll77347647
"1 Public Squarenan, Smithville, TN 37166-1425",,09:00 AM-01:00 PM,,ho4893861,false,true,,,,poll18408872
"Election Commission, 110-A Academy Streetnan, Charlotte, TN 37036",,08:00 AM-04:00 PM,,ho14423617,false,true,,,,poll31658371
"Fentress Co Election Comm, 111 North Norris Streetnan, Jamestown, TN 38556",,09:00 AM-04:00 PM,,ho3437912,false,true,,,,poll27089869
"839 Dinah Shore Blvd, Suite 1nan, Winchester, TN 37398-1426",,08:00 AM-04:30 PM,,ho68876612,false,true,,,,poll63233744
"One Court Square, Suite 101nan, Trenton, TN 38382-1851",,08:30 AM-06:00 PM,,ho58768767,false,true,,,,poll15701492
"201 Hwy 45 E Northnan, Medina, TN 38355",,08:30 AM-06:00 PM,,ho63063607,false,true,,,,poll55364453
"119 Marshall Avenan, Rutledge, TN 37861",,08:30 AM-12:00 PM,,ho70810681,false,true,,,,poll3064622
"218 North Main Streetnan, Greeneville, TN 37745-3834",,08:30 AM-06:00 PM,,ho12993887,false,true,,,,poll61738145
"11745 U.S. 41nan, Monteagle, TN 37356",,08:00 AM-04:00 PM,,ho38719144,false,true,,,,poll71073336
"1433 TN-56nan, Altamont, TN 37301",,08:00 AM-04:00 PM,,ho82252828,false,true,,,,poll86717652
"700 River Terminal Roadnan, Chattanooga, TN 37406-1736",,08:00 AM-07:00 PM,,ho39588724,false,true,,,,poll68629361
"1010 North Moore Rd. nan, Chattanooga, TN 37411",,10:00 AM-06:00 PM,,ho33522612,false,true,,,,poll7539099
"4300 Ooltewah-Ringgold Roadnan, Ooltewah, TN 37363",,10:00 AM-06:00 PM,,ho85711026,false,true,,,,poll33023433
"1009 Executive Drive, Suite 102nan, Hixson, TN 37343",,10:00 AM-06:00 PM,,ho94930516,false,true,,,,poll24450839
"1237 Main Street, Courthouse 1st Floornan, Sneedville, TN 37869-3846",,09:00 AM-12:00 PM,,ho67269528,false,true,,,,poll70420805
