election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:tx/county:anderson,anderson_cou0001,poll98625947,st48,other,,loc0001
,ocd-id,,ocd-division/country:us/state:tx/county:andrews,andrews_cou0002,poll2942621,st48,other,,loc0002
,ocd-id,,ocd-division/country:us/state:tx/county:angelina,angelina_cou0003,poll45638819 poll85112481 poll5341860 poll93158181,st48,other,,loc0003
,ocd-id,,ocd-division/country:us/state:tx/county:aransas,aransas_cou0004,poll31023671,st48,other,,loc0004
,ocd-id,,ocd-division/country:us/state:tx/county:archer,archer_cou0005,poll67525055 poll26811224 poll46189450,st48,other,,loc0005
,ocd-id,,ocd-division/country:us/state:tx/county:armstrong,armstrong_cou0006,poll95060156,st48,other,,loc0006
,ocd-id,,ocd-division/country:us/state:tx/county:atascosa,atascosa_cou0007,poll10911764,st48,other,,loc0007
,ocd-id,,ocd-division/country:us/state:tx/county:austin,austin_cou0008,poll45860567 poll83950825,st48,other,,loc0008
,ocd-id,,ocd-division/country:us/state:tx/county:bailey,bailey_cou0009,poll17656682,st48,other,,loc0009
,ocd-id,,ocd-division/country:us/state:tx/county:bandera,bandera_cou0010,poll83934015 poll33510333 poll84234496,st48,other,,loc0010
,ocd-id,,ocd-division/country:us/state:tx/county:bastrop,bastrop_cou0011,poll10016583 poll82505353 poll49051113 poll26631458,st48,other,,loc0011
,ocd-id,,ocd-division/country:us/state:tx/county:baylor,baylor_cou0012,poll56034125,st48,other,,loc0012
,ocd-id,,ocd-division/country:us/state:tx/county:bee,bee_cou0013,poll55543451 poll53420679,st48,other,,loc0013
,ocd-id,,ocd-division/country:us/state:tx/county:bell,bell_cou0014,poll33588986 poll28581524 poll25450382 poll87516012 poll23132732 poll90553799,st48,other,,loc0014
,ocd-id,,ocd-division/country:us/state:tx/county:bexar,bexar_cou0015,poll32676261 poll96357150 poll79776802 poll87767356 poll69685205 poll1935273 poll53069165 poll45504642 poll70101396 poll30209227 poll37029254 poll32951380 poll15968745 poll30159937 poll72906404 poll76127820 poll19104874 poll26182792 poll22810967 poll24834662 poll12021842 poll23564115 poll35083728 poll87597644 poll25771324 poll65821488 poll79123777 poll47949800 poll67428784 poll87402763 poll97278594 poll30682891 poll36512839 poll1722156 poll3231403 poll31143408 poll79316315 poll84846220 poll32380138 poll57857103 poll33895652,st48,other,,loc0015
,ocd-id,,ocd-division/country:us/state:tx/county:blanco,blanco_cou0016,poll86792495 poll38772393,st48,other,,loc0016
,ocd-id,,ocd-division/country:us/state:tx/county:borden,borden_cou0017,poll41839157,st48,other,,loc0017
,ocd-id,,ocd-division/country:us/state:tx/county:bosque,bosque_cou0018,poll17664989,st48,other,,loc0018
,ocd-id,,ocd-division/country:us/state:tx/county:bowie,bowie_cou0019,poll98812612 poll29711485,st48,other,,loc0019
,ocd-id,,ocd-division/country:us/state:tx/county:brazoria,brazoria_cou0020,poll96595690 poll69452185 poll29581606 poll21151286 poll41582206 poll49818358 poll59653153 poll82993592 poll51126535 poll95355617 poll65895224 poll7255792 poll83552089 poll3985700 poll72897977,st48,other,,loc0020
,ocd-id,,ocd-division/country:us/state:tx/county:brazos,brazos_cou0021,poll95130392 poll49032479 poll75404586 poll11470874 poll80671653,st48,other,,loc0021
,ocd-id,,ocd-division/country:us/state:tx/county:brewster,brewster_cou0022,poll38582008,st48,other,,loc0022
,ocd-id,,ocd-division/country:us/state:tx/county:briscoe,briscoe_cou0023,poll89808557,st48,other,,loc0023
,ocd-id,,ocd-division/country:us/state:tx/county:brown,brown_cou0024,poll85922806,st48,other,,loc0024
,ocd-id,,ocd-division/country:us/state:tx/county:burleson,burleson_cou0025,poll75833094,st48,other,,loc0025
,ocd-id,,ocd-division/country:us/state:tx/county:burnet,burnet_cou0026,poll92895959,st48,other,,loc0026
,ocd-id,,ocd-division/country:us/state:tx/county:caldwell,caldwell_cou0027,poll20109638,st48,other,,loc0027
,ocd-id,,ocd-division/country:us/state:tx/county:calhoun,calhoun_cou0028,poll96895198,st48,other,,loc0028
